draw,dwell_quintile,p_choose_S,draw_subject_sd,n_subjects,draw_subject_sem
0,E>>S,0.5738435704937772,0.1336076812101868,21,0.029155586313010004
0,E>S,0.48824626622157363,0.11757107218245093,21,0.025656111324438013
0,S~E,0.4384091600628497,0.07820674497533334,21,0.01706611089074154
0,S>E,0.4494635055854919,0.09169450470940228,21,0.020009381363920036
0,S>>E,0.5122022813095651,0.09958792805603044,21,0.02173186755336076
1,E>>S,0.5881968776893873,0.1551898121539578,21,0.03386519339435664
1,E>S,0.4949203012811771,0.127602731018522,21,0.02784519875121269
1,S~E,0.4456246631934295,0.10928890776030697,21,0.023848794877650164
1,S>E,0.4413679790723674,0.09345509328088863,21,0.020393573287563384
1,S>>E,0.5052431450512064,0.09477967545093771,21,0.020682620814155707
2,E>>S,0.5989432407459775,0.15481656825530196,21,0.03378374489824851
2,E>S,0.4973419385148007,0.13503167820333756,21,0.02946632793255776
2,S~E,0.45933399279132475,0.0943152417756105,21,0.020581273077371256
2,S>E,0.4524376310946034,0.10566518193773024,21,0.023058033073853783
2,S>>E,0.47684726426055724,0.08816638957619088,21,0.019239483523040966
3,E>>S,0.5813227686171418,0.1332651189223548,21,0.02908083309328489
3,E>S,0.49636494045953194,0.1408410879675133,21,0.030734045074812564
3,S~E,0.4373762280431565,0.10935193896872229,21,0.02386254941496958
3,S>E,0.4632142942719453,0.096862691308743,21,0.021137172139974094
3,S>>E,0.52547841973572,0.10778080411260668,21,0.023519699681391802
4,E>>S,0.5898853640747495,0.12886996232290918,21,0.028121731292897068
4,E>S,0.49405173560114307,0.15703412438429748,21,0.0342676553181978
4,S~E,0.4426159125405785,0.08763974055488288,21,0.019124559284716285
4,S>E,0.4411140478471856,0.08361101468570392,21,0.018245419225204885
4,S>>E,0.5139665943304409,0.09846933615115575,21,0.021487770787843943
5,E>>S,0.5877525386742553,0.14741232335513701,21,0.032168006197343904
5,E>S,0.4958111854462345,0.1448874554860839,21,0.031617034857834486
5,S~E,0.442218511352739,0.10179089218359108,21,0.022212593737542613
5,S>E,0.43323480959356936,0.09010292382397722,21,0.019662069940962645
5,S>>E,0.518858320378713,0.09195342121211188,21,0.020065881576888604
6,E>>S,0.5894956230159114,0.1656341934818743,21,0.03614434425255477
6,E>S,0.4779813525873556,0.12960600563830887,21,0.028282349112305896
6,S~E,0.4488174016030149,0.12034154736153083,21,0.026260678572968012
6,S>E,0.45731847204428366,0.10086734243551754,21,0.022011058659990024
6,S>>E,0.5108263841600275,0.0878412208805464,21,0.019168525896306635
7,E>>S,0.575906851375278,0.14944134394664974,21,0.0326107747900692
7,E>S,0.4773509685974454,0.12822789223337439,21,0.027981620112575153
7,S~E,0.4533263551185031,0.0948418341053187,21,0.020696184944574637
7,S>E,0.4510495968090428,0.09900210826143385,21,0.021604031193725406
7,S>>E,0.5161726762298722,0.08694828583443436,21,0.01897367149442629
8,E>>S,0.5979853331258659,0.15109675975652967,21,0.032972016135564504
8,E>S,0.4977783000445122,0.13187076095793773,21,0.028776559240056048
8,S~E,0.4488266786198488,0.08342853608465998,21,0.018205599129871863
