draw,rt_quintile,p_choose_S,draw_subject_sd,n_subjects,draw_subject_sem
1613,2,0.4654938261290884,0.09857386159158714,21,0.02151058010893087
1613,3,0.5215448129755481,0.09052923831819559,21,0.019755099390468003
1613,4,0.5039466104636462,0.09672333415258094,21,0.02110676191536712
1613,5,0.5409300322568692,0.12935192373617954,21,0.028226903895676086
1614,1,0.46431973696974743,0.12125899498644159,19,0.027818721323221263
1614,2,0.47306227492994407,0.08427706470229326,21,0.01839076325461666
1614,3,0.48309361997944444,0.09064294289655118,21,0.019779911763666932
1614,4,0.4693857581758311,0.10802297637692959,21,0.02357254600198602
1614,5,0.5055642741533064,0.047291932953708135,21,0.010319945834340193
1615,1,0.43622054641510294,0.1446641438321669,19,0.03318823072201307
1615,2,0.489165409608063,0.07857557722560636,21,0.01714659668624711
1615,3,0.4869340106234933,0.07426939282160006,21,0.01620691021063772
1615,4,0.49405809277795243,0.07460207345781614,21,0.016279507077195162
1615,5,0.5359970444473322,0.1384738755698366,21,0.03021747697965107
1616,1,0.4832766062782591,0.11102978350251694,19,0.025471979263719514
1616,2,0.48882384866050965,0.115335437602128,21,0.025168255862981315
1616,3,0.48308324390133217,0.07444101171203836,21,0.01624436052283381
1616,4,0.4932794814887706,0.08108139230217598,21,0.017693410365577675
1616,5,0.5485839410590708,0.12753965979618215,21,0.027831435482139087
1617,1,0.4379172345157799,0.18735143534990656,19,0.04298136703250192
1617,2,0.45801407404579225,0.09101521545845573,21,0.01986114829671849
1617,3,0.4831451611053891,0.08530146179009795,21,0.018614305025881295
1617,4,0.48395539158846673,0.05721432463082703,21,0.012485189212216249
1617,5,0.4967076922548238,0.06859770174416178,20,0.015338912420020162
1618,1,0.4734077823197811,0.1583228765915777,19,0.03632175892175518
1618,2,0.4755449298000835,0.10849678623608307,21,0.023675939789823505
1618,3,0.516178736832237,0.08045250940263542,21,0.017556176866034442
1618,4,0.4715343432443762,0.05612464221848349,21,0.012247401015167374
1618,5,0.4718527467878322,0.12324831867239512,20,0.027559161866403212
1619,1,0.44603564083003183,0.1249978248824343,19,0.02867646772762763
1619,2,0.468515129354233,0.07943941620723016,21,0.017335101806320665
1619,3,0.49432635933046026,0.06993828251760913,21,0.015261784457721453
1619,4,0.4922243831263987,0.08240558996193528,21,0.01798237398514579
1619,5,0.5001337238556227,0.09544191997450886,21,0.020827134416909743
1620,1,0.45891584595030793,0.14691236337950198,19,0.03370400765936708
1620,2,0.4878307629161311,0.08641756444468802,21,0.01885785859245273
1620,3,0.47659573965328556,0.09215615380442786,21,0.02011012145546587
1620,4,0.4896492535951286,0.08930530495739603,21,0.019488015234684873
1620,5,0.47451157571575675,0.07456343891835306,21,0.01627107632950329
1621,1,0.43427499555534166,0.15940299141085648,19,0.03656955425568449
1621,2,0.4936350419853732,0.0897510756352706,21,0.01958529037153973
1621,3,0.4826041720763434,0.05841715096087728,21,0.012747667436280115
1621,4,0.5081922831652277,0.05189649819241992,21,0.011324744346185868
1621,5,0.5077301175397632,0.054003991828176494,21,0.011784637161066449
1622,1,0.4616608359493049,0.15410177257740365,19,0.035353371246599465
1622,2,0.4819020694928769,0.10223854560694615,21,0.022310279723144075
1622,3,0.5074726554370128,0.0831920503983202,21,0.018153993722327785
1622,4,0.48300039885437973,0.06192041169198219,21,0.013512141601968428
1622,5,0.5432626933001495,0.127060480049213,21,0.027726869888711664
1623,1,0.4551673748715213,0.19968540410094668,19,0.04581097352505836
1623,2,0.46165752388552567,0.09031625740737526,21,0.01970862314544825
1623,3,0.47514372620483686,0.08213538271246411,21,0.01792340992923972
1623,4,0.5117807705041961,0.08570702373685411,21,0.018702805898262426
1623,5,0.5441793867546645,0.05887421030853111,21,0.012847405962837772
1624,1,0.4535542827836528,0.16611700415619746,19,0.038109854416873194
1624,2,0.4792887066847814,0.08451613845608195,21,0.018442933424779227
1624,3,0.4969347347474011,0.09128925668803388,21,0.01992094899567471
1624,4,0.466835814188575,0.07229900531905993,21,0.01577693640688605
1624,5,0.5072122262474446,0.06471816227924965,21,0.014122660832528442
1625,1,0.3899749119706874,0.19764430284775766,19,0.04534271278315388
