subj_idx,dwell_quintile,subject_mean
2,E>>S,0.5454545454545454
2,E>S,0.5135135135135135
2,S~E,0.4367816091954023
2,S>E,0.4057971014492754
2,S>>E,0.41304347826086957
3,E>>S,0.7692307692307693
3,E>S,0.64
3,S~E,0.5352112676056338
3,S>E,0.578125
3,S>>E,0.7592592592592593
7,E>>S,0.6538461538461539
7,E>S,0.3050847457627119
7,S~E,0.2835820895522388
7,S>E,0.5970149253731343
7,S>>E,0.46938775510204084
8,E>>S,0.9047619047619048
8,E>S,0.5789473684210527
8,S~E,0.5813953488372093
8,S>E,0.52
8,S>>E,0.46808510638297873
9,E>>S,0.7
9,E>S,0.3076923076923077
9,S~E,0.3076923076923077
9,S>E,0.38333333333333336
9,S>>E,0.5
10,E>>S,0.38333333333333336
10,E>S,0.5
10,S~E,0.7560975609756098
10,S>E,0.575
10,S>>E,0.484375
11,E>>S,0.7435897435897436
11,E>S,0.6025641025641025
11,S~E,0.34782608695652173
11,S>E,0.36231884057971014
11,S>>E,0.625
12,E>>S,0.5
12,E>S,0.5283018867924528
12,S~E,0.4426229508196721
12,S>E,0.367816091954023
12,S>>E,0.5454545454545454
13,E>>S,0.3333333333333333
13,E>S,0.4520547945205479
13,S~E,0.5535714285714286
13,S>E,0.5909090909090909
13,S>>E,0.5178571428571429
15,E>>S,0.4810126582278481
15,E>S,0.6181818181818182
15,S~E,0.47619047619047616
15,S>E,0.4423076923076923
15,S>>E,0.375
16,E>>S,1.0
16,E>S,0.4931506849315068
16,S~E,0.36363636363636365
16,S>E,0.1717171717171717
16,S>>E,0.6486486486486487
17,E>>S,0.6140350877192983
17,E>S,0.1276595744680851
17,S~E,0.18
17,S>E,0.27419354838709675
17,S>>E,0.7446808510638298
18,E>>S,0.6046511627906976
18,E>S,0.6
18,S~E,0.37681159420289856
18,S>E,0.4444444444444444
18,S>>E,0.5555555555555556
19,E>>S,0.4852941176470588
19,E>S,0.5172413793103449
19,S~E,0.48148148148148145
19,S>E,0.45454545454545453
19,S>>E,0.4864864864864865
20,E>>S,0.5681818181818182
20,E>S,0.2537313432835821
20,S~E,0.40476190476190477
20,S>E,0.3333333333333333
20,S>>E,0.514018691588785
21,E>>S,0.47
21,E>S,0.5384615384615384
21,S~E,0.39215686274509803
21,S>E,0.48333333333333334
21,S>>E,0.42105263157894735
22,E>>S,0.75
22,E>S,0.5272727272727272
22,S~E,0.4264705882352941
22,S>E,0.4864864864864865
22,S>>E,0.5517241379310345
23,E>>S,0.5
23,E>S,0.5612244897959183
23,S~E,0.6323529411764706
23,S>E,0.375
23,S>>E,0.4594594594594595
24,E>>S,0.6458333333333334
24,E>S,0.4603174603174603
24,S~E,0.5737704918032787
24,S>E,0.48
24,S>>E,0.6
25,E>>S,0.5147058823529411
25,E>S,0.38144329896907214
25,S~E,0.3838383838383838
25,S>E,0.48936170212765956
25,S>>E,0.4444444444444444
26,E>>S,0.7403846153846154
26,E>S,0.19444444444444445
26,S~E,0.35294117647058826
26,S>E,0.22727272727272727
26,S>>E,0.5882352941176471
