bin,mean,sd,n_subjects,sem,boot_ci_low,boot_ci_high
E>>S,0.5440669363917482,0.1622529374095714,20,0.036280859759682024,0.4748512219856827,0.6101577847396968
E>S,0.45114731105604183,0.12415406058927553,20,0.027761691916024768,0.3985941666533364,0.5044762396041671
S~E,0.36842711403229106,0.12511591224659946,20,0.02797676848502948,0.3164913478786796,0.42164737847579215
S>E,0.41071281928504977,0.16357602928692963,20,0.03657671209750711,0.3410230450665904,0.4782980032044035
S>>E,0.4755424249473636,0.15829512871070517,20,0.035395866830421535,0.40409359595307665,0.5390615829313342
