t_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E:C(OVcate)[low]_subj,v_InattentionW_E:C(OVcate)[medium]_subj,v_InattentionW_E:C(OVcate)[high]_subj,v_InattentionW_S:C(OVcate)[low]_subj,v_InattentionW_S:C(OVcate)[medium]_subj,v_InattentionW_S:C(OVcate)[high]_subj,a_Intercept_subj,a_OVcate[T.low]_subj,a_OVcate[T.medium]_subj
0.3837597794265811,0.07409603727966944,0.03853278937737857,0.031094382270094083,0.05725799829577565,0.04812700068880931,0.04934853259853907,0.026859643013625704,0.042800294960796334,0.035859110345607,1.575535459658416,0.4544715356764761,0.302009735002905
0.31453967724987086,-0.05426765884607153,0.019046206464706505,0.03849258895306031,0.020837073073959208,0.010837169789120136,0.02824988148387261,0.03477727644593562,0.04567108083003245,0.05694623416791977,1.3965654572646649,0.45197770780756963,0.14867036721761728
0.42565002871615343,0.4335935934919178,0.03669616209349318,0.037567746256287574,0.039590960898406524,0.019255689850249964,0.035544641374656155,0.037827318385980184,0.03616962289987444,0.03754140349739147,2.367107056037709,-0.21722618611115294,-0.09155217112644184
0.3021093056651917,0.11400244955848031,0.039136984151898875,0.05093332080853804,0.049502859155771364,0.04889143478947162,0.041762922484491365,0.04122784125452105,0.045479469444869317,0.04201509199757921,1.5552257211796559,0.24053162631111646,0.15496481650747124
0.4277993868931292,0.1476375394941925,0.039261195692989546,0.031276596001654174,0.05562057178111248,0.04800256677843362,0.03587274548002714,0.023508294227165435,0.03321404164154895,0.018707620974830978,1.9587288716571365,0.20443214711677096,0.19474868129169803
0.5783475511910658,0.07644707288514933,0.03304456386372364,0.03351841482210024,0.010752907160835544,0.03636499088280361,0.04009415740835498,0.038589551789624345,0.038536955236595366,0.03106876178780106,1.5110533194748077,0.0662390483398872,0.3274948035563136
0.3787732376728704,0.2737092173533694,0.05011898224321635,0.03896140533012215,0.06221403878942103,0.06127726359542016,0.04596071097420991,0.04974455425594255,0.045173027890856345,0.04747637771519045,1.4126715673228039,0.25853514566418867,0.2605462652095437
0.4499684706597853,-0.02045029566835308,0.04434415936178716,0.032209311841927324,0.04101779068432957,0.04459299773489888,0.05259540906044274,0.044859102688674456,0.040058136339728746,0.037822338138061205,1.7172770864436082,0.25920421681691747,0.3852471658378874
0.37076960410661436,0.22658043297939146,0.05584718029672528,0.042871970389395365,0.03544878579986433,0.05310465545056678,0.0514665180844786,0.04117580052054145,0.04319541037535337,0.02591665882197398,0.993739377496249,0.07636360190090004,0.06493389809296607
0.45068492630877194,-0.07976329886235017,0.05290640769963435,0.0341609864325845,0.046131479435727596,0.0449665399267016,0.0468692305363271,0.05312328165263757,0.03340593569785923,0.03491998939389283,1.4866288714147669,0.39332391071049594,0.17164648562232634
0.37619345457474446,0.10716459059342749,0.05867544211195889,0.03443264742115905,0.0785120323054266,0.07377061585827259,0.05103501612945511,0.013224940575286321,0.04386816057327386,0.04014669374922133,1.3331759130219685,-0.12548493925558502,-0.08831658010889365
0.3935704259956877,0.22729886540501393,0.04984415358501422,0.038855676147999285,0.05748000512555274,0.05116158089880933,0.05510721287649208,0.03062872752181246,0.04332953095422897,0.030337330862342582,1.6049321400224899,0.2212735908729324,0.022011671897110736
0.3652495968027765,0.11883102784308973,0.03350853711937458,0.03680907480788023,0.051303870827979076,0.02894908938428021,0.04108005532868016,0.032070518389791525,0.03806543901294798,0.05321648654354123,1.9203210512188538,0.2241715702192458,0.19465878668208136
0.4196475878994321,0.1077462507708387,0.05154068736421373,0.0326915947198242,0.05340666530320929,0.050472783337617746,0.05209193600249436,0.022552063633798053,0.03081611148105704,0.038416847071789745,2.1506255986223146,0.07813294166215984,0.4476999988611979
0.442384862554657,0.12088179013826576,0.05291679905168767,0.03354277322983779,0.08327799873846124,0.052336994944284926,0.053824554269878755,0.01451186640568275,0.039951787071947,0.02896733020735042,2.1616492648219583,0.16707125175659673,0.062234491312464155
0.4533281283182195,0.15369233243967936,0.05371128334796637,0.029092751380838142,0.05438766516179964,0.046416601422022516,0.05055769665008554,0.054982301167306256,0.042432808043349556,0.02100134266785164,2.563359536460417,0.4270566364351709,0.1298495655555711
0.3875988938273337,0.4250460173388628,0.05009713407898615,0.050500073373813396,0.02009113076568188,0.04440226882429464,0.057929203665277006,0.041152469185628156,0.0353730982931592,0.04678366087516097,1.9525146132585014,0.9280564354567611,0.25589387434234173
0.35931743967531643,0.0475265767900384,0.035472785060985376,0.030126076652712556,0.03746144134185774,0.037133516824275306,0.03704881627769567,0.04024478816882326,0.03642810320465748,0.03474150670454647,1.4625769297106923,0.7092159512143765,0.31106047064801895
0.32969111593423817,-0.30267761969377377,0.027316611199885026,0.024705924952015457,0.0313959869802042,0.016065750659771998,0.032783581949849906,0.033871381463882744,0.030724041390282016,0.04027753398270111,1.3324803630263868,0.1453324902569887,0.1933277920497857
0.42479815056690406,-0.31231193490205533,0.04142558107338874,0.027174815559445765,0.044122519128419614,0.027463842607414635,0.024034708586192836,0.031192684527869677,0.033495539674692446,-0.000540567370598454,2.1943799824916868,0.35829731191263775,0.04306097439825243
0.5441410038230331,-0.040317647971806723,0.05018480897010675,0.046620502198065246,0.06392687268832434,0.05388613032361868,0.054997671159743175,0.046036865795821155,0.044103331707388574,0.05711515415083139,2.1532050202426443,0.407969162637636,0.36815793625376364
