a_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj,z_Intercept_subj,z_C(OVcate)[T.low]_subj,z_C(OVcate)[T.medium]_subj,t_Intercept_subj,t_C(OVcate)[T.low]_subj,t_C(OVcate)[T.medium]_subj
1.7797745511905432,0.5960291115311063,0.021853639589164933,0.01907553312544377,0.033782460945177055,0.03009142417962335,-0.007153187412122917,0.1998676742967449,-0.007919621982909235,0.3595032583461398,0.07693649427072792,0.02357393230850592
1.5847990628153472,0.524103259492384,0.011985186794315207,0.011667547695484115,0.01720643921778681,0.024519933932533055,-0.0006342514506581487,0.06202195429525027,-0.001297456529993094,0.28853272835220645,0.053263003989174516,0.00901640727269858
2.3867889973668714,0.6701739006112651,0.03080945002213097,0.03060926618392039,0.025368094528337853,0.028799337226931707,-0.014285601262326447,-0.024796640012880428,-0.03149411422865563,0.41892350601876777,-0.026104503444870954,-0.003976202092723701
1.7327752168274928,0.5934319730170717,0.03813098818732816,0.03220668299988691,0.04096400662847373,0.033405447512448866,-0.006894389809601653,0.0063352553132734616,-0.012606704106902837,0.2776448172009513,0.0293670153435214,0.02566872072484565
2.09444210271753,0.6071564615679534,0.024197420030283856,0.017353640873645673,0.02599195564413055,0.012991161334131474,-0.008021507447789756,0.0035465202594165556,-0.018429482769931504,0.40741412465489535,0.017949196325021517,0.021507841111330146
1.587319766797688,0.5847098973033084,0.019939921698758415,0.011685324905753703,0.02483532434777197,0.02304050531979949,-0.004650842478417941,0.09521204949343567,-0.027651048972151353,0.5637907219431421,0.014851505239146698,0.05299682702335818
1.5630646935754442,0.6556159707108804,0.03463524667278847,0.04285419425045103,0.042863099426759914,0.0363709763203859,-0.004875626269229941,0.07823547516618348,-0.009405306980585115,0.35534266595950204,0.05356209856297336,0.02706688980091107
1.918133996334757,0.5382634482122955,0.022827812144060454,0.029250192594070957,0.028370019180485276,0.029811483417763848,-0.005547847694237708,0.03459413559610869,-0.017450319532922084,0.4092885474967326,0.05973696856208445,0.04742345137698309
0.9585274570301141,0.6257448715785493,0.03958460947718492,0.028199932595218902,0.0383094031132262,0.028585366807744515,-0.0021943468849095218,-0.001832008322265065,-0.0030178042886617007,0.3686986597314885,0.04409521795098965,0.004165788726882055
1.670637119792945,0.5460694837218388,0.02989077279433029,0.02993510963623708,0.022831167319376046,0.023750914393845267,-0.013863147758740245,-0.026456992867320124,-0.02324393398296946,0.4274999201366727,0.05857260440958055,0.014409463143580785
1.1882524157321432,0.6193777298180145,0.030868676501264153,0.019738487111659358,0.04702520561873706,0.029163751898256374,-0.008015072796211801,-0.0024389950626770903,-0.018397985295763468,0.40202018525786715,-0.026614363157653042,-0.0216841009534978
1.7025581686588587,0.6193348211870798,0.03604816612637633,0.024891702838849113,0.039573160293119095,0.033359780068303986,-0.008514459960523543,0.025098572710816985,-0.022206618545645374,0.37305909097350926,0.04340951172860734,0.011282056336033634
2.00578430997232,0.5923772558504641,0.022304381040285256,0.027989335890176183,0.020497551163910076,0.03449399891797424,-0.01155734598482483,-0.008226707689415578,-0.023489477117700025,0.3575341310867556,0.07162837299237942,0.0020769037520687894
2.4653554254298986,0.5302007583345354,0.02948244347858062,0.018645466492648425,0.024083714177134945,0.033573918647121656,-0.005828845410365919,-0.0177633882186636,-0.014903695507189221,0.3616690354522782,0.03416876278586073,0.035997689912558625
2.2202844070597294,0.566527479682002,0.028811193160313574,0.02826469518376237,0.034847422272507145,0.0263740418281557,-0.008842734996018956,0.03510717692188802,-0.021978996719019307,0.418407363051791,0.029832837104113826,0.010494403482294834
2.8242898153510168,0.5687800532498095,0.03324229363320495,0.03888671880641284,0.03415777624153397,0.02578882674479463,-0.009359551879671772,-0.07358586626059535,-0.009031421601350223,0.4114958516598041,0.06102624062521007,0.008161861957165974
2.701439813314702,0.6515097544771413,0.05168303884966387,0.019670516848810722,0.03651543427354248,0.0527541967780343,-0.0068354502892674016,0.01809292072738112,-0.010021772561059536,0.3101976193480775,0.0890304495700002,0.020347356568186925
1.7535386563826862,0.5853238867234843,0.02049465396292584,0.025157406562966913,0.025076723083016353,0.02330899661471593,-0.0016046699610483817,0.0799676996024446,-0.023023081340872855,0.3244601832764284,0.1548589739656443,0.02574581770277558
1.4072241772920648,0.4989688286663873,0.007424163361862957,0.013827003530690189,0.010031950365631937,0.01489726938373309,-0.009239479347779921,0.03203848523086568,-0.02764135911538766,0.31777761499927554,0.061901891229601325,0.018931803216309162
2.296510925798475,0.4051091689570165,0.016413607760483468,0.012721003846723202,0.018676176630725717,-0.014841217664893647,-0.0016268352265794517,-0.03141417407270056,-0.013813180132346756,0.3989603467261918,0.10370376310971825,0.003699131028645135
2.5254087955230964,0.47438057899342556,0.0388351811930592,0.03389357515558013,0.03709913268354686,0.04933838423182209,-0.004167945941435109,-0.032637581453382976,-0.014636510697179441,0.5089100955865685,0.048650391072597186,0.025224456476562126
