subj,delta_mean,hdi_low,hdi_high,credible
2,-0.005504716675257944,-0.013647440208646978,0.0018961252746742055,0
3,0.01753535670839061,0.00919495468397738,0.025746423401334456,1
7,0.004951058222437727,-0.0011183156469749198,0.011199183821277083,0
8,3.2260359845486985e-05,-0.008432526440643968,0.00823313756626607,0
9,-0.004754780899637403,-0.011166094640366615,0.001705339972660147,0
10,-0.023083672790698517,-0.03186103911833393,-0.01487692154049347,1
11,0.0029162972862027754,-0.005735361499223865,0.012231606914885076,0
12,0.0015184606232254492,-0.005802986304759922,0.008656939071096284,0
13,-0.028399623083031195,-0.041938994032436894,-0.014785247228559575,1
15,-0.004214025320602969,-0.012884335346545962,0.004644080574196692,0
16,-0.003860293930205696,-0.0130837075747176,0.0054766045866150095,0
17,-0.01027510408716622,-0.01797785672269271,-0.0017136478021119589,1
18,0.001142412646694298,-0.006030823628710852,0.008418450252815214,0
19,-0.0038823464964699707,-0.011591904470298606,0.0037363157779684852,0
20,-0.004187064150710079,-0.0108834683302989,0.002230087827945204,0
21,0.003271682606311967,-0.002936389494702131,0.009799849364081799,0
22,0.004335401867593668,-0.0035928793225265265,0.012226224824730035,0
23,0.00010147365934705685,-0.0075609170421267885,0.007729498933313442,0
24,0.009327784137875883,0.0016969753459461917,0.017500283555252447,1
25,-0.0016405680744709839,-0.008132717254389903,0.005316264961062252,0
26,0.01032265622691363,0.0033052037581141683,0.01749995292204555,1
