a_subj,t_subj,z_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
2.325299484586544,0.4362871325690487,0.3227281431440058,0.03318654427409636,0.03402603193985594
2.2226225243740947,0.36746792795772926,0.49641046348215256,0.03386134126339141,0.029963187467953182
1.8282115831370878,0.5349868780752233,0.45028761195097466,0.0196207068587401,0.020560010737252363
2.046050900877892,0.5499558567132159,0.3661478032304298,0.026020420880165197,0.028238572636310494
2.082898865113249,0.4936588602020832,0.4917519949854197,0.031044569623790503,0.030962280960815804
1.9081845259522092,0.45168080895569335,0.5508327431911688,0.04640474125303233,0.046982194650472486
1.1948340276750815,0.23963683654447987,0.5138744169726257,0.024947456828853156,0.01303861961601222
1.7222706000052204,0.45848053460701094,0.5034979894760819,0.03107539804078851,0.03709360023545611
2.0305760911574047,0.46018082199756405,0.46752020182858567,0.02446086328310629,0.026814996388294404
1.8570199239688914,0.4199740889782011,0.5236058369018927,0.04387488424746933,0.0358912333265967
1.553250396427445,0.4618426370541259,0.4935751462922008,0.023653812772517054,0.028504240037754206
3.1752131709195868,0.45471743830107203,0.3958193703517364,0.02270820562973494,0.025991548948043834
1.9980568568726802,0.48208608629155664,0.556512806108023,0.021399889784683525,0.01824604762559455
1.7276709582819574,0.4337303835274724,0.33769113938901946,0.0484693933761476,0.04412667774347093
1.6348001794596765,0.3699314247351709,0.5990984096584476,0.019835246943752275,0.022406487527175407
1.3134261897016202,0.32907621005795085,0.4135951365480565,0.033932082599339594,0.029105085245600654
1.8611573195409734,0.43384005021485866,0.4335610411456917,0.03831925934349042,0.03472001191487205
2.083364771935442,0.43061477102699014,0.4068884287064426,0.05259741682858354,0.05319809836371932
0.963850128599508,0.22412258782847963,0.44756526871536645,0.009076547211533325,0.0008235505999107254
1.3134111072718728,0.4391066294979958,0.37604672950882245,0.03140186988004663,0.025818775789272986
