parameter,n,pearson_r,r2,p_value
v_Intercept,21,0.794342817017415,0.6309805109471626,1.7076426843040226e-05
a_Intercept,21,0.659607938743059,0.4350826328528671,0.0011417764531326412
v_z_IAW_chart,21,0.5148830959601097,0.2651046025054676,0.016921274500000662
v_z_AttentionW:C(OVcate)[low],21,0.4829477040974402,0.23323848489298865,0.026579152879270332
theta_image_low,21,-0.4624154849893384,0.21382808075792503,0.03480421934613998
v_z_AttentionW:C(OVcate)[medium],21,0.4358814405335587,0.18999263020161028,0.048244799620487805
v_z_IAW_image,21,0.3459151461147388,0.11965728831158108,0.12454211103561585
theta_chart_low,21,-0.33078821926477764,0.10942084600436261,0.14301814954391462
theta_chart_high,21,0.29743201284920323,0.08846580226752859,0.19039404747418073
v_z_AttentionW:C(OVcate)[high],21,0.2674647752682617,0.07153740600930172,0.24114365131952295
theta_image_medium,21,-0.16797946279373363,0.02821709992047134,0.46671200159721293
a_OVcate[T.medium],21,-0.14075558302978866,0.01981213415405573,0.5428104832839322
a_OVcate[T.low],21,0.0925420826073178,0.008564037053299632,0.6899143481825177
t,21,-0.06770028958705539,0.00458332921017116,0.7706084629022444
theta_chart_medium,21,0.02934726014393784,0.0008612616779559625,0.8995121325754117
theta_image_high,21,0.024712141816563567,0.0006106899531619496,0.915323206133871
