a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW_subj,z_Intercept_subj
1.79598710989065,0.3814287734408124,0.5498566730936436,0.021753379442545125,0.029731617498594157,-0.003976803612978681
1.5989763082596498,0.2972411802246504,0.5196958661341688,0.009699121823991737,0.017034355558457007,-0.0010525445460660787
2.379633416129807,0.4072840801663501,0.6526033518766755,0.0305831212015297,0.027688781157135085,-0.010528045468741299
1.7490838074392487,0.29368240358755454,0.5532631588066611,0.03985363881688917,0.03848960431947728,-0.006077256990285059
2.0710880164405836,0.42532813313734097,0.5786487141934555,0.025718770594254908,0.020566335466785098,-0.005650029021048234
1.5871822178634405,0.5849797741273187,0.5749528753868842,0.018455695435534974,0.020927175126987177,-0.00452986667015817
1.5855821432264443,0.38129431243780987,0.6004479459420616,0.036927278326285576,0.044212665222051535,-0.0037504047589766248
1.9169628079064858,0.4485910572574616,0.5297320650187658,0.022438821843757048,0.02934959418511487,-0.002902555330929872
1.0120371047907093,0.37289219783137834,0.5770491212670572,0.04258477211669948,0.03477965805792497,-0.004734710421706824
1.6722119807341969,0.44830156649823055,0.5388014021776071,0.030195208033846385,0.024204146152327275,-0.008046847099015313
1.1947614693266222,0.38059608346771784,0.561870287200262,0.034110199589971066,0.037169375425241964,-0.005103229555591006
1.7045189919181933,0.3908596998879712,0.5686890968839282,0.03808343114122597,0.037126097496783625,-0.005356244741842556
2.032338489359454,0.3654952139069444,0.5830062329495549,0.020461587880472448,0.025750861462781067,-0.007216428895794451
2.4150221647872505,0.3898279679673177,0.5292429188241867,0.02584154170909921,0.024412031012954687,-0.004036235855160067
2.227133118981441,0.43178223921838843,0.539066541368305,0.030929879786942945,0.03233614369153684,-0.006934821975093025
2.8549657193952203,0.4306575918999112,0.5483619657863932,0.036177739080965714,0.034829135754843664,-0.007662371671890334
2.6398107129401724,0.3297975315411483,0.5994603605556866,0.04398210712868643,0.03613918263358131,-0.004684368643194965
1.8529231622096893,0.33715903937387665,0.5649597319577961,0.02046267076474615,0.02341815823463834,-0.002970564088937619
1.4341110183782364,0.3310671751117146,0.513308116865036,0.006010354644321783,0.010793086331792802,-0.0042842791600808
2.237993372152778,0.42780131379749325,0.3879660307947087,0.020980003516968194,0.008561631857116102,-0.0035486128533398983
2.5163694613739027,0.5340917458584364,0.4571698990896544,0.03634435069154946,0.04069258290687338,-0.004844595697959185
