subj_idx,dwell_quintile,subject_mean
1,E>>S,0.475
1,E>S,0.4
1,S~E,0.3148148148148148
1,S>E,0.38596491228070173
1,S>>E,0.24324324324324326
3,E>>S,0.6363636363636364
3,E>S,0.6585365853658537
3,S~E,0.5357142857142857
3,S>E,0.45081967213114754
3,S>>E,0.5492957746478874
4,E>>S,0.3116883116883117
4,E>S,0.425
4,S~E,0.3076923076923077
4,S>E,0.5
4,S>>E,0.4032258064516129
5,E>>S,0.7307692307692307
5,E>S,0.4090909090909091
5,S~E,0.16176470588235295
5,S>E,0.15053763440860216
5,S>>E,0.4485981308411215
7,E>>S,0.5106382978723404
7,E>S,0.5283018867924528
7,S~E,0.37209302325581395
7,S>E,0.5490196078431373
7,S>>E,0.5652173913043478
8,E>>S,0.8717948717948718
8,E>S,0.6338028169014085
8,S~E,0.4691358024691358
8,S>E,0.56
8,S>>E,0.6818181818181818
10,E>>S,0.319672131147541
10,E>S,0.34
10,S~E,0.2571428571428571
10,S>E,0.09090909090909091
10,S>>E,0.42857142857142855
11,E>>S,0.5
11,E>S,0.42857142857142855
11,S~E,0.40594059405940597
11,S>E,0.23076923076923078
11,S>>E,0.49295774647887325
12,E>>S,0.5815602836879432
12,E>S,0.34615384615384615
12,S~E,0.35135135135135137
12,S>E,0.3404255319148936
12,S>>E,0.6794871794871795
13,E>>S,0.5757575757575758
13,E>S,0.4878048780487805
13,S~E,0.5967741935483871
13,S>E,0.6470588235294118
13,S>>E,0.671875
15,E>>S,0.7777777777777778
15,E>S,0.5949367088607594
15,S~E,0.4158415841584158
15,S>E,0.45569620253164556
15,S>>E,0.6351351351351351
16,E>>S,0.5401459854014599
16,E>S,0.4444444444444444
16,S~E,0.4262295081967213
16,S>E,0.43137254901960786
16,S>>E,0.43243243243243246
17,E>>S,0.6785714285714286
17,E>S,0.5588235294117647
17,S~E,0.5925925925925926
17,S>E,0.7272727272727273
17,S>>E,0.5
19,E>>S,0.4528301886792453
19,E>S,0.4090909090909091
19,S~E,0.15942028985507245
19,S>E,0.3978494623655914
19,S>>E,0.40425531914893614
21,E>>S,0.6949152542372882
21,E>S,0.5
21,S~E,0.45
21,S>E,0.5128205128205128
21,S>>E,0.5
22,E>>S,0.48148148148148145
22,E>S,0.3333333333333333
22,S~E,0.28205128205128205
22,S>E,0.2808988764044944
22,S>>E,0.4883720930232558
23,E>>S,0.6744186046511628
23,E>S,0.5164835164835165
23,S~E,0.32673267326732675
23,S>E,0.4444444444444444
23,S>>E,0.5681818181818182
24,E>>S,0.4
24,E>S,0.5714285714285714
24,S~E,0.4266666666666667
24,S>E,0.5319148936170213
24,S>>E,0.4
25,E>>S,0.35714285714285715
25,E>S,0.18
25,S~E,0.2777777777777778
25,S>E,0.21739130434782608
25,S>>E,0.0
27,E>>S,0.3108108108108108
27,E>S,0.2571428571428571
27,S~E,0.23880597014925373
27,S>E,0.3090909090909091
27,S>>E,0.41818181818181815
