bin,mean,sd,n_subjects,sem,boot_ci_low,boot_ci_high,model_mean,model_sd,model_n_draws,model_pi95_low,model_pi95_high,mean_draw_subject_sd,mean_draw_subject_sem,pi95_draw_subject_sd_low,pi95_draw_subject_sd_high,pi95_draw_subject_sem_low,pi95_draw_subject_sem_high,obs_mean_in_model_pi95,model_mean_in_obs_boot95,obs_boot95_overlaps_model_pi95,diff_model_minus_obs,ppc_p_2sided
1,0.3510015736159686,0.2375450021606873,20,0.05311667725466312,0.2568410134378466,0.4505017135224438,0.44933931120582465,0.028187615646462886,2000,0.39501475757981447,0.5061935965498469,0.18191141898222052,0.04079361666411557,0.13123975984404077,0.2390644510080971,0.02948953481499502,0.05345643634577732,False,True,True,0.09833773758985603,0.001
2,0.40945464783776353,0.16965182559411823,20,0.0379353014535387,0.3378721980451849,0.4794625711518739,0.46081233951466793,0.017082006163251763,2000,0.4279284218208765,0.49618346153561893,0.13415884261037894,0.029999205211135634,0.10321940657735895,0.1731142656474359,0.02308056097041635,0.03870952658626233,False,True,True,0.051357691676904405,0.001
3,0.45519300406889646,0.1720857491594629,20,0.03847954330795363,0.37889983004841404,0.522810795767835,0.4682835165045368,0.020842174868016178,2000,0.4307278827702481,0.5114028857947929,0.12642258234774853,0.028298483080471015,0.08745067690206751,0.16592397825274674,0.019554565823139365,0.03710172944703385,True,True,True,0.013090512435640356,0.573
4,0.4682577997820677,0.144256511445096,20,0.0322567365788211,0.4001308136963224,0.5239184446142248,0.47492039490185506,0.022399632747475466,2000,0.43399912926857354,0.5203240719154199,0.12049811148000726,0.02711829228425014,0.07398122444385602,0.16319482676304523,0.016771915362640808,0.036491472621847106,True,True,True,0.00666259511978734,0.79
5,0.4780251951303177,0.1950788540252344,20,0.04362095785731825,0.3908063178239629,0.551532629472102,0.4839655710246773,0.02550688623337995,2000,0.435907419047895,0.5336419500622042,0.1154353726845767,0.026344004027798094,0.06380482607866857,0.17997842678860992,0.014674895352177284,0.040316598106445306,True,True,True,0.005940375894359584,0.824
