a_subj,t_subj,z_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
1.8293347856324451,0.383013800492493,0.476097171076216,0.034913305880926615,0.0440593502822417
1.6775985210850126,0.3173344590946461,0.6135845591777104,0.024974382298930158,0.029847119651552876
2.1503820810597025,0.4334623165754097,0.49095656002997984,0.04352240910614326,0.04248257415781525
1.6933070068386693,0.3071280304075871,0.5611539989656261,0.05138277824138839,0.054317530285932406
2.0263586456724667,0.4339863481144006,0.469674085799713,0.03830106312547371,0.03456793618340745
1.5904053919786665,0.5869272057091952,0.5251965227858147,0.03085741791437579,0.034121151790035255
1.5824428920403186,0.38217105991425593,0.48563132601450854,0.051191120026210984,0.058757890773877976
1.9341988744363803,0.45016079255031594,0.47740641875976825,0.03493666324336314,0.042450549758892994
1.037374923938718,0.37148521921713806,0.48582651824886214,0.05693636682390044,0.049120666772311715
1.6912870575049392,0.454693026929521,0.42959247521695487,0.04183287441047795,0.040544055751145884
1.288750983434584,0.3723121688094856,0.42104544429875884,0.04922027738242759,0.052593602729010765
1.6936076706474898,0.3906111566133329,0.488156463877796,0.05133315971362337,0.050091200587421454
2.0198994985634178,0.378387622264952,0.5622192876238893,0.0358040170749721,0.040735138618186194
2.2553619630772466,0.4255406983442636,0.44189194930502174,0.03760751870825266,0.03745139904784618
2.2545735591674836,0.4545696779954045,0.40419184116984425,0.04785402019352693,0.046196479861333954
2.6666419857672676,0.4767982336086246,0.42927437336776403,0.04853472372556374,0.05036115706445621
2.3586439535628925,0.3628824237240196,0.4853964788046967,0.056017157250882035,0.04872259150355492
1.8270290287665856,0.34992657703130936,0.5485511566599195,0.03573391538338337,0.035370412152766706
1.4428350978539326,0.3298733105622066,0.5028222276579534,0.01706471403803335,0.021959200608638502
2.2665373645578053,0.4512396995897348,0.4104861103292309,0.02762945307536733,0.02176487730146388
2.436456875364815,0.5506048056465488,0.4599804604109425,0.04742721029665792,0.05304447426791153
