a_subj,t_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
2.100019110563929,0.3857385756793371,0.030053942284993092,0.027085309425051014
2.2219422596815197,0.3671651473962043,0.03355625099135766,0.02986927797383962
1.820056931749269,0.5298597930894657,0.01884778899162664,0.02106021869165636
1.9876803967094094,0.5008794272772428,0.0210785260817306,0.029210036913678274
2.081577538189163,0.49329901974758106,0.03100711427125102,0.030685232947683005
1.8701575794450143,0.450005258168376,0.04526875875769817,0.045210902785494375
1.198975292387672,0.23817017372727672,0.024526180831886638,0.013511986418023689
1.7251722168244736,0.45764171202653575,0.030964575152274302,0.03690680045806769
2.0526390941938026,0.4468373064547581,0.024646900705276645,0.02610281152494731
1.847905456611113,0.4194009439923192,0.04346421203010659,0.03546586945990014
1.553638002391409,0.4613158809415405,0.023537473393018652,0.02850122958345472
3.144637512572026,0.38079072822907317,0.023423827200060286,0.022020083555006145
1.9913605920999058,0.4669018243290796,0.021663503687058824,0.01799863857316982
1.6400304235760248,0.3890941009265413,0.043739849729543895,0.035541790350980165
1.6255296512523716,0.3505506921696011,0.020042826767287587,0.020627886421158842
1.2662461355261694,0.32045773581818093,0.031490178624106704,0.027803346297458044
1.8494378226669264,0.42287186843197516,0.03725297845285814,0.0328381365228816
2.020180783078938,0.41628445840733985,0.04841823458259278,0.049572502229967744
0.9311461082319294,0.22487621561425644,0.010187170297881498,0.00034518752308902175
1.2257704123801543,0.43104833829743877,0.03038691889380691,0.02212778558056384
