a(low)_subj,a(medium)_subj,a(high)_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
,,,0.4076255041864149,-0.260458280329406,0.07342387839995364,0.08512187554186894,0.024566515218182976,0.03266356480407981
,,,0.3137737500139398,0.5616344221329912,0.04826891496141743,0.0627017934060882,0.021134411740409278,0.019624806482949047
,,,0.46588541683484164,0.0010434958139013792,0.08088094540492871,0.08207417638849276,0.02775310026780148,0.02600504074936135
,,,0.314157650537091,0.14701702972649022,0.08797562063145661,0.0838016576858894,0.03174539461107697,0.03378754386439939
,,,0.4390191791833584,-0.20749369694463538,0.06986072647222169,0.06451091151421529,0.02415518686543399,0.026440863452717196
,,,0.5853777877283692,0.0589141850987033,0.065135303980455,0.07178340158440359,0.025468226409033918,0.024197479714540174
,,,0.40235862652160886,0.013594468082201336,0.08776236691593348,0.10442456063769907,0.037588925337834554,0.031595814290370686
,,,0.4594973441349427,-0.1177266534322715,0.06392130572941994,0.0799696925774282,0.027005686556398036,0.025864032053259968
,,,0.3724536093163956,0.07459622720528161,0.09995594543061721,0.09833917295274303,0.03663907661239438,0.029580860217186502
,,,0.45401729694297643,-0.12547273266462378,0.08274906850108735,0.07586679731268324,0.025967180998369904,0.02742409690233883
,,,0.3926477701470146,-0.5574395048445518,0.08736859324087244,0.09540688570851116,0.02988017931430408,0.03608378035645403
,,,0.4036984155100792,-0.3746337935853727,0.08933405548762001,0.09415626899176747,0.030430761848030764,0.03180425397296536
,,,0.3843550773409513,0.029661492513223333,0.08429248510665541,0.09441770525465411,0.02907625887248545,0.0296545215620404
,,,0.4785778150769012,-0.3040153572715301,0.08680011375520406,0.08638730211425918,0.027337456603267016,0.028968455426363126
,,,0.4616727531624032,-0.383271669576214,0.07334166145992557,0.07827668949521371,0.03273942037785525,0.028081721827049908
,,,0.4906378081329096,-0.18773214210357222,0.06405191606803781,0.07113942382206834,0.03141667194400551,0.028559177690267782
,,,0.40546418939745826,0.08647827519643314,0.0954472280000568,0.09118063352165018,0.02735583022561994,0.02944739543433301
,,,0.364236650344086,0.143281467643967,0.06420818316661876,0.0781849395943677,0.027992486003042164,0.023661110595256662
,,,0.33099290230016437,0.09617687673144189,0.04238961502450759,0.05203399359533959,0.012839601684059829,0.016404617545629527
,,,0.4490887531250225,-0.15227922121339243,0.06711283728106202,0.03501184336744874,0.012749536849131,0.01970888804268666
,,,0.5801463452118928,-0.0041157283838343574,0.08262560896454076,0.08775129142114012,0.027628698461665786,0.03202633012653866
