v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj,a_Intercept_subj,a_C(OVcate)[T.low]_subj,a_C(OVcate)[T.medium]_subj,t_Intercept_subj,t_C(OVcate)[T.low]_subj,t_C(OVcate)[T.medium]_subj,z(0)_subj,z(1)_subj
0.5824830370201992,0.022516563374403532,0.019362348339898007,0.03571254167527763,0.029512703622049295,1.5489589452377743,0.3357993363105369,0.3682006873683186,0.38252999350852374,0.0346971895105616,-0.01195683976926775,,
0.44012640040850964,0.015657017960766514,0.011701213632039026,0.017607779155530853,0.02739084093972573,1.4100591857020117,0.519056056214433,0.15887690505458005,0.3489102168441886,-0.002590311652322173,-0.020899757322255078,,
0.6608360771659422,0.02891776350095666,0.030375675208835693,0.022441061170769053,0.027549352998575485,2.5026827987014064,-0.07078833188225697,-0.2607493844973609,0.4481029874216694,-0.04252031300836112,-0.010490334096984374,,
0.5928237792278775,0.03717501560340764,0.03701909270714649,0.04485656675728043,0.03642425554545517,1.687086598219977,0.11408072064626952,0.07145428547961649,0.29595570378231983,0.006255580909756264,-0.0011969804792783564,,
0.6000214190456274,0.02363607855599346,0.018356099807053886,0.026609916175952632,0.012137580024030538,1.9718554926024896,0.21631596389272884,0.2037166962979678,0.4293884791514589,-0.003725722475577682,-0.005787223390340527,,
0.6344693876489934,0.022755918683262696,0.012743771170346333,0.02893077618875869,0.025391143732661527,1.4750829758647206,0.097413508047545,0.349322567172284,0.5784326826120995,0.005405416412004488,-0.0015090130261373109,,
0.6538023015403159,0.03534470291638455,0.0440741989926742,0.044921463407258354,0.03607326502742767,1.4568571665064511,0.11968940774842134,0.3581832487639621,0.36720164987814075,0.04249768814067702,-0.011667803377725635,,
0.5230397225283048,0.024333105622807362,0.028932808259259795,0.030988466943943117,0.030597274321111353,1.781960353885236,0.07984869462056968,0.3635242591532234,0.4379590952008234,0.037674642710676824,-0.004439163022351276,,
0.6323488386071776,0.04102339293869438,0.02811496840449457,0.04075059807235929,0.029408035311103954,0.9379712241811249,-0.049246790282563804,0.17492159885654207,0.37487806650320293,0.04463946923268639,-0.011922032164255362,,
0.5430738399970044,0.028646700536709233,0.031922550112964326,0.02415584136735302,0.024050658071877,1.4802296388258278,0.29600438806882023,0.21032373501541343,0.4611273754534228,0.013483602096678747,-0.012284397182070469,,
0.651593602854952,0.03303840588651674,0.018450322534690696,0.04849766106837564,0.030264400109422065,1.2743722605462402,-0.15020484433717465,0.02687935195866001,0.39201432287945753,-0.005980267854994817,-0.020117212068657846,,
0.6225924124457664,0.03581251479600039,0.025543636631492353,0.03947090446659057,0.03323358317386717,1.6246856949157327,0.13001961983035487,0.06909826884193614,0.39233425211172773,0.019734691584177812,-0.00893882541165575,,
0.5601508708205665,0.024239530872860026,0.029985296530217222,0.0230169331475631,0.035362429062841566,1.945098052563043,0.03369233237452308,0.2183440671529449,0.38685059200123795,0.05491405897619925,-0.01993337837465236,,
0.4946533415996408,0.029337675176175342,0.019250980158201314,0.02652637253809241,0.03388509590221179,2.329924092524171,0.025970183026490866,0.5377649516251362,0.40170923788194113,0.04195141829844285,-0.00813588538494922,,
0.5911363719032473,0.030923197791984686,0.027399712369222555,0.03541777961214167,0.02663003114151714,2.226136390575231,0.018407545468228273,0.11727415363496649,0.4413102059554989,0.027125909983565597,-0.008440749793859162,,
0.594922826549802,0.030495691694950307,0.04576113757955785,0.03437161855836413,0.02350049075587209,2.629121621345434,0.442142740950213,0.03531653918489209,0.46199289961166573,0.0012910214019848298,-0.010013563287313256,,
0.6096802100280412,0.04765813329406372,0.021500322289694142,0.03343307470407334,0.047409548436967194,2.3196520380634253,0.7825435949476665,0.24964887266150718,0.3774022370276129,0.015669173689170212,-0.009887721809998792,,
0.5378168205000544,0.022204409900911864,0.025464151002023185,0.02517187192334706,0.023136551219219818,1.5001535969496875,0.4320584298801026,0.3255819397994904,0.36135827423955114,0.09345114817016922,-0.008698136443663924,,
0.46354855168431996,0.009516478986160697,0.01430114322313613,0.011057189470478828,0.015944857313449492,1.2890525985384587,0.10516306761131465,0.20208886707850784,0.3401404564030132,0.04230903272524192,-0.01055903381391582,,
0.40799660852332864,0.01307445105450378,0.016561331418897818,0.02161674280337224,-0.012217737651056881,2.16678598932939,0.18855864022614652,0.10752450265423737,0.4518467938755058,0.06370882239546598,-0.015456603333858067,,
0.4632263028770164,0.03921119956795499,0.035653508610655464,0.038904915570994306,0.04921474482337494,2.2814466046980253,0.3130030489941403,0.3800265152556933,0.5430537317713061,0.011061827057555157,-0.011665505947164638,,
