a(low)_subj,a(medium)_subj,a(high)_subj,t_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E_subj,v_InattentionW_S_subj
,,,0.38287396964624,0.021228272126898835,0.04042297076558366,0.03164020565839999,0.052134610723509285,0.0382227086136333
,,,0.3137616050787947,-0.002880415773992871,0.01424548413196124,0.035533582928532016,0.01498730528104816,0.04585492233419017
,,,0.4320129866975406,0.4798658240106063,0.032823168551639074,0.03585684671216749,0.02457118613956614,0.03491605282933839
,,,0.3020850177351558,0.05705619386994815,0.04282860292574261,0.05386136539662902,0.04877928037987731,0.0464900267231576
,,,0.4313493974197194,0.13950934847849372,0.03996209853112324,0.03185445360115401,0.04221319277908243,0.02645305763714607
,,,0.5782661644343456,0.07501234393654287,0.030116939556189482,0.034454088474238406,0.03364095465786542,0.03549005220570228
,,,0.3805395258543996,0.18419985615075413,0.055675131439131005,0.04214692903763987,0.05945154884763287,0.05090092327758009
,,,0.44952549404125297,-0.04269328562760884,0.04374248170308356,0.033483552567218536,0.04771303948207184,0.04131879636345002
,,,0.3693555221633045,0.13696358657833604,0.0590900626988332,0.048503620291661144,0.05377608731677414,0.03993987718998944
,,,0.44938644297499425,-0.04986329031133602,0.05268712168067348,0.034607263538808025,0.04590346493055335,0.0360564037473
,,,0.3808342281784227,-6.435643069997236e-05,0.06855873410079708,0.03350231975305358,0.070586823365517,0.03800459706439272
,,,0.3945499411305962,0.14101693682242047,0.052206879734669503,0.042086879990489774,0.05691876928674695,0.03964199882077632
,,,0.3668904965152512,0.16618259777074884,0.030858971900418777,0.03367984155494097,0.03245035125416695,0.04094199663804557
,,,0.42524023418593615,0.08178841178710067,0.0537779036611308,0.0296952876923995,0.053976233330151745,0.030048869006554242
,,,0.44402790727890185,0.08412315522757587,0.05544532103116889,0.03397259884085692,0.05853975450509646,0.030282812319599808
,,,0.46444346056150654,0.10767289878929638,0.05430809998452815,0.03294334084566349,0.04989580671169451,0.04196171104794143
,,,0.3917590096513481,0.300474454246175,0.04689969035747442,0.05083458977252345,0.04291265348941892,0.04286974308804846
,,,0.358750584210023,0.06732650310053898,0.03479268488131027,0.030644889417987174,0.0357643626490991,0.036818102897474246
,,,0.32876259384950784,-0.16879423784251182,0.02197580254211731,0.02016625166888918,0.019989757449301065,0.02981656477015169
,,,0.436405282860168,-0.2940614204623804,0.04062852244973833,0.0317270530526934,0.02398682337853674,0.024392751331186464
,,,0.5467133706612439,-0.08603095636395915,0.0534759205579907,0.047321022084931684,0.059837024701794764,0.05067488522543033
