a(ET)_subj,a(LT)_subj,t(ET)_subj,t(LT)_subj,v_Intercept_subj,v_ES_AttentionW_early:C(OVcate)[low]_subj,v_ES_AttentionW_early:C(OVcate)[medium]_subj,v_ES_AttentionW_early:C(OVcate)[high]_subj,v_ES_InattentionW_early:C(OVcate)[low]_subj,v_ES_InattentionW_early:C(OVcate)[medium]_subj,v_ES_InattentionW_early:C(OVcate)[high]_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
,,,,-0.30838069497660286,0.04985807843964088,0.05002604586263614,0.0645429789485793,0.056988542394865914,0.05589254988249436,0.07124042860005268,0.03669285656938399,0.047716995108116694
,,,,0.6694474196354975,0.03239725128300668,0.041726814681136225,0.06954266883966188,0.05723856091749718,0.04353849586716638,0.08658736705866386,0.031677432538198644,0.028137526049040264
,,,,0.0856739867054289,0.056670881139779375,0.052702973668601584,0.06932375375534201,0.05905607702188348,0.05293186071600089,0.07275746082942151,0.041982753589077715,0.03854604557487633
,,,,0.1931730206203277,0.05119301417900566,0.052404543805720086,0.07644689308838606,0.058867223633203423,0.056355953870794964,0.06404411300772724,0.05117751516252989,0.05350947556400902
,,,,-0.26564804925841173,0.050193960094199554,0.04398172494791946,0.0710050453418767,0.05834548271709514,0.04880795642065779,0.05064172022533787,0.03595483603309653,0.039541544536179286
,,,,0.061458562701433454,0.05406421209040899,0.04515704529929169,0.06277822766325401,0.05670191417510887,0.04796743997194987,0.06936178478714297,0.041849850989715644,0.03793573973943929
,,,,-0.011460231871722338,0.05071973197800571,0.054035427095411384,0.06670507406596418,0.061039489214747014,0.06389619470992015,0.07882881038776446,0.05627309676226009,0.04551172603080642
,,,,-0.1294374394537467,0.050041709610531636,0.041525515928518206,0.06786215524261902,0.058202651737100666,0.049997853372976145,0.07826189940150312,0.04031462116434899,0.038707785404827756
,,,,-0.03422344951016685,0.054928179555003925,0.058879407195020425,0.07359899730078695,0.05737379415336327,0.06384026475133153,0.0682472269267936,0.053892110098463404,0.04275962081585252
,,,,-0.1695507086999593,0.04658748951020136,0.05393617501639225,0.07305838471565158,0.0582170093130367,0.050482413268092045,0.06557477016127267,0.040977461687038884,0.04264848587059306
,,,,-0.7293328164024151,0.046296940561889696,0.05780375523772676,0.07179690242560291,0.057032119860436166,0.07008751021622636,0.0672571157128191,0.04669407347764697,0.058622428885506964
,,,,-0.4578299082210781,0.059779111419364504,0.05718924331700653,0.06844082962355492,0.05994638299352885,0.06097131868602146,0.07781200373995337,0.04821286855235266,0.04971155626266788
,,,,0.031374492584008484,0.04721413350989759,0.05248622529562576,0.06867300132374278,0.057810086835356204,0.04997921344197564,0.07903137955219122,0.038519337137442336,0.04091719649565683
,,,,-0.3098600394963997,0.058389329198443134,0.05052944815902819,0.07132802129294993,0.05727178195392067,0.04868699475106744,0.07610083442049824,0.03544876403144777,0.03657204294675338
,,,,-0.4428034018093292,0.044940281100344495,0.05201063553206918,0.07149545521824713,0.059182766027337304,0.05249960615803009,0.07247410983057241,0.050704378613335155,0.04301301371958817
,,,,-0.19161170535694785,0.05391428976467813,0.04705389709048839,0.06177853512276103,0.057956848378740905,0.05351191357354358,0.06161322182466678,0.04829823229199705,0.040279602753382944
,,,,0.14307639517401663,0.058837961970346554,0.05554046482194246,0.08117299520124815,0.057471328374484924,0.05747545272543474,0.07946461140912828,0.0407398171629166,0.04030852176178889
,,,,0.1220551563080312,0.04554308604139847,0.041798531259735865,0.06958299091999358,0.05589808656241159,0.05650579147310653,0.07272420319768945,0.04253440120737703,0.035863667657104664
,,,,0.14069589975498817,0.03800173870906842,0.035678621018930934,0.06293125357413502,0.0543253983972314,0.04039195668681268,0.07162998449940573,0.01696376162383803,0.024013673960042687
,,,,-0.22518299965030855,0.041593736363693554,0.05062769674869232,0.06261161004466971,0.05402523114115108,0.03469370975132786,0.028554762760454235,0.01921542918548004,0.0303730934252257
,,,,0.025980848108815006,0.05325420041379762,0.05287352072748962,0.07658526192009942,0.057842550771585975,0.05351141857934448,0.08232995797072694,0.03718319466723951,0.045167599727524675
