parameter,n,pearson_r,r2,p_value
a_Intercept,21,-0.5039552396272496,0.2539708835477586,0.01984054874152702
v_z_AttentionW:C(OVcate)[medium],21,-0.39210512030178946,0.1537464253668808,0.0787455165415048
a_OVcate[T.medium],21,-0.3623263937922935,0.13128041563852813,0.10650239218556071
v_z_AttentionW:C(OVcate)[low],21,0.35797524110400103,0.12814627324346767,0.11108768966222064
v_z_IAW_image,21,-0.26691792879197085,0.07124518071059562,0.2421437646288016
a_OVcate[T.low],21,-0.20693054252728554,0.04282024943063673,0.36811718948322997
t,21,-0.2034491552013279,0.041391558752134,0.3764074180590634
v_Intercept,21,0.1756825527410722,0.030864359337619614,0.44621815776222795
v_z_AttentionW:C(OVcate)[high],21,0.12398038624179064,0.01537113617266359,0.592350364357772
v_z_IAW_chart,21,0.030299758294883933,0.0009180753527283877,0.8962673610795205
