sub_id,mean_accuracy,std
subj.1,0.9277777777777778,0.25885550571603866
subj.2,0.875,0.3307189138830739
subj.3,0.7805555555555556,0.4138702456651281
subj.4,0.9333333333333333,0.24944382578492943
subj.5,0.7805555555555556,0.41387024566512826
subj.7,0.9527777777777777,0.21211384667347224
subj.8,0.8972222222222223,0.303668414842307
subj.9,0.9,0.3000000000000001
subj.10,0.8333333333333334,0.37267799624996495
subj.11,0.8916666666666667,0.3108009366495254
subj.12,0.8722222222222222,0.3338422041683025
subj.13,0.8333333333333334,0.37267799624996495
subj.14,0.8694444444444445,0.3369136424503107
subj.15,0.8555555555555555,0.3515398226568084
subj.16,0.8333333333333334,0.37267799624996506
subj.17,0.8861111111111111,0.3176762658376341
subj.18,0.9027777777777778,0.2962601251069659
subj.19,0.8944444444444445,0.30726792908944084
subj.20,0.9111111111111111,0.2845832994414599
subj.21,0.9388888888888889,0.23953401263677887
subj.22,0.9472222222222222,0.2235895434733416
subj.23,0.8833333333333333,0.32102267140430363
subj.24,0.7305555555555555,0.4436712023587616
subj.25,0.8027777777777778,0.3979015170666613
subj.26,0.8944444444444445,0.3072679290894407
subj.99,0.8388888888888889,0.36763340570146014
