a(ET)_subj,a(LT)_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early:C(OVcate)[low]_subj,v_ES_AttentionW_early:C(OVcate)[medium]_subj,v_ES_AttentionW_early:C(OVcate)[high]_subj,v_ES_InattentionW_early:C(OVcate)[low]_subj,v_ES_InattentionW_early:C(OVcate)[medium]_subj,v_ES_InattentionW_early:C(OVcate)[high]_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
,,0.4694464231349989,-0.2614506468319835,0.050416861333114175,0.050009755057383684,0.06542000988578546,0.05706056611409773,0.055901850205665536,0.07139901742550234,0.030743189182014363,0.04178799911399756
,,0.360230541993516,0.4986546514177239,0.03637211556987463,0.04254550499469045,0.06905436229815193,0.05722667280389698,0.043562095343241146,0.08735415643777807,0.024862478263840207,0.02333332822683124
,,0.5334977123334856,0.030439847512872934,0.05590115757339339,0.05209603279838607,0.06894447547198343,0.05910229657396115,0.05301312882888323,0.0721587701470091,0.035940513161624506,0.03331671906329474
,,0.35217161623282134,0.17495890572947814,0.0521974160139371,0.05285618196258838,0.07368835554373725,0.05931028742075741,0.05719589128602511,0.06417707160316306,0.04232101854272764,0.044919877708299014
,,0.5166295914778235,-0.2773417409978029,0.051690512630686525,0.04465143467208865,0.07030761820690073,0.05859825978408567,0.04920324205909512,0.05161582997470417,0.03164115386533474,0.03508029429012561
,,0.6520430573659176,0.026905290405550876,0.05758869306192732,0.04744054714685107,0.06467481841843493,0.056681395035949975,0.04972068102780512,0.07201342155843726,0.029797634200980753,0.02861998379470659
,,0.44316779650176585,0.0035225012826674285,0.051632457420430135,0.054003452232475505,0.06822311900385378,0.061400783413756474,0.06660713469594007,0.07805267347415418,0.047841723439391415,0.04059977571184181
,,0.5026982088323312,-0.12283999115175298,0.050808160686199796,0.04204932397901339,0.06802597526749307,0.05859811585526599,0.050191132965753886,0.07830689933799895,0.03222207401028832,0.03137598271965879
,,0.382261197508729,0.024929038545263044,0.05437490596679641,0.057860569189808864,0.07260575609304448,0.05728779775673444,0.06403915152981234,0.06781461225369101,0.046067618297251214,0.036878323693918406
,,0.5025733750563501,-0.08758326559804087,0.04846226660739787,0.05330046889743828,0.072451573052786,0.058660291630410595,0.05062512129031235,0.06480652801132382,0.03232082086059445,0.03607096490202944
,,0.40718600142327677,-0.5797233119634481,0.04711154777272522,0.05653858374245347,0.0710798453807003,0.05743285297356579,0.07050673127765372,0.06720379340825912,0.039842273070811826,0.048331058850834815
,,0.4390632162800624,-0.43824229147342375,0.05913855434274,0.05640867215140754,0.06855203268520638,0.06030754550125707,0.060623754847296055,0.07799781869487368,0.039349066607391604,0.03983145836173899
,,0.44482974518782203,-0.012037304948177568,0.04872345208753438,0.05208048670699183,0.06775154528522044,0.05801659401918213,0.05008479499227757,0.07832435846083795,0.03551724766456287,0.03725052451601096
,,0.5638043899018644,-0.2570436640014463,0.05803265962808393,0.05065348378950309,0.07086744388552707,0.057251951656945514,0.04866045398081587,0.07532760644477522,0.03170039654556984,0.032709703688189144
,,0.5374709050275837,-0.35591825798536436,0.04656266736877795,0.05214215751823955,0.07083251056982699,0.059371676088958526,0.05328211848014079,0.07183177642519763,0.04157277809720098,0.03522541254440074
,,0.5577495718703781,-0.16339655818748056,0.05413406232879894,0.0472324331702861,0.06316886021395857,0.05791231641727023,0.05384293091824864,0.060954516797263075,0.03989930880260303,0.03510383128644926
,,0.4535152699687069,0.12337850985866738,0.057807971568748076,0.05502557431975033,0.07804649983346493,0.05755662651078484,0.058206629069800425,0.07785707530274735,0.034298015256917856,0.035345506640693414
,,0.40074967666248296,0.08841833574793954,0.04691613198857178,0.0420291712667645,0.06914975098916888,0.05606538037585652,0.05666397929462718,0.07236290763207678,0.03531890367617954,0.030450572391120746
,,0.3755660681410768,0.1759196157628908,0.04197697797088944,0.03835436026477297,0.06567711150208945,0.054487713312345205,0.040793690953727854,0.07299782736779392,0.01465456419673758,0.019088908582217796
,,0.520015104596035,-0.16985743414983656,0.044040451139416216,0.05085891232280393,0.06438197109416402,0.05357259390915467,0.03398285155238567,0.02978482684724997,0.015978958833892012,0.02375272228899877
,,0.675577086575637,0.047215152378716034,0.05358119518288975,0.05279420381474421,0.07399451235096798,0.05780161076765669,0.05306955569738343,0.08051555755409436,0.032703817213468926,0.03894957061084382
