a_subj,t_Intercept_subj,t_AttentionW_subj,t_InattentionW:C(OVcate)[low]_subj,t_InattentionW:C(OVcate)[medium]_subj,t_InattentionW:C(OVcate)[high]_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj
1.7826315523430636,0.3812217033204817,0.0004929277120204743,0.0006734427853385915,-0.0001715507054822505,0.00010283933560106007,0.5833917716313617,0.0238653644226053,0.015836666675933198,0.03304679308380266,0.032301455520086494
1.5470454190352285,0.31827139437364405,0.0004902367900272323,-0.0004589055194944283,-0.0002146354571077194,0.00016908920490832957,0.5059440472938587,0.01391768570962546,0.011049347973681517,0.01734305156262506,0.02681935752326667
2.3841191531947548,0.41043623653430267,-0.00017142292394695357,-3.7677895203985646e-05,-0.00012494222057765633,3.8253340228769624e-05,0.6818420366727654,0.029782275204667304,0.03134835421877778,0.02418522601353783,0.028235908253588213
1.7305267802155506,0.294071317805646,0.0001443075030057069,5.55390942957972e-05,-0.0001028451184771386,0.00040618844392888864,0.5927173846762479,0.03836095266128011,0.031097095453183475,0.03886410626295902,0.035701683120323915
2.088213978704008,0.4254451490076755,0.00010461358387643111,-0.0003561399331445493,-0.00011942811084733594,9.047074778337157e-05,0.6117191228136691,0.024650352696643615,0.016249830842270014,0.02526257154283053,0.01337292532085016
1.5824700889868413,0.587901445424025,0.00032978219309074503,-0.0003787126026170694,-9.048930168603917e-05,8.662573167861378e-05,0.5910470766959458,0.020379599814643348,0.010221283780055213,0.02271207936903339,0.023324058369513984
1.538220471116619,0.3915292372312307,0.0004779939682778729,-6.50725516529398e-05,-0.00026108931155678264,8.78166225864447e-05,0.6530880338809907,0.03803544458116467,0.03924095704039653,0.04108783168907281,0.04034642666914542
1.9214149472186774,0.4450563541581803,0.0005325108349086333,-9.073851329778944e-05,-0.00015835186752297567,-0.00011309065371282088,0.5417317746986007,0.02402241964585045,0.02672146458814578,0.027383545458245197,0.03132665176622874
0.9992584904488895,0.3766904686355902,-0.0001515189420217454,0.0003894425329800095,-0.00017065185071129697,5.505077939435177e-05,0.626823073157156,0.03791962540131401,0.027273952409019222,0.03731816355595573,0.02770139620877645
1.6541460586279184,0.46081111412790354,-0.0003173459759447386,-8.678931303270854e-05,-9.411766978798222e-05,-0.00035132860085911467,0.5525679141005038,0.028996406395962265,0.026895535110342504,0.02347188824350752,0.023186143227855727
1.1792495762286401,0.3929205012126395,-4.470343286861474e-05,-0.0008586741219767278,-0.00027579580436702835,-6.683824271946792e-05,0.626623140124846,0.03198069525921731,0.018143392733245178,0.04517563680165198,0.02928135146389733
1.6928670847218341,0.40311149722838946,-0.0002882265219750335,-0.00029350275032462904,-0.00014813043357827632,-0.0002917848786998914,0.6267713236658158,0.035751822419978554,0.022243232977152805,0.0407812593859831,0.0330919094089749
2.0694942601825854,0.36414765450211584,-1.30632424638722e-05,0.0001703871770557283,-0.00016442849967590665,-5.911132401471263e-06,0.5972182630099553,0.022392533362524097,0.025393905521668363,0.020745842636665304,0.036016911643057176
2.459606462466533,0.38562669148621437,0.0003320282955822988,-0.00025529051862625607,-0.00017951340489130875,0.00011072009362542992,0.5366468490670162,0.029645543011004485,0.01724197044926552,0.023169054141009338,0.03378153235462589
2.19781812585188,0.44001252938230384,0.0004591649588952593,-0.000592133760626195,-0.0002356545162950586,-9.099777015921844e-06,0.5600992249564005,0.031185870693768245,0.025256435183732488,0.03468312838975156,0.02799423763578064
2.838858901173514,0.43064631176815066,0.0002584272349693383,0.00011743709700417743,-0.00014642994346552012,-0.0005499358251505747,0.5670936417142779,0.03486942760966641,0.0369149808162401,0.0346119064394046,0.025970778195639255
2.7400701241798946,0.32739739014408165,0.00011466743332053307,7.725314134144093e-05,-0.0002174837288182397,0.0002690873788586661,0.6547436352818352,0.052023706326455046,0.016643996341605564,0.035808935967307144,0.0550865638881833
1.845743395368007,0.3349311656351668,0.0002783706217630012,0.0010127458640784917,-0.00014381536372692273,0.00016538167167780296,0.5728409088368589,0.021590326401552146,0.02054893915736035,0.025175706622435998,0.024813423608736934
1.3790091769571986,0.35475028017049265,0.0005030354318689692,-0.0004710072975555894,-0.00024638221040606975,0.001228577021124919,0.49671050213990114,0.008951714404941868,0.012221209188733127,0.010239634629263921,0.01753542063694599
2.3076765796633545,0.4265754403660279,-0.00024245202034408171,0.0005459391120197635,-0.00012860534715855443,-6.057925134277041e-05,0.3980918835082109,0.01669499481104974,0.0112197199622764,0.019310958991435905,-0.015387447673014112
2.5125300421529744,0.5414869504752751,-0.0001093933775740335,9.360447745895278e-05,-0.00020992463488517856,-4.8703448477548404e-05,0.47910004364360315,0.03869472673239338,0.03254198532944445,0.03628613648506681,0.05056848914801736
