a_subj,t(low)_subj,t(medium)_subj,t(high)_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW_subj,v_gazeCI:C(OVcate)[low]_subj,v_gazeCI:C(OVcate)[medium]_subj,v_gazeCI:C(OVcate)[high]_subj
1.7764352606726816,,,,0.5827096664183179,0.017736206409482577,0.033350583039656274,0.000453263820536427,0.00031137295753881736,0.000505963567081225
1.568901880142229,,,,0.542704566725152,0.006866980150549942,0.01928193160888448,7.191457568905268e-05,0.00037554680535146877,0.0006415955461721916
2.3831932884911042,,,,0.7209767063816562,0.025718217837070477,0.030996471056395403,0.00017053030925855687,0.0005540434253144672,0.00036979372805102175
1.7170811160212467,,,,0.5616103675390016,0.040841194927526324,0.039368716317899614,2.4501269841772646e-05,3.1075932898731386e-05,-1.2781186279676058e-05
2.0923561834450566,,,,0.6049011605014281,0.024679826497814944,0.02056217322273143,-8.699532833848448e-05,4.8497442243651435e-05,0.00013453929032516588
1.5991102943157491,,,,0.5958761952653262,0.016357981314147636,0.02396362094153993,0.000332110023019831,0.00028103394938585756,0.00018345951267129248
1.5752880511960938,,,,0.6376662561229665,0.034799078638258804,0.04660215862811624,7.193423597294552e-05,0.0002991997541346499,0.0008549269032703687
1.9518561709582414,,,,0.5504075699095404,0.01809788178972693,0.03447742690255023,-0.0001581823034804254,0.0005454531057018581,0.0007212186481448421
0.9594401862113986,,,,0.6190439869204363,0.04149229189752393,0.03539442545859194,0.00024324062778171752,0.00018337489306042713,9.733215234347806e-06
1.6965820266059222,,,,0.5769805223697247,0.02906887168145356,0.02611034001009156,-0.0005533770405570232,0.00044234596080717126,0.00044839256952161166
1.1904926185028777,,,,0.605049253306644,0.02977511699135217,0.03857572329609735,8.447970798576722e-05,0.0002154458945324642,0.0008132551832231703
1.6967900525105546,,,,0.6084682941745746,0.035112325360066504,0.03774522839291871,0.0002494926538867219,8.286693818167406e-05,0.00038101517102162634
2.005133629072087,,,,0.6369101750303784,0.020725080884714076,0.024600463208830047,-6.444772683485934e-05,0.0002897942367982063,-0.0005391988755072268
2.498613861293668,,,,0.555192503469744,0.026776747346728903,0.027331558658951347,0.0003399994572108365,0.00023370530737857237,-0.0001401857887846534
2.2469272585366973,,,,0.5863782508450799,0.026149144577561068,0.03559512678032898,-6.525523773964866e-05,0.00028534277746771744,0.0007037217745162255
2.9184965044838114,,,,0.6047031416096991,0.02948565978196183,0.03996927853716437,2.146636583908275e-05,0.0004764668932185725,0.0008280602921770756
2.750495318568662,,,,0.6964026541721144,0.04296215024254071,0.04267653390773594,0.0004338018480488142,0.0005542024286581167,0.0001927381390282419
1.7577825154538513,,,,0.6011418130576289,0.016835694616975382,0.02752024467819771,0.00016930556842474376,0.00040766107993856475,0.0007013634554197442
1.4020357711608071,,,,0.5301250779759827,0.003711565438566692,0.012232221660217136,-2.8882859825047027e-05,0.0003034034363225042,0.0002120820403795198
2.258237162666779,,,,0.3756674091033771,0.02306032989334081,0.006246258860616694,-0.0001894097098190493,-0.0004199179316842044,9.70429391180554e-05
2.61345132759473,,,,0.46074669984229744,0.03739198284749222,0.04226324775666908,8.716698399546281e-05,0.0002082600730856187,-0.0002058728913766608
