t_subj,a_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E_subj,v_InattentionW_S_subj,v_gazeCI_subj
0.3831660443470842,1.8334794863965944,0.07697800885577304,0.03526886248457101,0.028185537903397916,0.05208996640979553,0.038664973462781284,0.00024581558888143047
0.30060009802020676,1.650107015789169,0.0064728413145242955,0.013074534574542114,0.033889913970237266,0.01714404735743745,0.047752719270062735,0.00022450131850421738
0.42197134802831504,2.2588412394308275,0.5262515426322371,0.02921007572192275,0.0340212200172773,0.026365623727545844,0.036302616273784644,0.0001859995174169032
0.30107475739997425,1.691955335721818,0.09079120545338554,0.04151177744612165,0.05337135252209148,0.046018902890932266,0.04414762356327561,-0.00015054070711909096
0.43100671862903345,2.0542806850819524,0.16895418697401457,0.04089349687348204,0.03264288717465864,0.03974436600312437,0.02308828829426032,-0.00019457113235309386
0.5850818353554785,1.5950175407345868,0.06936199526821352,0.024709077520795195,0.02887610177895769,0.03445439879872372,0.03557988174299636,0.00029259084708143333
0.38310520796917935,1.5760076783329047,0.2140412118849705,0.05189589753054692,0.03830125532511119,0.0584392042856353,0.0503880747801421,0.00020729755204570004
0.4483127023026629,1.9413320659565747,0.020594612587371296,0.038535445917989526,0.02937102630008537,0.04598712437054617,0.03950494729351795,0.00011538445232423034
0.37150815813958254,1.0339425593186187,0.14967287407481772,0.05814299530276107,0.04593405998314835,0.05406211921120692,0.03860291376946193,0.00014015986146692495
0.4464014178545223,1.6992486960308215,-0.0021140051407321798,0.05536899383300763,0.035956728849866774,0.04173066514101019,0.030929328165240626,-0.0004167340826070529
0.3774863309527008,1.2397303509784847,-0.015262639516816369,0.06903103833350999,0.032856754998932064,0.0717726190265612,0.03837109992670721,0.00010513222685449974
0.39069784660441564,1.6989756139019176,0.17850358590266538,0.05167450021198154,0.04138564231684971,0.05737885032668847,0.03982743898623946,4.0455033261619694e-05
0.36640393453038206,2.031206389498482,0.21664912939942793,0.029456031868767517,0.032646682593658174,0.03054604846121697,0.039563225027947554,-9.784265977141071e-05
0.42054120771185477,2.305068856085757,0.15236463101875225,0.04831554825855683,0.025831560706248837,0.05020611693158789,0.027525537532624118,9.462365673272418e-05
0.44266251645124355,2.212702954626647,0.10218101796478804,0.054565766444782685,0.032580029554697396,0.05924057119525909,0.030816345096292722,9.297590226689871e-05
0.4528259155748019,2.744442095150957,0.13115011621800524,0.05390084747759829,0.03193515624088881,0.05111448200293193,0.042828128337743444,6.237604135449048e-05
0.34910842239088347,2.4911611801591764,0.5336161158040122,0.038945573637309605,0.04303010037700557,0.0446152579551957,0.04187408120033406,0.00045363084579762525
0.34143709653122817,1.8461157498684313,0.11570277817534808,0.030920310153882278,0.02761302570127796,0.03498590582672304,0.03599058678250436,0.00024021860672394276
0.329528580243549,1.4484249348126788,-0.1374068063521036,0.02021553790934292,0.018376707947266098,0.01943371409244588,0.028959788838774748,3.996454952395388e-05
0.41595003798836666,2.2947377433076017,-0.28490560241128177,0.0457890477631801,0.03620093434329514,0.018824923561061028,0.018302021386884387,-0.0005332487568789514
0.5468826580041388,2.413406447685094,-0.05881219222051261,0.05039704711240876,0.04357811825480413,0.05716855946300962,0.04973859341814265,3.952266304382198e-05
