Contrast,Mean,HDI_lower,HDI_upper,P(>0),ROPE_low,ROPE_high,ROPE_%
Δθ (unsigned: |vIA_E|/vA − vIA_S/vA),0.09944141795461597,-0.2125094574904587,0.40780143839386696,0.7442,-0.02,0.02,0.0848
Δb2 (unsigned: |vIA_E| − vIA_S),0.0030420838264266724,-0.006535991761723817,0.012345090527169728,0.7442,-0.002,0.002,0.27286666666666665
Δθ (signed: vIA_E/vA − vIA_S/vA),-2.0195043396315304,-2.5109330235232976,-1.5698280928156172,0.0,-0.02,0.02,0.0
Δb2 (signed: vIA_E − vIA_S),-0.061925600882248424,-0.07124850155269186,-0.05221210103214684,0.0,-0.002,0.002,0.0
Δa (high − low),-0.14584193894656425,-0.4289241354971691,0.1435941433355914,0.1626,-0.05,0.05,0.16673333333333334
Δa (medium − low),-0.11391974553433697,-0.3973549010616646,0.17545849668548885,0.21506666666666666,-0.05,0.05,0.20166666666666666
Δa (high − medium),-0.03192219341222728,-0.3181529679189128,0.25554547861732857,0.4116666666666667,-0.05,0.05,0.2666
