a_subj,t(low)_subj,t(medium)_subj,t(high)_subj,v_Intercept_subj,v_ES_AttentionW_subj,v_ES_InattentionW:C(OVcate)[low]_subj,v_ES_InattentionW:C(OVcate)[medium]_subj,v_ES_InattentionW:C(OVcate)[high]_subj
1.7678409189021038,,,,0.14298585968508373,-0.03509128426461994,-0.04279756143073122,-0.046859554716353766,-0.03819725846515802
1.6469372533242015,,,,-0.8742177226633249,-0.030887689029923934,-0.02750151294060153,-0.029582443535009616,-0.04448097776268036
2.189191727466895,,,,-0.19215094461111606,-0.04612937489832092,-0.0494707776051309,-0.03757280245058956,-0.04572323282476554
1.6867123747764579,,,,-0.3278438511620886,-0.05329229813070909,-0.050742324460564606,-0.05308879873864376,-0.051756961514466834
2.0566500258092035,,,,0.15050613358294515,-0.036137147040177335,-0.03750847632847561,-0.04031397904127446,-0.03135311034760975
1.5705023130050053,,,,-0.20322335564458813,-0.033392155866037984,-0.028941905287497464,-0.03653963849632113,-0.034082743525230406
1.498469040565429,,,,-0.15589191503493785,-0.04978891492048232,-0.060774878198243544,-0.05980387007316979,-0.05428629687461779
1.9047352802485185,,,,-0.04209385319402264,-0.035889898242294445,-0.04541461536285368,-0.04015093565505797,-0.04282630516569351
0.9245354811533785,,,,-0.15810167631244387,-0.05290796458571982,-0.04419687322591896,-0.05100810151970948,-0.04392942787918213
1.6701806206959966,,,,0.09710137225811685,-0.040983475626119655,-0.05079021475318809,-0.0384353186677725,-0.04254787696579644
1.2250452153511537,,,,0.49049788229857555,-0.0499445161535852,-0.03906346639764853,-0.061272296611037974,-0.0478279169637775
1.6977580250304516,,,,0.25241948123241764,-0.04758320546455752,-0.05097092149505203,-0.05474559323035758,-0.05024768110546315
1.9306505977680102,,,,-0.3547967172991901,-0.0388356622211404,-0.047314246282887135,-0.03317375943073728,-0.048212140895502416
2.4135281022756643,,,,0.19322697347545015,-0.041343114396585764,-0.03676008891553257,-0.04013480168466279,-0.0478869705212587
2.242535108166643,,,,0.3321222628627712,-0.04685236955505468,-0.04301262372958434,-0.048760952924965184,-0.04799402443325955
2.63631602059303,,,,0.01673205864346502,-0.044970429928158,-0.05819070927375503,-0.04724793801915706,-0.044803118099544195
2.5608825196930884,,,,-0.2305874453622342,-0.06498201483964827,-0.0432935880090539,-0.0502897929139988,-0.06302569608511172
1.7190060417323518,,,,-0.1823259018550665,-0.033281049744700066,-0.03973643296435678,-0.0365876618578755,-0.038543579028555146
1.3986034035271429,,,,-0.2528612493381071,-0.019948823705769,-0.025739183086475634,-0.018219949738216033,-0.027054474831358165
2.2822925310299467,,,,0.13735959274672743,-0.023703784061910697,-0.03197185752085892,-0.028744598769779514,-0.004738136448011454
2.5031213190699617,,,,-0.11033245106139834,-0.05056684623419318,-0.05043564233291394,-0.04854383386136497,-0.06031572851397542
