a(ET)_subj,a(LT)_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
,,0.4695973856318737,-0.26750178837159305,0.05024194709096566,0.05677763592529939,0.03074655894629158,0.041904565430671864
,,0.3608496026278696,0.4840679370997328,0.0382270909718213,0.04955623510534506,0.02473026379023664,0.023218618812935386
,,0.5340496896602868,0.03124034126316327,0.056629147376078985,0.05833314019530354,0.03580171620300062,0.03319374415034677
,,0.3536313712361225,0.16947835469174333,0.05850913216980842,0.059095832264462585,0.04245475537098076,0.04497982973687305
,,0.5214152799207512,-0.2660821130270768,0.04977745255033192,0.04631688513805892,0.03168805125694286,0.03505948419308315
,,0.6499349042579861,0.02041511870037496,0.04856167899068699,0.053050952018600744,0.029882583821471447,0.028804608815133796
,,0.4428282011920631,-0.0013508703880483121,0.05853821799594243,0.0735069149517368,0.047790448195917865,0.040544660606221944
,,0.5034353085964209,-0.11924506568961676,0.04288357175716537,0.05510632773885053,0.03222692489188252,0.03152731783424514
,,0.3821585409595663,0.024071081674129986,0.06641597033992011,0.06555209737125448,0.04590936577047004,0.036754049635747084
,,0.5022667929476224,-0.09097224745411421,0.058482287998018044,0.05305562623479813,0.03259208336128811,0.03612584624584112
,,0.40716697568553273,-0.5791750535437845,0.06144203862603499,0.06755380420148661,0.03983865434565766,0.048396964960696155
,,0.4394785100551696,-0.44438345898263937,0.06314768331774548,0.06781338412102048,0.03936911236795777,0.040062612471758345
,,0.44791838834661485,-0.015511492947486426,0.050886669504312046,0.05861359934251205,0.035552549717151126,0.03727831428037926
,,0.563843065870332,-0.254593430176023,0.05596732912340487,0.055082396599112335,0.031576369087920726,0.03262869701252983
,,0.541735189435712,-0.35949250985811537,0.054107156018132686,0.0566747865460765,0.04146377948151669,0.03513150751493493
,,0.5580026535220074,-0.16551371363803177,0.04883403577843957,0.053679574368641056,0.03979505900928491,0.03514152559327644
,,0.45506556737271725,0.1255770718406364,0.0637568246439787,0.06416075995107999,0.03430676681352224,0.03541989464784503
,,0.402019365638125,0.09028568556108445,0.045821507097018044,0.05366387994012944,0.03517587570962687,0.03038174008384686
,,0.36520377376902613,0.1673561409634271,0.03425194055491105,0.03985614248797138,0.01440680882072256,0.01919345309153584
,,0.5214050235985584,-0.15731676126018312,0.05087022029914135,0.0274079280334493,0.016169577174753286,0.023689396272948
,,0.6768456142839379,0.05592315713906576,0.05712338752652954,0.060207003432772806,0.03280981670285055,0.038933272739537235
