a(low)_subj,a(medium)_subj,a(high)_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_subj,v_ES_InattentionW:C(OVcate)[low]_subj,v_ES_InattentionW:C(OVcate)[medium]_subj,v_ES_InattentionW:C(OVcate)[high]_subj
,,,0.38862047628277535,0.20399584194950754,-0.0359978335235571,-0.045402587116415836,-0.049821924869049024,-0.038189865224049706
,,,0.2919553648644899,-0.8655064639545483,-0.029680581385411416,-0.030654812853647285,-0.028964932013788833,-0.04240647131830987
,,,0.4371434452675065,-0.18608185919823397,-0.04573694080119528,-0.04925342161410934,-0.03655008864270119,-0.04541981513743887
,,,0.293401575985298,-0.32651327424707527,-0.05204235250080578,-0.05070404894896634,-0.05146280844618547,-0.050923504320643874
,,,0.4341556383144354,0.16397092408587507,-0.03604172100179993,-0.03909083251405548,-0.040412702632554545,-0.03129644109112535
,,,0.5772936963254157,-0.2109651026689462,-0.034718153821484264,-0.029457722577400997,-0.038249781969771114,-0.0350079098675829
,,,0.3785212951355806,-0.1771175996214375,-0.0512271324063678,-0.05858263481921047,-0.06205799454300698,-0.0552317750604824
,,,0.4576338857347065,-0.043746880441176465,-0.03705396643014229,-0.04440742414078966,-0.042014739494264396,-0.044314005720884266
,,,0.3727445768921498,-0.15969835001832414,-0.054493410347123905,-0.04433386246050526,-0.05427266261850314,-0.0452542437227667
,,,0.4581458587599955,0.06708503141237404,-0.0410225513637377,-0.0519637617796335,-0.03821173940429859,-0.04174572376214126
,,,0.3747029042209209,0.4644865034341254,-0.05108160075096746,-0.03915106147236111,-0.064032256237734,-0.048015412182460554
,,,0.3942684309157427,0.2758343162387546,-0.047223131049007896,-0.05173524359104921,-0.0536534158214143,-0.05048249065218024
,,,0.3634940036605914,-0.3345619072316736,-0.038818480027886876,-0.044939527718634444,-0.03388810083752838,-0.04784724455856812
,,,0.40789671755284657,0.21529114320706078,-0.04340878495591518,-0.03730863047342153,-0.04373991085741656,-0.04967809986409945
,,,0.45072623736644196,0.33488504213794423,-0.04678159214748908,-0.04225489330734934,-0.04906040922760154,-0.04784092758927854
,,,0.4851013273241783,0.024955439012977414,-0.04426875100318926,-0.060088889382824674,-0.04567655995093512,-0.04429703643128599
,,,0.3856146828070514,-0.22221981996373483,-0.06296622940631627,-0.04597469767398638,-0.04889473385687559,-0.06032833211125354
,,,0.3546565401883468,-0.16592018066170194,-0.03281370850587144,-0.039490129652490956,-0.037480338774434824,-0.037156867807478226
,,,0.32939687184507044,-0.2306610439120748,-0.019513756490662715,-0.025820197495908664,-0.019467233492007983,-0.025958910954603075
,,,0.4616083028463948,0.13407609011163146,-0.022987736063330728,-0.03240910018703707,-0.028011605522773327,-0.0041673198861757145
,,,0.551629703644242,-0.0884336698315658,-0.051439443445517326,-0.052021285826222785,-0.0509054928757673,-0.05938725162262682
