t_subj,a_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E_subj,v_InattentionW_S_subj,v_gazeCI:C(OVcate)[low]_subj,v_gazeCI:C(OVcate)[medium]_subj,v_gazeCI:C(OVcate)[high]_subj
0.3830542293011822,1.8301097810307516,0.06884121700529554,0.03594430047892633,0.028672357404649296,0.05162983041211255,0.037895141762668415,0.00015351515268466614,0.00015298840905146808,0.00022790510352190227
0.3003760617390628,1.6508009292155226,0.012934951026151163,0.01339403485431605,0.03361986816475162,0.017032037303232855,0.047240176555923274,7.45715997678838e-05,0.000303121758778242,0.00015352898498219227
0.42211891484318426,2.2570351372058983,0.5114173097477239,0.029498554696386074,0.03403539107730524,0.027110459860680336,0.0369406245469332,7.606417630466089e-05,0.00038356933976370567,0.00012761760146142058
0.3009365269207425,1.6911981955674595,0.10012837443936938,0.040521378632144736,0.051415406410582,0.04730831796130015,0.04490832131317491,3.159190927638066e-06,2.112411803252975e-05,3.958832717696757e-05
0.43000394602357284,2.05858276661226,0.17694526153969456,0.03854221908195198,0.03068914838788659,0.04177988546131376,0.025084303286308056,-9.690564213331329e-05,-3.304324656448974e-05,0.00013725097236087075
0.5841947823317117,1.600213353217773,0.05834338953568551,0.026600022484125758,0.030354474687855192,0.03334876131087078,0.03476717600879017,0.00019079063292248984,0.0002168973252952606,3.864955823456048e-05
0.3852669331797819,1.562142189043243,0.20809492708781238,0.05194638385780223,0.03814413107209214,0.05840095068077585,0.04959835821427983,4.329616459919318e-05,0.00015798297509647381,0.0002931789313341011
0.44864091782544013,1.939883903365449,0.03349782355580987,0.03686049306917508,0.028092118192143783,0.04685361221634895,0.04054982372839668,-5.583129128141591e-05,0.00034513830015572405,0.00025371094060643224
0.37145836062340976,1.0337412980251979,0.15379145821895054,0.05794926322773683,0.04555668924431914,0.05388666117726024,0.038349028389685166,0.00012524789475343518,0.0001997639354897199,4.855932182874624e-05
0.4470782665868752,1.6970718094570743,0.005990998425924417,0.051617202080360275,0.03199179991376944,0.04511558868845587,0.035671016626662756,-0.00034369428348860165,0.00033934130187856035,0.0001516281409931986
0.3770707740482905,1.2401523538286978,0.001203283076333853,0.06754054377454319,0.0323606808189312,0.07128352241577238,0.038371937699752126,1.5910553508470593e-05,0.0001380599628633968,0.0002527731693727828
0.39070894395460815,1.7000988422539656,0.17374086868129765,0.051499463453988426,0.04082047129655593,0.05770000428597997,0.03998189236395537,0.00010165430106715002,-6.130878097356635e-05,0.00022436330602222754
0.36524320087424256,2.0444019577840375,0.22511238378189424,0.028623024307807773,0.0319208995532258,0.03185762350830913,0.040551250554277364,3.256472604468584e-06,0.00030941055353499457,-0.0002540952012158991
0.4182953747818994,2.321584332724262,0.16383523100191014,0.048059026182960964,0.026628802623044383,0.04932685736864304,0.028198663025189717,0.00016910461075188003,0.000136719111882309,-4.8630832875709617e-05
0.4416145813973951,2.220430366542839,0.11953467937796425,0.053415621719450065,0.031883463527612725,0.059459964492768885,0.0315677472709812,5.650410926173911e-05,9.628166313815755e-05,0.00024132653409955862
0.4526022326872582,2.7559677015807162,0.16773135400534137,0.05149122635728137,0.030007987359512437,0.05405038613480377,0.04333672766883622,-3.794540339106526e-05,0.0002924023215431409,0.00035390536379703764
0.35274618659095236,2.461172335285054,0.4846336817156224,0.04086613753807523,0.04532936012588966,0.04466490904112284,0.03990629769042251,0.0002617936400247935,0.00045706489019182837,-2.9547391240097984e-05
0.34157413531397623,1.8452306886092453,0.10822240444805371,0.03137369895474518,0.027848774568385797,0.03508322656443657,0.03581713654390997,9.760384483231121e-05,0.00024067103850804183,0.00025800510925121214
0.3296098069804471,1.4490685879961032,-0.15935825963064082,0.01998700688762487,0.017993379142341604,0.02040975667016213,0.030630571151430867,-2.118816931735788e-05,0.00029862317747934494,1.7279978483772395e-05
0.4166939282695329,2.287327724599388,-0.28623835855896684,0.04198323171099668,0.032656276466767144,0.023189589795452624,0.02250950594602937,-0.00014257259983412057,-0.0002955791796862423,8.749521532147124e-05
0.545763897233436,2.4223193560956893,-0.035156415752030275,0.050229132260974155,0.04255326445454229,0.056771067017632,0.0494225216862143,5.812531447297957e-05,0.0001897251504767408,-6.711136062228778e-05
