subj_idx,rt_quintile,subject_mean
1,1,0.0
1,2,0.13114754098360656
1,3,0.36
1,4,0.4666666666666667
1,5,0.5957446808510638
3,1,0.4523809523809524
3,2,0.5666666666666667
3,3,0.6621621621621622
3,4,0.5432098765432098
3,5,0.42
4,1,0.25
4,2,0.32432432432432434
4,3,0.4953271028037383
4,4,0.3697478991596639
4,5,0.36470588235294116
5,1,0.0
5,2,0.1016949152542373
5,3,0.3333333333333333
5,4,0.4056603773584906
5,5,0.4117647058823529
7,1,0.375
7,2,0.5373134328358209
7,3,0.46835443037974683
7,4,0.5257731958762887
7,5,0.5283018867924528
8,1,0.6086956521739131
8,2,0.616822429906542
8,3,0.6301369863013698
8,4,0.5507246376811594
8,5,0.6451612903225806
10,1,0.3027027027027027
10,2,0.2857142857142857
10,3,0.35714285714285715
10,4,0.25
10,5,0.0
11,1,0.6052631578947368
11,2,0.4117647058823529
11,3,0.39285714285714285
11,4,0.35443037974683544
11,5,0.3695652173913043
12,1,0.3333333333333333
12,2,0.5333333333333333
12,3,0.5176470588235295
12,4,0.5217391304347826
12,5,0.5217391304347826
13,1,0.5616438356164384
13,2,0.5777777777777777
13,3,0.6164383561643836
13,4,0.574468085106383
13,5,0.631578947368421
15,1,0.4107142857142857
15,2,0.47959183673469385
15,3,0.6263736263736264
15,4,0.5945945945945946
15,5,0.5365853658536586
16,1,0.25
16,2,0.125
16,3,0.1282051282051282
16,4,0.475
16,5,0.5681818181818182
17,1,0.8333333333333334
17,2,0.7419354838709677
17,3,0.5
17,4,0.6170212765957447
17,5,0.5357142857142857
19,1,0.11304347826086956
19,2,0.4175824175824176
19,3,0.4576271186440678
19,4,0.5789473684210527
19,5,0.5945945945945946
21,1,0.826530612244898
21,2,0.3972602739726027
21,3,0.35714285714285715
21,4,0.43636363636363634
21,5,0.44
22,1,0.26956521739130435
22,2,0.3939393939393939
22,3,0.43243243243243246
22,4,0.5454545454545454
22,5,0.8
23,1,0.26229508196721313
23,2,0.3780487804878049
23,3,0.6710526315789473
23,4,0.5873015873015873
23,5,0.44871794871794873
24,1,0.22
24,2,0.39436619718309857
24,3,0.5633802816901409
24,4,0.4852941176470588
24,5,0.6481481481481481
25,1,0.20618556701030927
25,2,0.5
25,3,0.0
25,4,0.0
25,5,0.5
27,1,0.13934426229508196
27,2,0.2748091603053435
27,3,0.5342465753424658
27,4,0.4827586206896552
27,5,0.0
