a(ET)_subj,a(LT)_subj,t_subj,v_Intercept_subj,v_AttentionW_early_subj,v_InattentionW_early_subj,v_AttentionW_late_subj,v_InattentionW_late_subj
,,0.4693394843960848,0.3172516012745906,0.044234082123909196,0.05061864527033332,0.022582131210839188,0.026489601386502044
,,0.3623011445059432,-0.08601303949584815,0.0378520637964658,0.04973482364083679,0.02196899994593402,0.02127008948492149
,,0.5289292400944277,0.7341964824885863,0.045541382432535575,0.047008546343121335,0.023627766923289443,0.019447729254026446
,,0.3522129218366856,0.5506874399129836,0.04991303424050566,0.04828180184856446,0.02498102227999253,0.025453345320481442
,,0.5200945231096841,0.4065576480039457,0.04373410842038872,0.0403306757106727,0.022870681856728525,0.022580588569526213
,,0.64951503020256,0.17258796948910488,0.044442425317536775,0.04847223315746756,0.024133675035144662,0.022933880667073234
,,0.4421219172262892,0.6433092083561174,0.04754178679650306,0.06037765818395079,0.027235442727342032,0.022187491882417865
,,0.5029270369068599,0.21362200979547008,0.03969714166454598,0.05088364082671573,0.024474446576965174,0.023705436455225184
,,0.38210620321403954,0.5441035079629082,0.054388265861703,0.05327056095658207,0.027264560628440362,0.02216830099305786
,,0.5025211351232526,0.2664972566826766,0.05145982429385947,0.04600486862631404,0.023782160150885894,0.024559906255639134
,,0.4075555009430447,0.47199557350165067,0.05026762963766576,0.05772197024583954,0.02372447256239525,0.02670398155398732
,,0.43527203226487093,0.45170761960736977,0.05382760493355556,0.0557233776307334,0.024910303116318335,0.022982880273270324
,,0.4434188042508635,0.3968809002598506,0.04409800261645502,0.05058768993567435,0.023724847818492285,0.025292505197568232
,,0.5631998154617387,0.37116641740479844,0.04887953544277322,0.04694825035408959,0.022306656630451945,0.021655522467659043
,,0.5404755082776727,0.4742254454069916,0.044731046596951124,0.04796646456510363,0.024674409686562516,0.02150449009774846
,,0.54877628052636,0.5787333137794115,0.0412665208423845,0.04409690928779186,0.02515227185370092,0.020565628923850547
,,0.4478098307880741,0.5997785044430787,0.052259285111085525,0.053096021447362675,0.023176635094170978,0.02080555842678556
,,0.40038029329544583,0.32830110482417224,0.03980539482316207,0.04807983063242504,0.024620640359949146,0.022892056830689428
,,0.35181625101083447,-0.20499775769469544,0.03636763730179751,0.04343603253819519,0.019650695595471956,0.022857040544238393
,,0.5223730043590864,-0.1849325577068674,0.05330626703255893,0.029587947852943188,0.022228940855111564,0.022847730088829506
,,0.6754925062601501,0.2748205605295011,0.05096494704091922,0.0538025739899937,0.02227143481910311,0.0267121165013313
