a_subj,t_subj,v_Intercept_subj,v_ES_AttentionW:C(OVcate)[low]_subj,v_ES_AttentionW:C(OVcate)[medium]_subj,v_ES_AttentionW:C(OVcate)[high]_subj,v_ES_InattentionW_subj
1.7959383116837437,0.3860320192586374,0.15159160741263444,-0.02834143996225698,-0.03574953061874657,-0.04192676204549533,-0.04469749175703727
1.6741085605023902,0.28530575192708163,-0.7949862775861011,-0.01503315872962618,-0.03127163600798004,-0.029622649181927092,-0.034022026052317765
2.2078081854860407,0.4277251381110867,-0.19361677485956882,-0.04674462223804947,-0.04437380762274762,-0.04416655981316698,-0.04249285277935683
1.716388578687932,0.29312199870533195,-0.3511602576662266,-0.04263698842464856,-0.054165400530844676,-0.05214889755479453,-0.05162536726189334
2.0415092578400382,0.4346013444111287,0.1352338923460311,-0.026634352191056882,-0.0371930646736475,-0.044161177252666224,-0.03806194872785002
1.5750648597327885,0.5810665509535801,-0.20185487432803037,-0.03347380193586508,-0.032673442323401976,-0.03152981401404792,-0.032603328087425394
1.5552001094505121,0.38418054765121407,-0.16358914080696393,-0.045165195390525846,-0.04828927403115256,-0.05111991133478138,-0.05844927499061032
1.8891192159946077,0.45671406298422584,-0.07128335993815063,-0.02631942590121831,-0.034497409673875115,-0.042530645194261696,-0.04464227449565093
1.0002274806632097,0.3737324356508557,-0.13439229764614535,-0.050317906127732744,-0.051992858956938184,-0.053017678895895905,-0.04693956410146031
1.676199473465489,0.4565864945761141,0.0955097275601166,-0.025898096840205085,-0.046602823032333256,-0.04618830122319423,-0.0435729026552335
1.2642419947814965,0.3744378425737059,0.45334776260651627,-0.028539513193269517,-0.05442081344919217,-0.05724487858058244,-0.055002189259732194
1.6990098020314826,0.3908467275489899,0.2625656825531765,-0.04296428916300606,-0.04816903976048743,-0.04983453959858394,-0.053798790626005455
1.9825414440827844,0.36439397132708523,-0.36129389879091794,-0.029355402665978508,-0.04401957985869531,-0.03290350362076928,-0.03970683244704802
2.38998021666184,0.4089766306554036,0.15842326304509025,-0.05186495551509163,-0.03709749318471924,-0.03555757290504166,-0.03964434215719236
2.2209672287166122,0.4512633277956262,0.31396320045599413,-0.042438167737578254,-0.04582919622394758,-0.04871842441068018,-0.0484754029417223
2.620488877328149,0.4746469190290075,-0.003833268274883924,-0.04807244436341929,-0.04653972518046443,-0.046113282135400294,-0.04926968476852823
2.5297281438331805,0.34481591709887927,-0.2493380411178285,-0.041805564076147536,-0.06037079432809782,-0.05864563983030304,-0.0507692732831435
1.8177299971574266,0.33372091920388464,-0.15753676074950307,-0.029545635404856975,-0.029463560833343262,-0.03890439010688634,-0.037985243717153
1.435827371111424,0.32903814674904097,-0.24991741460143757,-0.014818037197815402,-0.019513778813546434,-0.021770022275616006,-0.02206534612074376
2.2389983429587077,0.4512264433547844,0.07200082587522669,-0.0220429083077585,-0.03310523225643292,-0.029771224746557322,-0.02133076007823954
2.4275300001379754,0.5530699336398623,-0.1073813992934006,-0.04924866552270661,-0.04607285723112688,-0.04618995816593171,-0.05220744992049989
