a(high)_subj,a(low)_subj,a(medium)_subj,t_subj,z_subj,v_ES_AttentionW_subj,v_ES_InattentionW_E_subj,v_ES_InattentionW_S_subj
,,,0.38235306040372685,0.4797550612823694,0.0360778905259819,-0.04851328089681505,0.04300856422155712
,,,0.32395578247517526,0.5753864903580328,0.026445742799036907,-0.022424319409023265,0.03995967611741388
,,,0.43895740362693375,0.474128324760897,0.04459168055615236,-0.0401713812507674,0.04512243947320512
,,,0.30724698554572727,0.5583563209079179,0.05180371779733367,-0.05427265237015784,0.05430491273000333
,,,0.432693515779879,0.47900032112500196,0.038347595436334134,-0.03826745814323602,0.033512677243598625
,,,0.5855196316290538,0.5947526225858482,0.035846111260231524,-0.049315237758290005,0.02623156496759149
,,,0.37778263018433256,0.4748816996798315,0.05315052160388333,-0.05843948308443887,0.06135578037064165
,,,0.4512951501638844,0.46929821750135997,0.0372012161635789,-0.04359038118680604,0.04510884181003149
,,,0.3591326311727212,0.5529109105420915,0.058075100863987275,-0.06790715440351049,0.03950753132047929
,,,0.45402153240138193,0.4460405923718694,0.042523343524403186,-0.04392399888058195,0.03970997355997899
,,,0.37370475301398437,0.4335692581961832,0.04863131054981712,-0.05419533903244466,0.050335045102238955
,,,0.3950873276062146,0.5097499263696348,0.05017144245669382,-0.056088143519350764,0.04581303943218455
,,,0.3762076592081025,0.5587964951691314,0.03728427167535369,-0.04091229768857887,0.042054710335273165
,,,0.4257822653526286,0.4431598113513035,0.041001913073778054,-0.043500982487432886,0.039618635990962915
,,,0.45728647001003736,0.4144760640390672,0.04731878034303598,-0.047476581539082324,0.04328951738837225
,,,0.48600919244483143,0.41983234256666135,0.048415346288151855,-0.04819885199373398,0.05147053460004595
,,,0.39388921182376435,0.4859612921969424,0.057864775917937095,-0.048544894156105675,0.05288029602369935
,,,0.3623514728911668,0.5368441515960345,0.03610781560762698,-0.03738076670967504,0.03748224036902209
,,,0.3270452004520104,0.47771595514349646,0.018278236788454753,-0.017027822821378366,0.026355606959254253
,,,0.46516245007460066,0.41503248912306906,0.026815197755908453,-0.02340839834499537,0.021767830270524386
,,,0.548239603289363,0.42948172517839156,0.05156055371063988,-0.04802227394919768,0.05834493017611131
