subj,delta_mean,hdi_low,hdi_high,credible
1,-0.027006332921700422,-0.03206108830084231,-0.021674561263428437,1
3,0.010043014471712054,0.004922436505501872,0.015105623647390133,1
4,-0.0010515334569811286,-0.0063366946684628896,0.0038795845996622766,0
5,-0.017621184998759903,-0.022623974830956652,-0.012713664995401382,1
7,0.00748447917649849,0.002603111801219419,0.012363287934143485,1
8,0.00979221998448078,0.004551526185714465,0.014847610753270166,1
10,-0.018008945854890688,-0.027678823185440318,-0.008406666453437957,1
11,-0.003247828726017761,-0.008682260739309843,0.00225864094486191,0
12,0.002443045811169124,-0.002762248107055533,0.007323069360937531,0
13,0.017563983396768706,0.011918206697964739,0.0232520496225838,1
15,0.0011184580454406757,-0.00435489317728573,0.0069759709376847195,0
16,-0.0019907708244938653,-0.005824102803607498,0.0017029242388464788,0
17,0.007811881640846859,0.001211827839439586,0.014331663502168218,1
19,-0.027930153960558042,-0.034583586419304965,-0.02152416180825139,1
21,0.016692353348960742,0.010074459592038724,0.02278802208826921,1
22,-0.026442062172838267,-0.03340559768389374,-0.018869210287935673,1
23,-0.014508510083763915,-0.020881137196478418,-0.008463440597174555,1
24,-0.018221177727538878,-0.024082314682722553,-0.012533991901495505,1
25,-0.024368189224346234,-0.04622537095457495,-0.0007982555034412031,1
27,-0.0256421394099473,-0.03270571659951692,-0.01832479786882136,1
