a_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
1.9059381149350123,0.4158716218742124,-0.24027136073378536,0.06960627928237564,0.08073941614842414,0.023236704402496446,0.030732777302906456
1.7430970473177585,0.3049371699307111,0.5371343567493299,0.04765218320542128,0.06324344613076531,0.02084525367347483,0.019254806902797218
2.288780387963762,0.47229477729205793,0.010527465597727402,0.07858365435600057,0.08006712705157744,0.02665638333285341,0.025114473961923314
1.730337112795934,0.32005438271400266,0.1477734172808768,0.08229140723531223,0.0797482761005204,0.02984520037329791,0.03193355689543759
2.161741655286542,0.4444983342086198,-0.21239691898456523,0.06701082279048938,0.06073479142151984,0.023065027212613144,0.0255289044983865
1.6789843144980912,0.5922771094833748,0.05590613425263721,0.05879371811492897,0.06557364361629696,0.022570672983794664,0.022081743340195744
1.593595335753041,0.40946647421480414,0.002922399720175329,0.08095960544081277,0.09949901230640508,0.03461208267567919,0.028721713687045295
2.046276425038962,0.46213349156488387,-0.10950957494366563,0.05762976257028676,0.07477822538178763,0.024895685403273547,0.024522046736482072
1.0642501193887666,0.3737816170068695,0.01784355452216537,0.0955696413576334,0.09382338312374053,0.03437239955861279,0.027550599868717735
1.7817119962315553,0.4550871758856368,-0.14949207340244391,0.0805362075052328,0.0722373788390767,0.024195590682995975,0.026542865158760573
1.2366832733354414,0.39323855108228106,-0.5566967628018061,0.08660743464185058,0.09477017181203166,0.028699539290579557,0.03456632577913857
1.829052531806235,0.40342122443680667,-0.36461436224863214,0.0867577353651932,0.09043980432795308,0.029387006066902567,0.030164673722094026
2.1822321688308044,0.3875641004867093,0.04531871556330056,0.07876096807437083,0.09129731749186693,0.027310078830572147,0.028253395492500638
2.3205215682367095,0.4857541035824902,-0.2636778701025267,0.081668860871483,0.07974943468752607,0.02427367126872041,0.025452276780287036
2.3253244021664825,0.46195827499822,-0.3824389580158959,0.07010361443217672,0.07540044847790812,0.03176773605132614,0.02693326130263849
2.7479365404923053,0.4899994746916929,-0.19320840348992913,0.06321921497034508,0.07070791302724276,0.0306250061455979,0.027561870340618213
2.5916905734101667,0.39484424469277696,0.07900313921261928,0.08953505359623372,0.08743966343420927,0.026141646157310384,0.026964056512886695
1.944353283364915,0.35310811577617673,0.11931969814283491,0.061049695294616,0.07234522013468381,0.0259998493590141,0.022387420340714188
1.4865504479038991,0.3316155928561554,0.09902247448643568,0.0405078557826365,0.050276165958019085,0.012587022490853248,0.01636047414976562
2.42985133745583,0.4442973216760582,-0.16656044440696974,0.06743588583645199,0.034543366849326566,0.013118981906308709,0.01959633621051955
2.5453290222134926,0.585904584112324,0.014237252643669976,0.07666454989043849,0.08264072248735889,0.02481393326054976,0.029925081147941943
