t_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E_subj,v_InattentionW_S_subj
0.38339107201548944,0.04741124815460254,0.03802359787967543,0.030962286233659275,0.050587219387960555,0.036573507123400045
0.30037695747745125,0.011432074628716041,0.015057784263237452,0.034537256159268094,0.015554659937040706,0.045348763341305574
0.4231182759095715,0.4647458242830494,0.03264861403591488,0.03629073841378767,0.02489976775109221,0.03554881351932806
0.30064718776007693,0.09547031551587806,0.0409407064342389,0.05169029865729341,0.047136950420067686,0.04449394879272129
0.431413374792027,0.15401786853829952,0.03937618852831645,0.031566031523744424,0.041691427895481345,0.025915398958444257
0.5843027099481516,0.05560143715733146,0.028297963762846875,0.03207365282130535,0.03181614307063771,0.03379076879467523
0.3827603732044979,0.19958555666591232,0.05308279249158012,0.039448304543486495,0.05721466214865535,0.048392224772733756
0.4483821123213595,0.01465518870789576,0.0397572552391804,0.030735903443278867,0.044970033416924515,0.03845270743458237
0.37132271367995456,0.14073639612921396,0.05836168426135895,0.046233359483068975,0.052975244770935404,0.03784302867687223
0.4477568317493783,-0.009751226191144522,0.05215012466210364,0.03273931499003647,0.04429803372269674,0.034378109306784935
0.37604632862985,-0.01027373823496802,0.06886102609834475,0.03362939900084699,0.0709095561620805,0.037815531526555216
0.39090966538671434,0.15403414596749226,0.05249770554742118,0.04220978581883985,0.05718944154370039,0.03992258698648452
0.36734526736759754,0.18864545293630147,0.029294364256984423,0.03209347441187644,0.03164705295963563,0.04026316270139377
0.4223590645889732,0.11369465059002444,0.05009465686293125,0.02697196704366948,0.050439164366042934,0.02725323119811162
0.4423182860858854,0.09167053231395088,0.05557233147804398,0.03387976191830265,0.05855904070933908,0.03035888110475824
0.45402176000089706,0.12516888415335403,0.05476555862299034,0.032599102751659476,0.05018965576579715,0.041856845510037016
0.36038345729689975,0.3632453433430646,0.044168719836905825,0.04705421827291065,0.04170161306767291,0.03887605854390167
0.34297855192432447,0.09415200518697404,0.033414987811098466,0.02944872188339739,0.03392446685893159,0.034427743026052525
0.32970990474124606,-0.1459325741536804,0.021007678600424833,0.01936100411302155,0.019557942080700306,0.029136761709324225
0.41978299126265195,-0.2824670425503873,0.041074318381055935,0.03161097485850937,0.02376858611434945,0.024517167357731007
0.5476040174496256,-0.04241918318125231,0.05035276513449616,0.043154108942011056,0.05633547466327302,0.04803466710552846
