a(ET)_subj,a(LT)_subj,t(ET)_subj,t(LT)_subj,v_Intercept_subj,v_ES_AttentionW_early:C(OVcate)[low]_subj,v_ES_AttentionW_early:C(OVcate)[medium]_subj,v_ES_AttentionW_early:C(OVcate)[high]_subj,v_ES_InattentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late:C(OVcate)[low]_subj,v_ES_AttentionW_late:C(OVcate)[medium]_subj,v_ES_AttentionW_late:C(OVcate)[high]_subj,v_ES_InattentionW_late_subj
,,,,-0.3198549348260256,0.05007622529870658,0.05029357401150143,0.05367766208936434,0.057541555866699394,0.057541555866699394,0.057541555866699394,0.043506102547560356,0.03523238752841625,0.03729333736187481,0.04763754037855728
,,,,0.640968137395035,0.02990816853920754,0.04387359790807498,0.043997496032586146,0.052109173902350016,0.052109173902350016,0.052109173902350016,0.026907805239809703,0.03355664635193008,0.040060180881582017,0.02982368924036063
,,,,0.08060076198713564,0.05751970418346711,0.053761276656239164,0.058061015385952944,0.05829994466421679,0.05829994466421679,0.05829994466421679,0.04142299780532003,0.04227574837557948,0.04140110752324895,0.03837139134766888
,,,,0.1994946005188606,0.051431347427284495,0.05348668764757349,0.06829079685279776,0.05867787162352722,0.05867787162352722,0.05867787162352722,0.04393521982868234,0.05146662987099069,0.048927411040434646,0.05259744367758152
,,,,-0.25578494610910973,0.04953876245889368,0.04378654273355473,0.06624957677569784,0.04872208871304281,0.04872208871304281,0.04872208871304281,0.03028479921959326,0.03867740666908688,0.04036159886718543,0.040818218009456834
,,,,0.03622571544764858,0.05408440342515023,0.04624060186092885,0.04656339835760114,0.05150728141343986,0.05150728141343986,0.05150728141343986,0.043549193733152476,0.045799076866577026,0.03309649062049315,0.036339975686571026
,,,,-0.013683200185557288,0.05303590569084387,0.056652328171006086,0.05577485796004627,0.07061584687650284,0.07061584687650284,0.07061584687650284,0.051487448386969316,0.05137397095774302,0.05235085122649268,0.0438097169379472
,,,,-0.10904844584216818,0.050248223838047494,0.04044567325232352,0.053432827088704095,0.05768707280084521,0.05768707280084521,0.05768707280084521,0.033428836055233065,0.040943154359823146,0.04543746679951548,0.04054394278272877
,,,,-0.03294827133007282,0.05607703775563722,0.05930996684032878,0.06624803978215901,0.06273697802470246,0.06273697802470246,0.06273697802470246,0.043952968798023545,0.050327401817149155,0.05074783658049264,0.04078754612236107
,,,,-0.1676757126585837,0.04616171230672321,0.05528940263538076,0.06343017818297624,0.05357941803959205,0.05357941803959205,0.05357941803959205,0.03136566423638626,0.05609955343773226,0.0356912419566481,0.04287953555438403
,,,,-0.714122065277273,0.04753654257517828,0.05799303448665827,0.06710573882129799,0.06736955851588099,0.06736955851588099,0.06736955851588099,0.028300044266426946,0.05533288684556975,0.04669940347430242,0.059951523987117186
,,,,-0.471795086325927,0.06216690176294134,0.05961071957461509,0.05892912210867812,0.06540875605093129,0.06540875605093129,0.06540875605093129,0.040070746458887946,0.043321440332624785,0.052778620544872944,0.050788124795324636
,,,,0.02574744943735469,0.04699657385080929,0.05528652926640677,0.049029243826347775,0.057680846515564495,0.057680846515564495,0.057680846515564495,0.03602057145743625,0.04455310575358072,0.03462849099733889,0.0411899541125019
,,,,-0.26556561114108546,0.059111628827388206,0.05293592242105761,0.05512947555500104,0.05464222970943422,0.05464222970943422,0.05464222970943422,0.05052699264762994,0.03625959960673675,0.03434289195223072,0.036639444446831745
,,,,-0.429487737012902,0.0450258306206304,0.05289422222863264,0.060656229320196244,0.0576693998630434,0.0576693998630434,0.0576693998630434,0.048138689682977166,0.04250350097284318,0.053081154420583775,0.04350156697670837
,,,,-0.19525772627460777,0.05432371108193064,0.047043828814161484,0.05331662829187256,0.054856630653642,0.054856630653642,0.054856630653642,0.04380903690923914,0.04742628673986161,0.04712546054972209,0.03978292701416251
,,,,0.15589579090114564,0.05918323167690653,0.05615705012527933,0.06877309540295312,0.06401765522955778,0.06401765522955778,0.06401765522955778,0.04338178050687761,0.03387442631680418,0.047045275470198857,0.04099568165300352
,,,,0.11556797877191756,0.04552032706434156,0.04140793588381869,0.057868170575960526,0.057101257848814944,0.057101257848814944,0.057101257848814944,0.03983033958013967,0.040334950007559475,0.045962397542100894,0.03639895267014094
,,,,0.169286381086311,0.03737447226859113,0.035347439729364084,0.044276203506509945,0.0444689616205613,0.0444689616205613,0.0444689616205613,0.02005448460358621,0.023338456636068244,0.02560903200163662,0.023991002620853442
,,,,-0.18354391543939885,0.043549801399680496,0.0504328071684758,0.05841081955666809,0.030258145115441056,0.030258145115441056,0.030258145115441056,0.01885396152306002,0.027692136866883373,0.024970266600602087,0.029087816777478282
,,,,0.03697692922914735,0.053737140712495225,0.054248799509251634,0.06039236239655493,0.06061904495868156,0.06061904495868156,0.06061904495868156,0.042980458515893966,0.03849483714548513,0.036231560110271475,0.045417412722825797
