a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj,z_Intercept_subj,z_C(OVcate)[T.low]_subj,z_C(OVcate)[T.medium]_subj
1.8097027128866978,0.383846231584043,0.5929339078232119,0.02262423045251957,0.015473373429337777,0.0345354544597646,0.032363611397297806,-0.018182588393342188,0.12324183046386755,0.0014144079438163494
1.6016310170119983,0.29888709168538763,0.5216997925995178,0.012002689886053072,0.011473572849125521,0.017502278392857135,0.0253321242224318,-0.011980745950022744,0.06931409075440136,0.011163872639455357
2.3914770878108897,0.4061198117340827,0.6727456422920525,0.030371257648788095,0.030979118875484178,0.024740263441697843,0.028317757869482877,-0.02504246541870501,0.0039946024858279975,-0.023284665928299166
1.7461142777906447,0.29294776391450983,0.5933223240486871,0.03733705812326631,0.0307345145455083,0.039786539063911636,0.033560471036348696,-0.019024268796324587,0.02817929000294217,-0.00497275694779933
2.083587877510069,0.42532674356927097,0.604274606416432,0.024247461895642954,0.017009089256961533,0.025848797959143296,0.01307286711626922,-0.0190525392630283,0.02542562265592675,-0.008400688462911704
1.5978385324019546,0.5854522144958144,0.5873767652426339,0.01928518954059606,0.011631143079708637,0.023163261376785454,0.022839203422599503,-0.017772169644073486,0.08809960052583382,-0.02064545315046767
1.5743240969890178,0.38155755405806335,0.6518630670201853,0.034616845785428854,0.03877682564714853,0.0429210445329845,0.03919609916666498,-0.015116531757970127,0.0666672836464887,0.0010907467959796655
1.9203403210542955,0.4480487240183766,0.540970753267711,0.022732687069857455,0.027120665541788665,0.027874558505624477,0.03200272442984543,-0.014013625580163733,0.048453794330091664,-0.00809632783449722
1.0149303991602803,0.37274287333322476,0.6153826599282518,0.040371223987662866,0.025969108372276107,0.040028948029792455,0.028778685388057546,-0.014953677611074143,0.01016092132098316,0.009134303684031704
1.6743798269887142,0.4483250124273465,0.5539037078415695,0.02969832706790439,0.026340904029864585,0.022948960055715437,0.023689478105513823,-0.022360131749124955,0.023276881467275426,-0.015367775752053916
1.185351608978587,0.3858078391466427,0.6185487811052338,0.03148359280890382,0.01877754193341188,0.048434344504139096,0.028916292096322856,-0.01967552124923318,0.018845175136984086,-0.011925659462180466
1.7109440332793522,0.39053464483302186,0.6177661172853353,0.03665170968831416,0.023118980379642724,0.04070820997400354,0.03410432124092924,-0.01884787232360092,0.05182770106437731,-0.013801218297871735
2.061096548536684,0.3649447946983238,0.5904229087961392,0.022298683961908032,0.025053967496332468,0.02115188822129604,0.035890762502738864,-0.02209159453087328,0.03164094330889349,-0.01665796979471947
2.4628553380057308,0.38556755419473987,0.5334090867680523,0.029022833215002493,0.01770032870608833,0.023625988718109062,0.033518755746376354,-0.015799630892852978,0.015170928426165912,-0.004740430545920306
2.2167187582273344,0.43407312385959806,0.5632849049563367,0.02920441986970132,0.026439548500306838,0.03543738504128719,0.026885384347415758,-0.020125245556897386,0.049242051799209534,-0.013664660269526379
2.8264179614554688,0.4320633123063802,0.56943354131943,0.033546309112216025,0.03600787461024614,0.03483899161843005,0.025981678193391932,-0.02096743359131578,-0.0065118757746840256,0.0004366261929641427
2.7319213849510264,0.3313480054562177,0.6470307249637705,0.05177069458860847,0.01705909479387903,0.0373487732246575,0.05414593703722024,-0.017228603178282613,0.04575723446572178,-0.0006682888972337755
1.8544910550792175,0.3381739522505973,0.5759365343809792,0.02086683116697911,0.018566903436461026,0.025985684432776154,0.024288371965615414,-0.01370925839151978,0.05873448369714619,-0.01515230558719642
1.4345630135166223,0.3322476029732899,0.4986622677424782,0.007485048101422988,0.013556023632937784,0.010224723044579524,0.015061522391099529,-0.016665791631624696,0.0838111515551458,-0.019545332567495285
2.312876327993187,0.4209600095958816,0.4083733659062966,0.016371371526498153,0.010862980107158403,0.01939110790857796,-0.016044853084658854,-0.013647433514859805,0.01749857366286423,-0.0048367971868959955
2.5181501524810437,0.5348312935755531,0.481526324033586,0.03849272440499444,0.03186975223269625,0.03691688240144086,0.05012854485575108,-0.016278554992909536,0.006861052303340735,-0.00364947040120371
