a_subj,t_subj,v_Intercept_subj,v_AttentionW_early_subj,v_InattentionW_early_subj,v_AttentionW_late_subj,v_InattentionW_late_subj
1.9029569049264226,0.4136768027400859,0.4544467621559736,0.0602075291014815,0.0718210229349097,0.012939877475998448,0.013943152801603314
1.7001756897289197,0.30623411787463495,0.10335220576574028,0.04505767392178353,0.06301794853904859,0.01298401669179706,0.012223593055567875
2.6750023894102504,0.44055133006399727,0.8188184982141042,0.06760430201683097,0.0684132842641621,0.01342100989504204,0.010459781673562613
1.7517327654319863,0.3164330390227767,0.6195993283456172,0.07117658888855154,0.0664640521244186,0.013739393447921813,0.013603817949502248
2.185770753394886,0.44328470369829254,0.4665895909341443,0.05938168087005621,0.05317413386873708,0.013077253513447379,0.012248315589872983
1.6714191686649233,0.5931200485099101,0.29994206910785376,0.05311271910922761,0.05905664172048252,0.013740097031058161,0.01285788076764196
1.6161585852373506,0.4057093790133483,0.6952569450910878,0.06708544468497368,0.08466083931725242,0.014786092463751127,0.012032399025529014
2.0565472777386136,0.461343451894695,0.38674525919747854,0.0507043542036037,0.0672969425881747,0.013749776830173371,0.012815800981850629
1.056315627557281,0.37372724059206053,0.6383587724235109,0.0811606301355197,0.07895431956486926,0.014822428701121416,0.012088537878348703
1.7714040718037936,0.4548229920902882,0.3840481644127882,0.07192303474633246,0.06285833219665336,0.013431773438264153,0.013370449678850677
1.2042195663204123,0.39406702986857006,0.5221922010698349,0.07366915197251693,0.0837440781210634,0.013391084294997161,0.014313123080617843
1.811018761463609,0.4024728219141427,0.559990305430219,0.07461968091186134,0.07603467879775996,0.0138465689311107,0.012824484936140886
2.2429035817525134,0.38430073277590077,0.5903144720443326,0.06808654651455506,0.08005970734765104,0.013003444973503819,0.013595393900716615
2.432450663607821,0.46502630608954737,0.47108636803353504,0.07128352301286216,0.06865439694167672,0.012724201461248048,0.012243003483162174
2.367053142515864,0.45556740311510074,0.5148979438265865,0.0601689434125313,0.0661535907431474,0.013578134721964891,0.011994497888010972
2.969667214139362,0.4738180090492618,0.6176253334411942,0.05467141013957976,0.060814601842244596,0.013810591224948198,0.011028670032187549
2.760730833013467,0.3812959113668056,0.7202400083595586,0.07620806378739549,0.07412748933213356,0.01291797453151337,0.011369478094891762
1.9541732942181398,0.3525046102864738,0.4175828291011125,0.052337489852492015,0.0648710807407169,0.013539261120410356,0.012742072550774865
1.479132804927938,0.33160121480195337,-0.02394685116189013,0.04070270153805738,0.05113571424599951,0.01234242185080067,0.01324587062155063
2.3957811992060813,0.44425768856187553,-0.03186580356089661,0.06826025190981815,0.033386585539786975,0.013660623638936935,0.013564306723888838
2.591833528877087,0.5795945569050388,0.4341634914452085,0.06836073945783182,0.0734848091083414,0.01239823450963555,0.014478276062794537
