a_subj,t(low)_subj,t(medium)_subj,t(high)_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj
1.776768942254976,,,,0.5838399847534549,0.022089376104317947,0.01791575707182109,0.03402192066375842,0.03017730013367759
1.5673393663418171,,,,0.5252909198600026,0.012069617414926797,0.011336216134541026,0.017122928793530775,0.024775820976898896
2.3594294794425257,,,,0.6828294383391686,0.030535282183512386,0.029746169850639416,0.024222282624291564,0.029249513494309844
1.712024142497766,,,,0.5855320286571449,0.03882869967708998,0.03250134240042653,0.04173824154882483,0.03402785932335827
2.1037777138479803,,,,0.6050607452479708,0.024419335467676544,0.017092424974679294,0.026239625600459966,0.013249705785672071
1.6026256757550172,,,,0.5849186183871168,0.020186849485229915,0.010968743580203935,0.02538902411842644,0.023074386261953232
1.561872539287344,,,,0.6516216437122566,0.03461650686252379,0.04345617871765562,0.04305078643802946,0.036320649571191625
1.9368270211596852,,,,0.5406031044225973,0.02290956880897112,0.02929292930097662,0.02922216422977973,0.0290536344140329
0.9566480975423717,,,,0.6240821777738387,0.039463897145070266,0.028127923107122733,0.03823745149130254,0.02847039065748001
1.677358718869403,,,,0.5556213907610459,0.029626671178846833,0.029571807991476413,0.022702315658096713,0.023625649752800838
1.1922433384019955,,,,0.6221303796379203,0.030707715698045607,0.019744641103940086,0.045864161899110294,0.029436379644691132
1.6936307491016984,,,,0.6164550704505841,0.036194315641779766,0.02455706980406954,0.0395070276294268,0.033584778481869124
1.99449630328934,,,,0.5993521755459128,0.02185206644643104,0.027965097679855038,0.020085249499322236,0.03453977120129755
2.464115309690632,,,,0.5326320754712583,0.029647161792396907,0.018585634151020654,0.024502622269717007,0.033387842098469143
2.2331935202985838,,,,0.5671618558040261,0.02882220063852952,0.028028256976629178,0.03476623739432836,0.026475657905882858
2.8520054196382167,,,,0.5742130258679805,0.033025251922063965,0.0391945109718032,0.03380997933979402,0.025609042550333815
2.674926777259894,,,,0.6490154149696482,0.0517535680384442,0.02014734325851347,0.03698597399462146,0.05218532968081432
1.7522672550229559,,,,0.5890105561096574,0.020227346353907157,0.025409303028477333,0.0251157661213914,0.022817534811759785
1.4024309996070419,,,,0.5016811657232706,0.007399913040423767,0.01414020860616263,0.01017813075253499,0.014886300802254919
2.302927415914927,,,,0.41402117637961994,0.01619335836972294,0.012680113092080524,0.01822166342870057,-0.015014060899396848
2.586481355581266,,,,0.4823763761476593,0.0385869597252819,0.03354243068555654,0.03727092804271928,0.04889174727139169
