t_subj,a(0)_subj,a(1)_subj,a(2)_subj,a(3)_subj,v_Intercept_subj,v_InattentionW_subj,v_AttentionW:C(cond)[0]_subj,v_AttentionW:C(cond)[1]_subj,v_AttentionW:C(cond)[2]_subj,v_AttentionW:C(cond)[3]_subj
0.2444055891470592,,,,,0.31226744565759,0.00828572360176845,0.03987971116306604,0.046972210438270906,0.05717048885692206,0.10096467985652355
0.2527999660800826,,,,,0.1274528102323894,-0.001458577788383265,0.0430189690693122,0.04524144082963916,0.06642512511973031,0.12010059760466622
0.26093137659128357,,,,,0.015700596318565824,-0.010159468780253549,0.039851964148718166,0.04926053945228013,0.06278693598174247,0.12293980653668124
0.30273583303511525,,,,,0.10282499175951908,0.011074749330632563,0.038006733084648116,0.04853453522070059,0.051596029939750085,0.11828516568051402
0.2708718581246035,,,,,0.382182351009566,0.013138578535688571,0.04218195373718848,0.04635483410755868,0.05688785164863507,0.09422628402867549
0.2522597160428171,,,,,0.05227637397372655,0.004905796515170421,0.04205798834420806,0.04547097199175541,0.05836692028966686,0.11397975336763637
0.21560011334232412,,,,,-0.2767679404763595,0.01103500521723444,0.038461479723842555,0.04727744601284194,0.05091673184209751,0.1087193069398682
0.2678484770426967,,,,,0.4053148882972602,0.008113005615596138,0.0408404917166114,0.0492711154193809,0.062386980960573275,0.11682037450401174
0.22949782300477506,,,,,0.2292509403734936,-0.0019251818923508807,0.043845689352240064,0.047018025192888745,0.04805990402696804,0.1215157084357492
0.2811301089840768,,,,,0.8075714479986364,0.017873447131021354,0.03960187591294094,0.0457236987584011,0.058757099989671914,0.10742943196940948
0.2597168809807044,,,,,0.12164117081822463,0.007222929499665054,0.04648924462978979,0.04365495876230205,0.07714334425323777,0.07788697011762052
0.2814620489350827,,,,,0.19571885425404908,0.008613957769757338,0.04473895589373005,0.04348401276608118,0.05005168511188701,0.1223116954971198
0.31698775125055245,,,,,-0.478057739136368,0.015077889705216077,0.03827581055467862,0.04530774719308633,0.05579576191896334,0.0990864059776392
0.2480780614231102,,,,,0.2178997882362616,0.0016224690044695875,0.04327158182835459,0.045384378020946026,0.05504083566684246,0.11847677046357369
0.21327709574913323,,,,,-0.1484597736505938,-0.011531572108376636,0.045007149809137434,0.04794112426395827,0.06705541974437491,0.10917769664874837
0.22167871405240877,,,,,-0.3274944219711361,0.009633595759274664,0.03851546475174566,0.04824032479896776,0.06717504767863335,0.10056600027404287
0.2965850293388896,,,,,0.07322725229051323,0.01051009564091175,0.03938061260464849,0.04381726261854417,0.0722033674258149,0.11463601033415016
0.20290314703504905,,,,,-0.00750651144009126,0.017423230132706625,0.04404235255395993,0.04252374134955297,0.03711635777341116,0.09189683896338387
0.2561164067730896,,,,,-0.6588023012909093,0.011284397246751954,0.03817451457700177,0.043093669986296,0.05705347335544805,0.12436213881465803
0.26863232373649,,,,,-0.011617044734700606,-0.003743172239305677,0.03941767926540643,0.045135352244976876,0.07581701940378877,0.13178756282550033
