a(high)_subj,a(medium)_subj,a(low)_subj,t_subj,z_subj,v_ES_AttentionW_subj,v_ES_IAW_chart_subj,v_ES_IAW_image_subj
,,,0.3826664105768144,0.4712247645126824,0.03610860084949136,0.04898186479257785,0.04208589046581313
,,,0.3296674072886362,0.6070670891634573,0.024521576760908662,0.023238749433658015,0.03675305874945412
,,,0.43801243006655455,0.478673506594257,0.04391179978117547,0.035789303063558875,0.0463214943348429
,,,0.3085924030656171,0.5745043082153717,0.0504962808286861,0.05977889581984198,0.04487704750510367
,,,0.43333326113228166,0.4758404793658391,0.03852354713043953,0.04228568679564681,0.032004726968303185
,,,0.5826542466003164,0.537287800484878,0.03405500136446657,0.03810635162366736,0.03539845531015434
,,,0.3781445582162657,0.4820131048299003,0.0528908028479292,0.059000947083087917,0.05960048385244979
,,,0.4514862379028956,0.4716615716337245,0.03709593758304415,0.043568907517802485,0.044564709767431245
,,,0.3672762408732458,0.5017696965404767,0.05834603866692607,0.05339218146922366,0.04728909458557426
,,,0.4548249605897168,0.43199266274130405,0.04215718739004137,0.038078944485484226,0.04310531019993556
,,,0.373937674238627,0.43409362777869565,0.04843635567846809,0.056051060418271285,0.048120871231507316
,,,0.3946405276676047,0.4917042810900657,0.05116469316458765,0.05595001014292829,0.046203698888232746
,,,0.37669605316133903,0.5577333216355026,0.03696746615233259,0.040182764209654415,0.042585463579587576
,,,0.42496403695986823,0.4371478828272968,0.04143292847929185,0.04356250255722833,0.0396480653893658
,,,0.45812872207295596,0.4110577493409341,0.0470265345162464,0.0507478965358261,0.04047272119443545
,,,0.48551598633411003,0.41530904823272524,0.0467540332257961,0.04371435023954435,0.05521336141022528
,,,0.3958336730808717,0.49687978328506444,0.05745946645000978,0.05019813425245255,0.05027483429028554
,,,0.3628587051722172,0.5374329986032815,0.036156494766975265,0.03819211618569055,0.036865630837012914
,,,0.32816541036511143,0.49048605004908913,0.016835444379519882,0.017080562551329358,0.02716435036733851
,,,0.4714553505241293,0.40118707917164104,0.026474505452933915,0.01671111433092343,0.024890537913355777
,,,0.5495297403068029,0.4601950236699547,0.04968840641119136,0.05459920516834991,0.053616231418247694
