t_subj,v_Intercept_subj,v_z_val_diff_corr_subj,v_z_w_dv:C(OVcate)[low]_subj,v_z_w_dv:C(OVcate)[medium]_subj,v_z_w_dv:C(OVcate)[high]_subj,v_FirstFix_Left_subj,a_Intercept_subj,a_z_absDPAC_subj
0.39434614224721076,1.4965249928524906,0.8625985525560153,-0.4383313665484621,-0.08843432626674817,-0.3409738719383316,0.0514939866791272,1.8041329094575886,0.03874835835052165
0.3943607666554806,1.0519392035718051,0.6284192237911417,-0.4880115360558884,-0.06719827824295377,-0.32203604081848597,-0.06845682930698561,1.5737813992011338,-0.03772739246292824
0.40131496105394504,1.6528366060456054,0.8596196114765623,-0.3213961070682423,-0.254617187422277,-0.3068598393267442,0.053266626313053414,2.4235647853111777,-0.04603266264668956
0.3365201277634583,1.8502142836465998,1.0387813644771713,-0.35878368521956894,-0.006588965030943556,-0.3236537066023031,0.02003516294388273,1.896734195637348,-0.1017180298786335
0.4333282577143785,1.4162143130563536,0.7860138542464384,-0.47505808905701996,-0.17898491792687107,-0.2914385660460083,-0.005540855254064652,2.1472003468768355,-0.07309239417437974
0.5907010925157123,1.3408307316961465,0.7173006982544189,-0.43782165224095065,-0.21224620191982546,-0.3215658185761267,0.019193124423191876,1.6902141957528471,0.05901869684884272
0.42962172950563504,1.8219177910837316,1.133757873529779,-0.42175894393338526,0.02584110338634872,-0.22087762448796544,0.19511328311949208,1.6174630805766017,0.03614058447680312
0.44914761313058876,1.483706795909015,0.9046281991666956,-0.42742634273472024,-0.22177099211692955,-0.298123793183557,0.0396643898483023,1.8965071727204148,-0.028591927035306216
0.40512879467424656,1.5529285463521043,0.9638347678671941,-0.42519316615832675,-0.054799868980902146,-0.26676940517846687,-0.02028325416907681,1.0854970448160557,0.04052132111516757
0.49493407572992526,1.461359015546979,0.8670077976958971,-0.4281038803590853,-0.1278783068096235,-0.27731824437822866,-0.002167860156535971,1.7009438350400026,-0.07132761314381146
0.4096322538323489,1.742080071937728,0.9189215233302757,-0.53215605325984,0.15754036950069997,-0.28737389679883907,-0.16631352142860517,1.1908111245662656,-0.004272621094128503
0.4516579511724245,1.6282947008936064,1.0195733817092543,-0.4460685065955363,-0.031650554195937916,-0.22171596352532916,0.08127942901748886,1.6314367403333936,-0.07916303593699124
0.4047635052764682,1.3922159898185424,0.7588480797214016,-0.4957018026596805,-0.1819994241694045,-0.2653496187366445,-0.022304370959527524,2.2878494318290943,-0.09836162533214415
0.4140662242476559,1.426176489798812,0.8664813008431728,-0.39237206366612115,-0.15346170459436156,-0.262349490337689,0.06188663645025689,2.8419859388257573,-0.11297363765247734
0.4617311547876361,1.657367295711508,0.9942345571866009,-0.46110327062406453,-0.12852750974153151,-0.2585104408698027,-0.04126471494130541,2.117446990477819,-0.14079113914705674
0.44556640134807907,1.6681958550998637,1.0137773945071746,-0.33829785133602414,-0.15884920965268165,-0.25442497902684263,0.05669287289900535,2.7969577496583464,-0.15079003515805897
0.35661202687321364,1.7562519734796862,1.0886981098916266,-0.4590374093254946,0.09401539423781441,-0.27696219074431205,0.2069603030904153,2.475234005977335,-0.17679316786656024
0.3847160202840907,1.4234943244245595,0.8257008064657825,-0.4208563006961497,-0.16959827932606306,-0.2667231151948155,-0.03232765996690498,1.8743015667212146,-0.07302940824882224
0.40187472648091876,1.0963774050520452,0.4349107819938261,-0.47867764546096575,-0.15214320073371188,-0.38579067628081676,-0.1840438559865988,1.3733724894572557,-0.014219820245527886
0.44609808211376045,1.161295156744323,0.7466170911561887,-0.39724204463378077,-0.2789796181425964,-0.4442775812540166,-0.1799147173803074,2.012000394167879,-0.2242889319812029
0.5406157195249892,1.6482027429799029,1.171562008251303,-0.40432804099312436,-0.09910496012676463,-0.29531467303502984,0.035135636243110925,2.4629925206885948,-0.05551447037046702
