param,mean_prob
alpha_subj.1,0.15323450691883797
alpha_subj.3,0.26997235090507377
alpha_subj.4,0.3118083354763182
alpha_subj.5,0.5680301670073722
alpha_subj.7,0.4460022678385141
alpha_subj.8,0.3299479649682111
alpha_subj.10,0.20617496475426725
alpha_subj.11,0.36956824570924873
alpha_subj.12,0.20150131742868047
alpha_subj.13,0.5831786893973638
alpha_subj.15,0.19079893046174826
alpha_subj.16,0.31479486763198644
alpha_subj.17,0.21779455115121749
alpha_subj.19,0.09407968206762166
alpha_subj.21,0.15671560973002951
alpha_subj.22,0.3218842179206244
alpha_subj.23,0.3297495096595639
alpha_subj.24,0.29585216875881754
alpha_subj.25,0.17428897130746895
alpha_subj.27,0.5347949503552223
