,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,std,2.5q,25q,50q,75q,97.5q
t_subj.22,0.228,0.006,0.216,0.239,0.0,0.0,6601.0,8312.0,1.0,,,,,,
t_subj.23,0.307,0.01,0.289,0.326,0.0,0.0,5325.0,7451.0,1.0,,,,,,
t_subj.24,0.229,0.014,0.202,0.253,0.0,0.0,5423.0,8190.0,1.0,,,,,,
t_subj.25,0.272,0.013,0.247,0.295,0.0,0.0,6872.0,7243.0,1.0,,,,,,
t_subj.27,0.301,0.006,0.291,0.312,0.0,0.0,7473.0,8448.0,1.0,,,,,,
alpha,0.279949553356228,0.257,-1.467,-0.488,0.004,0.003,3408.0,7939.0,1.0,0.05119752713453066,0.18536452397085987,0.24560084388564712,0.27703971539616246,0.31150567227373793,0.38957252788060864
alpha_std,0.16570366898162553,0.229,0.521,1.352,0.004,0.003,2589.0,5186.0,1.0,0.024470608422599915,0.11872211034518815,0.1488727285626844,0.16519258722098595,0.18201708130205843,0.21481716500408418
alpha_subj.1,0.15323450691883797,0.492,-2.702,-0.852,0.008,0.006,3556.0,5463.0,1.0,0.06577628758694591,0.06185375599923015,0.10705826598458991,0.1406788330316692,0.18547938004927852,0.31563121605505495
alpha_subj.3,0.26997235090507377,0.5,-2.004,-0.116,0.008,0.006,3806.0,5948.0,1.0,0.0963244979647127,0.11848808012940854,0.20154105016021004,0.25753256590571844,0.32500889122999654,0.4927635853877706
alpha_subj.4,0.3118083354763182,0.289,-1.35,-0.281,0.005,0.004,3249.0,6230.0,1.0,0.062129671419446045,0.20912614806538876,0.26706405537379385,0.30566375773816473,0.3492496730806692,0.45301679186844135
alpha_subj.5,0.5680301670073722,0.316,-0.297,0.88,0.004,0.003,5061.0,7582.0,1.0,0.07509961891481302,0.4239645403826628,0.5172396191641588,0.5664525599491801,0.6180765145994679,0.7165555851479006
alpha_subj.7,0.4460022678385141,0.308,-0.783,0.378,0.003,0.002,9697.0,10903.0,1.0,0.07425007307620034,0.3027220586016933,0.39656787014039774,0.4455320981507218,0.49476651498011587,0.5944423654108922
alpha_subj.8,0.3299479649682111,0.354,-1.394,-0.062,0.005,0.004,4810.0,7263.0,1.0,0.0764186162654906,0.19529100559827647,0.2764448155578796,0.3242491639335112,0.37859390497056683,0.4935685378647696
alpha_subj.10,0.20617496475426725,0.405,-2.114,-0.598,0.007,0.005,3537.0,5157.0,1.0,0.06584005541095495,0.10188927032635522,0.1584046131055578,0.19846071870230886,0.24460087109989775,0.35406210586388387
alpha_subj.11,0.36956824570924873,0.315,-1.14,0.045,0.005,0.004,3792.0,6045.0,1.0,0.07215795903299156,0.23916678622724058,0.3185164423922595,0.3660777776446366,0.41617851523568056,0.5196480155438779
alpha_subj.12,0.20150131742868047,0.292,-1.966,-0.87,0.005,0.003,4148.0,5860.0,1.0,0.04749472570892592,0.1243084654045134,0.1680905693192718,0.19596275370506583,0.22948723925023934,0.30981977933679106
alpha_subj.13,0.5831786893973638,0.433,-0.438,1.174,0.006,0.004,6191.0,8529.0,1.0,0.09969517250636394,0.38845501832040685,0.5153779870616622,0.5837203389301135,0.6506565497081429,0.7751913762790188
alpha_subj.15,0.19079893046174826,0.257,-1.95,-0.98,0.004,0.003,3448.0,6299.0,1.0,0.04003622995166059,0.12355107487115184,0.1627654771830951,0.1868702385380536,0.21438589599202912,0.2801436488014719
alpha_subj.16,0.31479486763198644,0.282,-1.33,-0.259,0.004,0.003,4761.0,7380.0,1.0,0.06040434216029064,0.20702840666522315,0.27275817278103937,0.31013852428922906,0.35208591639393616,0.44451937001830205
alpha_subj.17,0.21779455115121749,0.727,-2.732,-0.059,0.013,0.009,3281.0,6215.0,1.0,0.12351326087600678,0.06483647812855207,0.12647756806901728,0.18756264396044486,0.27887575034774353,0.5331203667319154
alpha_subj.19,0.09407968206762166,0.417,-3.095,-1.534,0.008,0.006,2997.0,4129.0,1.0,0.03581420293916943,0.04079431415982156,0.06788850896877517,0.088653514271155,0.11409053628874118,0.17956969405306036
alpha_subj.21,0.15671560973002951,0.501,-2.681,-0.833,0.008,0.006,3503.0,5618.0,1.0,0.07029596663707371,0.06598085120145525,0.10839216783487834,0.14224627201641696,0.18782101496617848,0.33507409185311066
alpha_subj.22,0.3218842179206244,1.066,-2.735,0.825,0.039,0.027,808.0,2362.0,1.0,0.20297767976510236,0.0635695186433804,0.1359304440133372,0.27929882968850195,0.4872697294615362,0.7268526501385476
alpha_subj.23,0.3297495096595639,0.319,-1.349,-0.157,0.005,0.003,4369.0,6749.0,1.0,0.06948470469018003,0.2076319401402688,0.2808633558113306,0.324893548007108,0.3743109479742128,0.4774304711461406
alpha_subj.24,0.29585216875881754,0.249,-1.333,-0.406,0.003,0.002,6891.0,9049.0,1.0,0.051535089031176685,0.2052790270797474,0.25955426387778424,0.29234678691405785,0.32808618388391897,0.4061294656358941
alpha_subj.25,0.17428897130746895,0.976,-3.661,0.024,0.015,0.011,4188.0,6511.0,1.0,0.1344058806157694,0.023682831488997753,0.07897172444510495,0.13547213085807397,0.22908253398391146,0.5355739960413192
alpha_subj.27,0.5347949503552223,0.664,-1.087,1.431,0.012,0.009,3041.0,5240.0,1.0,0.14911953027249433,0.23599351116255657,0.4331572392775009,0.5396336952944663,0.6408479779276605,0.8116559572402006
