a(low)_subj,a(medium)_subj,a(high)_subj,t(low)_subj,t(medium)_subj,t(high)_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj
,,,,,,0.5814079043916349,0.022925957286902734,0.01919341700400762,0.036359237930939085,0.029611872499826976
,,,,,,0.5010461114455519,0.010791833001831152,0.013463507831166666,0.01618821287191117,0.02323700594125419
,,,,,,0.7305261996024756,0.02914330670528519,0.028809921334002384,0.020981219230876095,0.02852419084227287
,,,,,,0.5832308732110032,0.037893959871555756,0.03291807858977796,0.040038463025852046,0.03358577304527269
,,,,,,0.6081367061790711,0.02415643662904418,0.01781538891445177,0.026130976966504467,0.013035797948080144
,,,,,,0.6019222443605651,0.021434876607211144,0.010976141542343453,0.02712365040760418,0.023669682850170844
,,,,,,0.679448982758423,0.0360488363661014,0.043430141009679034,0.04598047841960025,0.03648343541485933
,,,,,,0.5295166301786732,0.024097008217100604,0.028523041322764363,0.03130864848584734,0.02983678237830524
,,,,,,0.670843275542044,0.04147054349032851,0.027820046860626634,0.0412125272378681,0.030065158722085907
,,,,,,0.5452624187903726,0.02979300923930389,0.03167602323731412,0.02322250199398978,0.023265421714052464
,,,,,,0.6506058792829803,0.03261195651060137,0.01815929297824332,0.047603454394360034,0.031002433682396986
,,,,,,0.6237208304677134,0.03576555423185621,0.02504647983641252,0.03883498159402685,0.03320550179105107
,,,,,,0.6029373867741659,0.023066863627628907,0.02815961208694732,0.021462690975295493,0.034560759388192516
,,,,,,0.5180818220946736,0.031093776594129006,0.0194900534350278,0.027024143335610453,0.03434107205595578
,,,,,,0.5629733654110866,0.028990193250878926,0.02779712133067156,0.034813222988984635,0.026986297560130518
,,,,,,0.58909516595485,0.03150909297108776,0.04166176588312014,0.03117516489362331,0.023783441857517105
,,,,,,0.6594020914251504,0.04829983337615928,0.024508079967967295,0.03465486921282262,0.0473504671115098
,,,,,,0.5840704903867252,0.020160282503167978,0.027370918586435453,0.02580226655526715,0.022000095444488645
,,,,,,0.47284220700713914,0.008553504543923339,0.01459178316532618,0.011114694463444676,0.015574465895850358
,,,,,,0.3770735669483205,0.016965405048247253,0.013939029502328,0.01843944135254087,-0.013722477616409033
,,,,,,0.4558238972047012,0.03983373772339595,0.03511135318311431,0.03978293866236706,0.04812894283289364
