a_subj,t_subj,z_subj,v_Intercept_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
1.8544563150054183,0.38189399957826314,0.4813989743134704,0.3761735292526358,-0.035787722407827675,-0.046202416141429864
1.6877610891427732,0.3098685674861564,0.4347320940798064,-0.442123494830884,-0.027257360330585925,-0.03153718714416036
2.15620167354132,0.43305065854811253,0.5199859933277851,-0.1031101719306791,-0.04385593860300641,-0.04234117335531075
1.6951848720160438,0.30746064960752845,0.4376624495229869,0.032295112481149336,-0.05175293276308777,-0.05443310454809034
2.054469606781397,0.42977178579699,0.49407026882201877,0.2915943068962214,-0.038255360201603326,-0.035959244079604456
1.5907854167835083,0.5878802090165117,0.46865011042939286,0.06023219680883293,-0.030981435830174882,-0.03414647661051524
1.5854314704941377,0.38240302900403506,0.5139268637522708,0.0016738633995575787,-0.051567856770405776,-0.05921408388148651
1.938247706281325,0.4491110512990967,0.5109175431427914,0.08873912017019912,-0.03520627509770773,-0.04227507359912128
1.0351011394089553,0.37164888769945736,0.5078470263724238,0.07407200330273764,-0.056905209204091194,-0.04940604532993356
1.69354771674289,0.45377933020059785,0.56427059830054,0.03322406750257712,-0.041875389599119794,-0.04064332443311616
1.2895057137015407,0.3717459473036085,0.5245650114996337,0.6321896484170876,-0.050718030694523956,-0.05500279881465378
1.7318227450823491,0.3915563341824906,0.4603334174177044,0.5372926976338414,-0.052302407195994355,-0.05372995730429013
2.024269082436645,0.37890913524752073,0.43257392866776945,0.05117389054348888,-0.035845397749579615,-0.04080600460034883
2.2682455861843134,0.4234052332825293,0.5239205139320835,0.2940264512799558,-0.038225330259515584,-0.03910738974725812
2.2510436041048063,0.4484144362955308,0.5526684979245798,0.3248898307199482,-0.048514018341976536,-0.04635499902747528
2.672827381197707,0.47664149980257137,0.5694497204394092,-0.003063876242183204,-0.04885548206036678,-0.050571486887519675
2.407089598824766,0.358160481713038,0.5406158361684993,-0.23400253629882778,-0.05666486539762365,-0.04987743231507803
1.8291375301378345,0.35182411954414117,0.43799851374421644,0.1276362408097019,-0.035447015018392744,-0.036170755107381616
1.445068475613538,0.32951473482751675,0.5049835578822874,-0.09613946602081865,-0.017484285071739752,-0.02143356294464226
2.268770002883662,0.44936270131526174,0.5846014349278638,0.003786368172467147,-0.02775148292998638,-0.021617478015888758
2.4376662150554536,0.5515662604230438,0.5514438488806359,-0.11541213174051893,-0.04786298495985568,-0.05263188992378533
