a(low)_subj,a(medium)_subj,a(high)_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW_subj,v_gazeSE:C(OVcate)[low]_subj,v_gazeSE:C(OVcate)[medium]_subj,v_gazeSE:C(OVcate)[high]_subj
,,,0.3840236324492338,0.5574446031940873,0.02237855724296048,0.03047944720994669,0.00012287733804871898,-4.7169196632607185e-05,0.00012314178410863417
,,,0.3098266346281298,0.522640510881192,0.008901356736540099,0.016139925599294287,0.00015093614994023574,-0.00018650880320406464,-0.00010036708319670126
,,,0.4226512358313161,0.7493318569825267,0.02773776143492026,0.024402519285550223,5.581467410783273e-05,-8.418968759475822e-05,9.736866814406251e-06
,,,0.2946492319882888,0.5567593086571202,0.038755038183049484,0.037415385591359554,6.0438062660656875e-05,8.089671862480037e-05,9.073901044997646e-05
,,,0.4263898196354675,0.6055849576110407,0.0249629635282873,0.02001788597157041,6.56303210003297e-05,-8.444478330280859e-06,0.00010752383479895463
,,,0.5809033903687824,0.6076337045946487,0.02036662390447772,0.022864594139503217,5.6793206518401836e-05,-4.532110722544086e-05,-3.197891594175337e-05
,,,0.37868088943253786,0.6430523757824662,0.038054636328670295,0.045052567151989444,3.449065305758113e-05,-2.0508496432004812e-05,-5.3037136684767065e-06
,,,0.44885815638368,0.5073028873774468,0.02491093606807193,0.03128178914061494,-0.00011688503989267491,-0.00016532299792448214,7.025490851853548e-05
,,,0.3725004962189718,0.615782624188651,0.04270096316754319,0.035121196517084625,8.306963709504892e-05,-8.710368998706866e-06,9.649250975190544e-05
,,,0.4525345703864414,0.5435653842764612,0.030041173198869973,0.02438587898268607,2.1927102830103297e-05,-1.7256409548532433e-06,-2.9933440281768376e-05
,,,0.38230539289011795,0.6073404232021342,0.032676205970946774,0.03600860794975496,3.3497750459001685e-05,-1.1513039302894101e-05,6.705533122524e-05
,,,0.39441103856946336,0.6101661618766107,0.03570295845721868,0.03474536789881701,4.2463922601865954e-05,-9.613566326838214e-05,0.00013608772184216293
,,,0.36701351421808387,0.6162624300598539,0.020877656806148278,0.025330242796771527,-2.243939720627511e-05,-0.0001988017976832983,0.0001326912086809356
,,,0.39079673795279457,0.5538416419380084,0.028492743507198614,0.02678481483079688,0.00014268078124672452,5.6216256719353985e-05,4.7236120274933906e-05
,,,0.4372774076847317,0.5513283806066817,0.029668133276157287,0.031220356662915928,0.00010896590058704046,-0.0001433299947495399,7.199315499217705e-05
,,,0.4487224623442226,0.5597323555182505,0.03390926742246059,0.03316535943790463,-8.872100532836297e-05,-0.00022659732606347354,3.6616901640491005e-05
,,,0.37137329309658307,0.6898215273429527,0.04213343250147749,0.035202378405031175,-0.0001922981508549923,-6.707674596978744e-05,1.1180022837921703e-05
,,,0.35776390894492544,0.5831412294504447,0.02057956338443145,0.024502209598685726,7.92238985731172e-06,1.7262026377158567e-05,8.809506295890434e-06
,,,0.3314775023231927,0.5050746880625174,0.006707770867674326,0.011374470610398273,9.976425560819597e-05,-4.9831128417219144e-05,-1.5862287620708556e-05
,,,0.4436239115421424,0.3443042951666448,0.021952575530583187,0.008450920440798725,-3.2695290689052254e-05,-0.00014150682545558955,0.00022887497896473976
,,,0.5373651938986777,0.4145319454519443,0.0391469871284122,0.04333791838921234,4.567819622728133e-05,8.500288854789883e-05,2.7811552936185616e-05
