a_subj,t_subj,v_Value_diff_subj
1.806645530396995,0.3832676180803859,-0.0390817383809205
1.59116810266446,0.30181217927212833,-0.02478146708927709
2.15354834843957,0.43303999380671304,-0.04292517976610916
1.6965136698707373,0.3026571945764446,-0.053143668668053076
2.014919113054811,0.43172240507049137,-0.03567800472036791
1.5881744626000738,0.5841430729570585,-0.03180547420750016
1.5770348457666683,0.38309729534022813,-0.05626751428194978
1.9257759706223736,0.4484084976843175,-0.038191551430376544
1.0351222011718806,0.37150031701453984,-0.05427306503528462
1.6767250150431612,0.4459658144809682,-0.03957606377141086
1.2129363259056878,0.37861769189815675,-0.050184256797081314
1.6920302891855885,0.3917120724338211,-0.051207542664831365
2.00250808208563,0.3668766894062479,-0.036943307592596945
2.213810218466512,0.42088251493126827,-0.03602712967699237
2.1548610234806493,0.4411030249825843,-0.04424632713989779
2.6668873576140433,0.4587495031536854,-0.04833708532128642
2.3465837634382636,0.36438238775423426,-0.0521678382242256
1.8288646240319841,0.34228273628818073,-0.03471262359533684
1.439052853824575,0.32968243762729954,-0.0186664835939924
2.229778128413307,0.41890980988424364,-0.022333373279780546
2.4284728017752477,0.5466661076836232,-0.050177114274846585
