model,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
7,0,-10073.049282988455,5768.460599904041,0.0,0.46102398543923173,1681.4377060698007,0.0,True,log
12,1,-10338.613189018295,6004.942738145293,265.56390602984,0.3480966020834543,1750.1982389416046,478.6178106728435,True,log
17,2,-11051.261970615073,6596.104874500776,978.2126876266175,0.09186929999695496,1839.2751358042212,996.2582135092015,True,log
16,3,-11175.203040656112,6686.798496787962,1102.1537576676574,0.09901011248035907,1874.9033969405161,1040.6450834537045,True,log
