Comparison,MeanDiff,HDI_lower,HDI_upper
Med−Low θS,0.08143081626942861,-0.19250616362393314,0.3651925735458108
High−Low θS,0.08945260358294038,-0.17536258639653113,0.3589828296740558
High−Med θS,0.008021787313511775,-0.27617539938963653,0.2704704629385368
Med−Low θE,0.06022111645155237,-0.14080038521314653,0.269569730797243
High−Low θE,0.0661925932159354,-0.12429272104466349,0.27030332312870375
High−Med θE,0.005971476764383032,-0.18898814861850277,0.21528396757753665
Chart−Image b2,0.3249520658158752,0.07191241989550212,0.599751906468854
Med−Low a,-0.09997903042335085,-0.29459400794632923,0.08737868302951404
High−Low a,1.7715538918916007,1.4575884137806376,2.0807812520538325
High−Med a,1.8715329223149515,1.565309072082766,2.149240434687933
