Parameter,MAP,HDI_lower,HDI_upper
t,0.43246982926936206,0.40581351581381575,0.4596344503685871
v_Intercept,1.5468841455969118,1.3863814444054292,1.7177583231882658
v_z_AttentionW:low,1.286021597483674,1.034621614124689,1.5394266082134678
v_z_AttentionW:med,1.1859364659432619,0.9597295281917423,1.405166212073715
v_z_AttentionW:high,1.175613266239315,0.9604155614958811,1.3780599626158716
v_z_IAW_chart,1.2456270074728686,1.027822502480725,1.4657490411100014
v_z_IAW_image,0.9206749416569934,0.7455153988553318,1.0931842237286904
a_Intercept,1.938561822312156,1.7037451301145894,2.220775413910463
a_low,0.16700793042055523,0.003367900206665164,0.3313441450472663
a_med,0.06702889999720438,-0.051415523498096985,0.19213680590156518
θS_low,0.977838829101686,0.736674274130439,1.2362087821955265
θS_med,1.0592696453711146,0.8029032470689068,1.3130868843410566
θS_high,1.0672914326846263,0.8143159030040896,1.3197265280862756
θE_low,0.7224484550531898,0.5450638447845145,0.9226526909550825
θE_med,0.7826695715047421,0.5986449263225125,0.9885471695405954
θE_high,0.7886410482691252,0.6183391818692616,0.9999310100505486
