a_subj,v_Intercept_subj,v_z_val_diff_corr_subj,v_z_w_dv:C(OVcate)[low]_subj,v_z_w_dv:C(OVcate)[medium]_subj,v_z_w_dv:C(OVcate)[high]_subj,v_FirstFix_Left_subj,t_Intercept_subj,t_z_absDPAC_subj
1.7560130890652066,1.5967830574176007,1.0504428886088042,-0.5911167616280684,-0.26977950346279805,-0.48536256809594847,0.05777923371315382,0.4298696508588128,0.04683346828799963
1.5901833054649037,1.113873632904189,0.782644100031421,-0.619412581591805,-0.23217422051074202,-0.4604023561172388,-0.06524274740963983,0.3985258631336694,0.012824353779698308
2.434553168007248,1.7520425444271257,1.0332008799933723,-0.5021540507594268,-0.40781748021705455,-0.45950590491333776,0.04356471224071967,0.4241727400335204,0.026843669071979437
1.9646839452878204,1.9553995641125705,1.2340367036298596,-0.5296068832932682,-0.24841072845426168,-0.47375510955335054,0.01650709928199393,0.33603561732644827,0.030386785729632857
2.1932888234656267,1.4955745935180982,0.9358077799333977,-0.6074983497898888,-0.32648895134146577,-0.43420095646225937,-0.010600071449901563,0.4312658230126439,-0.006037569220223032
1.625672321337613,1.4249677064673454,0.8784764137798237,-0.5859748346316952,-0.3641042856824523,-0.4674110651137096,0.01676037370507263,0.6249213693828127,0.046912963539514074
1.5943518496768025,1.9178560936420619,1.3052264156746742,-0.5753185959148958,-0.15356000489994384,-0.3752495102754703,0.18822666868255303,0.43955686122296955,0.01598233650628281
1.9235885801138235,1.5650507593993745,1.0681693069111353,-0.5782718713032261,-0.3781313727982944,-0.4477873726881429,0.036480768776154984,0.45784670094266433,0.02478549322801939
1.0315090108699114,1.6587736726635813,1.1393139348430164,-0.5755316074268406,-0.23325912474150315,-0.4194907544815093,-0.017084958740563295,0.42759148694022403,0.021896119982339455
1.7470801587283475,1.5404988723671407,1.0339226673217423,-0.5779373118669873,-0.28748995466403554,-0.4214710321180838,-0.0033480463973984474,0.4933185255883745,-0.0025836554429155643
1.1889969156139302,1.82949859784545,1.0861768938518244,-0.6551462905316603,-0.044700657449802755,-0.4385391090728296,-0.1677451528180695,0.4088822891456621,-0.0015675721144410302
1.6976925498277304,1.7121773568750358,1.1902102918458126,-0.5910918122418826,-0.2169424332400322,-0.3768431455311155,0.07406960427763204,0.44360841217591596,0.002462361577441839
2.364130770385647,1.4666385509577589,0.9094406203778677,-0.6265770812484988,-0.33002505389851816,-0.41406015642699545,-0.023177473629292775,0.39851690314963173,-0.00250050778787397
2.9455904736469516,1.5244853941096939,1.0384004967429545,-0.5538579988803211,-0.31966852017741876,-0.414637348687893,0.056714113701647334,0.4187144513171959,0.017229847546609913
2.1941401949995747,1.7728278833560935,1.1989912207721596,-0.6075707575158882,-0.3184497561002253,-0.4212364279400569,-0.04535518238526251,0.47054116205792723,0.02049408893433459
2.9205925614329775,1.7877798935284295,1.2077378338345224,-0.5153429248885933,-0.32667096722543487,-0.4161162693144059,0.04491678456285566,0.4445262414834513,-0.0023075434798237484
2.631984491886765,1.867084777138582,1.2647989333210172,-0.604038551215543,-0.11017024718498297,-0.4420884333849929,0.20492618892132158,0.34671498871636847,0.0008372640674013806
1.9243141560244998,1.500343913404873,0.9847560655341738,-0.5690296433065878,-0.3286052664183614,-0.4133687767192458,-0.03576724223431839,0.3842244306811008,0.005007476352546888
1.372812806702164,1.174544951848306,0.6046145083810913,-0.6129116041130116,-0.3069701669589407,-0.5218097702713098,-0.17054107884545014,0.42518029224802606,0.025500650227533308
2.218814636575067,1.2499868197271529,0.9294641418176715,-0.5543440074660326,-0.4388992382474023,-0.576125772126587,-0.1665097249219763,0.42590135757965775,-0.014112556809709915
2.508117823249957,1.7399863953725196,1.346885898847077,-0.5635475584973836,-0.2805989596159863,-0.4492444871108485,0.029890449702917724,0.5426474659278486,0.018460663871301755
