a_subj,t_subj,z_subj,v_Value_diff_subj
2.3286990471231177,0.4357733640498654,0.323676960815751,-0.03377944519766722
2.221180353955182,0.36698090253273696,0.502736590305661,-0.031637586010272195
1.8268416220376547,0.5350702214563158,0.44936896417033606,-0.019698859740034914
2.045177543203802,0.5510564425506217,0.3631700125546517,-0.0270372187010793
2.081892367060522,0.4937577086456824,0.49158986656160525,-0.030970121199568473
1.9188407168558765,0.4515530126325313,0.5509173481867843,-0.047796655613412516
1.1891274894916066,0.23737094166769765,0.4796917276838036,-0.0178751772316346
1.7188467227280615,0.4585051408204495,0.5038580713363106,-0.03375312058784731
2.0303484880930993,0.4590108979660065,0.47055967022909645,-0.025192254618262928
1.8566094212531377,0.4197492870469306,0.523720978006127,-0.040107545072357996
1.5510603782822634,0.4616703204100355,0.49031070876535543,-0.02555116687898595
3.1660685314954122,0.4464380975573474,0.4053478799857515,-0.024072437814871832
1.9914715801495841,0.48194210783732844,0.5589431601278494,-0.018875989072930248
1.7367703295577313,0.43433233583836917,0.3324029447687875,-0.0469301681488848
1.632405465740961,0.36930219955584975,0.5958081075209843,-0.02095327354029511
1.3100777422447,0.3295440013147765,0.4147158835353876,-0.03151396575667435
1.8576368068535667,0.43499062371391045,0.43292174445312903,-0.036907780788161745
2.101242045033838,0.43111626947785087,0.40510756981827434,-0.05458288805397943
0.963187389325385,0.22408496131868846,0.44009689710921795,0.0007378412927521161
1.313157864186681,0.4393363031465749,0.3720371578317253,-0.02847015610153922
