,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8494764412074796,0.11725801640481766,1.6339143222266959,1.7716423626891928,1.8440946810976921,1.921238293621232,2.0963952652357234,0.0011715477025659002
a_std,0.5129418165662727,0.09907860585797443,0.3606722636901653,0.443615265502493,0.49963056910433123,0.5662937674041546,0.7476273408241014,0.0011767035461777773
a_subj.1,2.3286990471231177,0.07581614528948977,2.183746324190373,2.27706525310643,2.327420084896783,2.3790783555201065,2.479582358856953,0.0008548462722264361
a_subj.3,2.221180353955182,0.0764240219885591,2.07743739666312,2.1688908120886334,2.2192910882077133,2.271659567999612,2.377219625236136,0.0010692131812331785
a_subj.4,1.8268416220376547,0.05544132533178324,1.7212858501448909,1.7891234832076743,1.8254752893557487,1.8641713943720408,1.938797659764689,0.0006341388639212268
a_subj.5,2.045177543203802,0.07583598615540503,1.904179946243762,1.9922531830385484,2.0417330996911147,2.095970864370739,2.2007088504061976,0.0012687904337931298
a_subj.7,2.081892367060522,0.0674015619725559,1.9547773566293585,2.0361549363953113,2.080213141216285,2.1262036234528554,2.218731715866791,0.0009674284078348807
a_subj.8,1.9188407168558765,0.06825803198856942,1.789690728781093,1.871842746071143,1.9178780004758418,1.9636310412857745,2.057657216225524,0.0009865949000253547
a_subj.10,1.1891274894916066,0.039243785736278985,1.1143949819890984,1.162596981787219,1.1881368031697555,1.2147588391145736,1.2697407029980712,0.00044795601791076554
a_subj.11,1.7188467227280615,0.05459360223381568,1.6132996123416556,1.6816183274182763,1.7179242938949109,1.7556934163056517,1.8276687298096395,0.0007159647591637227
a_subj.12,2.0303484880930993,0.06496191304929283,1.9076873545792592,1.985932643470988,2.028538293377122,2.073437018535606,2.163777950836338,0.0008396526172630266
a_subj.13,1.8566094212531377,0.0670166187396597,1.7291785978674983,1.810642037468594,1.8549163338392707,1.900876103115793,1.9934407128784435,0.0010582837746681297
a_subj.15,1.5510603782822634,0.04601745239896428,1.463249846599904,1.51960300859223,1.5499628293398753,1.5812962358917353,1.6444268319357163,0.0005505108369365326
a_subj.16,3.1660685314954122,0.11766814686042124,2.943519680348222,3.084854540392448,3.164339027437567,3.2452390124943067,3.4039917023502526,0.0016624955628141314
a_subj.17,1.9914715801495841,0.08242009505968784,1.8356815601548968,1.93616333491469,1.9886970275166833,2.0453802641910395,2.1594548684186057,0.0010000839567509963
a_subj.19,1.7367703295577313,0.058863845414233736,1.6256724580627868,1.6957513597452205,1.7351263835708568,1.775924139854089,1.8569931878937544,0.0007764742513150672
a_subj.21,1.632405465740961,0.04653997341884331,1.5431210614896282,1.6006881006802642,1.632623902778945,1.6631983778336816,1.7260732008769677,0.0005667935625714193
a_subj.22,1.3100777422447,0.04033115596090229,1.2327629745661295,1.282396300402722,1.3097240167251285,1.337576171422807,1.3892549924668791,0.0004234119028491431
a_subj.23,1.8576368068535667,0.06444907064015405,1.7355168716862908,1.8130701550813682,1.8562855201764694,1.9006893126527395,1.9858704179119686,0.0007906891963552874
a_subj.24,2.101242045033838,0.0864606299702193,1.9392597201559174,2.041414437479682,2.0983212524600576,2.1567274406027215,2.280882300336114,0.0014123081505159302
a_subj.25,0.963187389325385,0.06038259026999044,0.8517966782625006,0.9220728121421107,0.9606895085972147,1.0028552308373457,1.0881847696951474,0.0006918991273613251
a_subj.27,1.313157864186681,0.03986740295431891,1.2379516107710675,1.2856756822595958,1.3123723520521795,1.3394542557338551,1.3932683035854474,0.00044744202181115633
t,0.42535176296013305,0.022591793932062745,0.3828237204435513,0.4101789800824561,0.4244115802596714,0.4398321008564668,0.47292980012301883,0.00022899886198602423
t_std,0.10015842029043663,0.01862177580007775,0.07195948790250115,0.08687047708231206,0.09749283467703004,0.11041924486991556,0.14436413459561886,0.00020317781779225188
t_subj.1,0.4357733640498654,0.009157705749867353,0.4163732743610506,0.429925665108793,0.4364359118485877,0.4421551780809329,0.45218006419386775,0.00010655438008406715
t_subj.3,0.36698090253273696,0.015370708717437226,0.33490218550400497,0.3571092479437082,0.3677878457532514,0.37759690381076455,0.3955688761649563,0.00021832603899317712
t_subj.4,0.5350702214563158,0.012718456806850152,0.5099924587539535,0.5269204916747302,0.5349895295569073,0.543396287577079,0.5598369918529734,0.0001516609946756306
t_subj.5,0.5510564425506217,0.01915671844553111,0.5122514064418567,0.5352132773635366,0.5561445867855087,0.5659722950524249,0.5787324019995688,0.0003354799500639939
t_subj.7,0.4937577086456824,0.014103520827283795,0.464490390335095,0.48480295953824115,0.4943476327581188,0.5035257520907721,0.5194236627688411,0.00020198524476985647
t_subj.8,0.4515530126325313,0.010166159756773941,0.43058583594288796,0.44510258958023813,0.4519581713699647,0.45855434727680766,0.47028857654214073,0.00013779498723642697
t_subj.10,0.23737094166769765,0.0071340142209696256,0.22299573079360951,0.2323717205580867,0.23774695512724314,0.24254072469093,0.25006612221283964,8.038142852979775e-05
t_subj.11,0.4585051408204495,0.010557711434984756,0.4389396314750388,0.45150967024661315,0.4580644016129707,0.46481560173029557,0.4813679941850343,0.0001309823550619407
t_subj.12,0.4590108979660065,0.016696458353328513,0.41184613735448317,0.4516940735844162,0.46102860201905044,0.46929983969523703,0.4841754181187478,0.00023589605886108162
t_subj.13,0.4197492870469306,0.011467328065794247,0.3959310035892014,0.4123305221291574,0.42027982231310645,0.42766988772245274,0.44091746379378505,0.00017815727440795312
t_subj.15,0.4616703204100355,0.008747336710493265,0.4439394749021041,0.4561284368717207,0.46182074195144457,0.46729666086516997,0.47902033325958243,9.696534557960531e-05
t_subj.16,0.4464380975573474,0.03689732358206532,0.373502577538576,0.4205776682742721,0.44737606653116613,0.47315912202516386,0.5151424890803538,0.000515669637439071
t_subj.17,0.48194210783732844,0.02072635807435381,0.4393656204940234,0.46956739866431324,0.4822294287938267,0.4943950857598726,0.5262903066740029,0.0002711949586400024
t_subj.19,0.43433233583836917,0.0066760741548679645,0.419758053340835,0.4302849210093402,0.43487903435579994,0.43896746818535176,0.4459153908181346,9.062698158954818e-05
t_subj.21,0.36930219955584975,0.008048419273141958,0.3523947636634863,0.3641607176700857,0.36979031422942027,0.3749342130940876,0.38352269600394057,0.0001012194211904096
t_subj.22,0.3295440013147765,0.007539508840151938,0.3164299982370882,0.32430409233913265,0.3287364840789406,0.3344157418505345,0.3466597056768742,8.511613109398974e-05
t_subj.23,0.43499062371391045,0.012265438795294905,0.40996130145271087,0.4268401779640201,0.4353653942320248,0.44364777865930877,0.4578411509841019,0.0001498377535240337
t_subj.24,0.43111626947785087,0.011488089103968856,0.4061976589947818,0.4241652082142092,0.4318896831601818,0.43911502198702246,0.45101822468590563,0.00017340986965719074
t_subj.25,0.22408496131868846,0.006178496472811815,0.21023261925421774,0.22036225191960176,0.22467932432445048,0.2285002398772031,0.2343272620988439,7.155149233862792e-05
t_subj.27,0.4393363031465749,0.0034727872747341835,0.431836849400434,0.4372108082793379,0.43955325960660485,0.4417280332956071,0.44556503142343956,3.8116593918370016e-05
z,0.45470012459612863,0.012985043345434728,0.4287981443344931,0.4460449726985465,0.45487184194379104,0.46309319898904083,0.4798636747726475,0.00020655258226760477
z_std,0.22431495644662464,0.021840543672003172,0.18497127066189417,0.20908943100415026,0.2234132492032727,0.23828943958833548,0.27045973363400355,0.00022703611045327864
z_subj.1,0.323676960815751,0.013581649958882813,0.29738420405081784,0.3145227182143458,0.3235878926229709,0.3327052845699337,0.3508566441353953,0.00026090261263779144
z_subj.3,0.502736590305661,0.014886529759906775,0.4735019211128467,0.49273882248283557,0.5027790918998994,0.5127040292439179,0.532112320724925,0.00022911623190876684
z_subj.4,0.44936896417033606,0.015013265629088845,0.419615879668836,0.43944468722729885,0.44931907430736784,0.4596629727282368,0.47888543384151544,0.00020985435331155
z_subj.5,0.3631700125546517,0.014743345707728806,0.335285913740416,0.352794656279796,0.36300660442503974,0.3731690384250243,0.3931628105948513,0.0002829011237892831
z_subj.7,0.49158986656160525,0.01390879814721115,0.4644000028985947,0.4821196580106848,0.4916922124782085,0.5011728245455607,0.5185640565394768,0.00020779999913913064
z_subj.8,0.5509173481867843,0.013098345568149318,0.5246637651978218,0.5421024415948285,0.5509822074633093,0.5597478655131799,0.5764101656442333,0.00019864534983482694
z_subj.10,0.4796917276838036,0.018837175366803023,0.4426544642053666,0.4669017423609135,0.4799431241301807,0.49244188292116975,0.5164967978668673,0.0003132766019438484
z_subj.11,0.5038580713363106,0.014741551869610417,0.47429172503498324,0.49401165845782025,0.5040006829162234,0.5140060082350529,0.5322510070923924,0.00019378186170747831
z_subj.12,0.47055967022909645,0.016047440082202824,0.43988126619032786,0.45977424939082817,0.470316974925822,0.48112813630721063,0.5035878744588529,0.000239250976310119
z_subj.13,0.523720978006127,0.01390845570623252,0.49637888052299756,0.514397957978214,0.5237919124368237,0.5333026704809034,0.5509156668245573,0.00018045632894281928
z_subj.15,0.49031070876535543,0.014487316178773758,0.4612699565371965,0.4807214101899166,0.49084997855658336,0.5002191467914526,0.5179535159066129,0.0002103378909895465
z_subj.16,0.4053478799857515,0.015850970351945336,0.3744170163605997,0.39466263426108117,0.40527849689471246,0.4159642224234717,0.43686060883625083,0.00028359479391887554
z_subj.17,0.5589431601278494,0.021205011504470562,0.5174812716372725,0.5450231655055569,0.5591615881251785,0.5727199568165061,0.6002423794112555,0.0003459594465713436
z_subj.19,0.3324029447687875,0.014952822828209216,0.30385579219816905,0.32233358351389757,0.33231917433115765,0.3423456754121463,0.36194812114051006,0.00032930407116888864
z_subj.21,0.5958081075209843,0.015456025731410718,0.5654737017880173,0.58536929555446,0.596078924276327,0.6064108100757043,0.625832585349551,0.00025442679858657174
z_subj.22,0.4147158835353876,0.01683402937312012,0.3812129244820764,0.4034336317147089,0.4149368415431154,0.4260710784470158,0.4473892886005632,0.00031017670524611753
z_subj.23,0.43292174445312903,0.014656789782442989,0.4032311906958134,0.4234463680295829,0.4329983346837219,0.4427537404008429,0.46135518924210045,0.0002248399842135965
z_subj.24,0.40510756981827434,0.01417712141850085,0.3771413825325245,0.395318317585546,0.4050856968737271,0.4146724095264997,0.43354100461190226,0.00023875105157134557
z_subj.25,0.44009689710921795,0.025427691884682323,0.3912713181363793,0.4229181843807151,0.4395816346152107,0.4567533415408924,0.49127239090080776,0.0003803617827656406
z_subj.27,0.3720371578317253,0.01524827119961672,0.3425591180533204,0.36165036621819446,0.37192420985004015,0.3822590071823718,0.40207003536257385,0.00029779456354574885
v_Value_diff,-0.02973813995451683,0.0031173897794588394,-0.035842807899613034,-0.03177665788020798,-0.02975030052351888,-0.027674091545806613,-0.023620195299521245,2.2972478580272643e-05
v_Value_diff_std,0.013462731380520246,0.00260224234030647,0.009336937493062534,0.011632178902967631,0.013130862250595114,0.014920451448924375,0.01945328653529109,2.655284961200818e-05
v_Value_diff_subj.1,-0.03377944519766722,0.002270103302694953,-0.038282830146791194,-0.03530872766481805,-0.03376584711366787,-0.03224658715906477,-0.029393442109673755,2.533510856365351e-05
v_Value_diff_subj.3,-0.031637586010272195,0.002249557611783175,-0.036139426338970645,-0.0331280622876747,-0.03159418092355136,-0.030133145390762967,-0.027343356058815486,2.1029987062902806e-05
v_Value_diff_subj.4,-0.019698859740034914,0.0019482505748645918,-0.02355452142388204,-0.020982428771410492,-0.019700292719547794,-0.01837573698026971,-0.015899398049977236,1.840718425358231e-05
v_Value_diff_subj.5,-0.0270372187010793,0.0021628201782283745,-0.031343580533519405,-0.028454795246761214,-0.027000687603634,-0.025562625134340558,-0.022875962962896415,2.0870059194221602e-05
v_Value_diff_subj.7,-0.030970121199568473,0.0023307922931940445,-0.0355880688715851,-0.03255590076623156,-0.030946364760034206,-0.02938047550813328,-0.026515362185476864,1.9963221967625702e-05
v_Value_diff_subj.8,-0.047796655613412516,0.0028892702786236634,-0.05357975184231793,-0.0497077948856875,-0.04775742443005371,-0.045825343234568994,-0.042288832240131094,2.937697722686198e-05
v_Value_diff_subj.10,-0.0178751772316346,0.003032778326545809,-0.023800481322395428,-0.019928206086593812,-0.01789084120136617,-0.015815771454284953,-0.011920316327961616,2.584314266750107e-05
v_Value_diff_subj.11,-0.03375312058784731,0.0024012763471880486,-0.03849373446910013,-0.0353775699210608,-0.033730304152932454,-0.0321164111818317,-0.02912500546356986,2.126538390487321e-05
v_Value_diff_subj.12,-0.025192254618262928,0.0021844776268359683,-0.029511671943776414,-0.026670670192394733,-0.025155210271533536,-0.023715343313461895,-0.02098346635249712,2.1875061417313465e-05
v_Value_diff_subj.13,-0.040107545072357996,0.0026864255774397367,-0.04545046983373182,-0.04191668104941043,-0.04009824847830261,-0.038255900660028506,-0.0349386662815416,2.498558594365973e-05
