a_subj,t_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
1.8172234805073666,0.3827795506806452,0.03478381313512535,0.043571363482969944
1.6031562255308396,0.30144904603768047,0.021900069126222124,0.029004556216050994
2.1533542891308515,0.4330015759939848,0.04355509246644277,0.04224608212031037
1.6896370258630797,0.3024224818259445,0.05310342242081999,0.05176022145803127
2.0205409626603044,0.4317220356487993,0.0384431112719335,0.03423933545063392
1.5940646767021434,0.5839429695076347,0.030955782088828782,0.033629656375133384
1.5746710847661898,0.3835200540364001,0.05129412556778959,0.058698530031443215
1.9338094694057366,0.4484720182036773,0.03454348040667677,0.04248074110598879
1.0367354374170155,0.3713920547331842,0.05700016595871556,0.04907752461432662
1.6779651696264624,0.44619684531766646,0.0422570755722653,0.03759245356651971
1.2148533968521111,0.3776567909009812,0.046781489637105385,0.05119365516433604
1.6866520368371782,0.3916061833836085,0.051380988010074125,0.049670494041403085
2.0152041132420826,0.36710030381872105,0.034732622248622544,0.039595295328122816
2.2195175794063586,0.42071398722399383,0.037219861690062424,0.03574036435180014
2.1518015953125165,0.4412529165102347,0.04368192648006901,0.044540208796877916
2.6618172826793587,0.4584638216935255,0.04858660060806089,0.047444989300665534
2.3558643532886605,0.36365751562591314,0.05580610900703559,0.04886973692626297
1.831664495731801,0.3424123987305972,0.033880200377847405,0.0359088810627499
1.4432718172699657,0.3296048197105341,0.016934445986710994,0.021927293731155078
2.259826291884581,0.4178945340204681,0.03047870898440077,0.016980004850255626
2.436361927635231,0.5452562825115645,0.047279998146167644,0.0519452271059133
