,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t,0.447,0.013,0.422,0.47,0.001,0.0,391.434,549.786,
v_Intercept,1.427,0.098,1.26,1.642,0.004,0.003,606.208,679.47,
v_z_IAW_chart,1.156,0.092,0.973,1.315,0.004,0.003,528.12,541.033,
v_z_IAW_image,0.847,0.074,0.699,0.983,0.004,0.003,349.684,524.109,
v_z_AttentionW:C(OVcate)[high],1.053,0.11,0.862,1.271,0.005,0.004,420.127,558.993,
v_z_AttentionW:C(OVcate)[medium],1.067,0.096,0.889,1.249,0.005,0.004,308.22,439.048,
v_z_AttentionW:C(OVcate)[low],0.996,0.118,0.78,1.235,0.007,0.005,265.455,530.046,
a(low),1.995,0.023,1.953,2.03,0.005,0.004,20.964,228.955,
a(medium),1.896,0.026,1.835,1.937,0.006,0.004,20.066,34.213,
a(high),1.852,0.024,1.806,1.893,0.003,0.002,46.845,119.022,
