Parameter,HDI_Overlap,Diff_Mean,Diff_Lower,Diff_Upper,Equal
t,0.8486510855022534,-0.006419270753245046,-0.037362432333515494,0.02420196844940392,True
v_Intercept,0.3026669958373971,-0.14903619626422382,-0.36129377053310985,0.10499071989064035,True
v_z_IAW_chart,0.802409057025715,-0.04083784184113514,-0.2615780907961782,0.17962294845385296,True
v_z_IAW_image,0.7730002754453568,-0.030863094205880456,-0.2138214904660639,0.14408579570169788,True
v_z_AttentionW:C(OVcate)[high],0.5807206994551893,-0.07289593761134644,-0.2984972298546049,0.16820285428365456,True
v_z_AttentionW:C(OVcate)[medium],0.6924537844296419,-0.04593763388644033,-0.2581827963571366,0.1810528947165022,True
v_z_AttentionW:C(OVcate)[low],0.7549225617542937,0.003833318572175478,-0.28625880768763856,0.28308213991321374,True
a(low),0.24771997990553332,0.047046327184056304,-0.11619494883206993,0.21135389244184033,True
a(medium),0.33746773140978936,0.033128313461422185,-0.13960375575514528,0.17892043976160443,True
a(high),0.29379323020093684,0.053647845941637906,-0.10837052579349993,0.21014445134842852,True
