a_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late:C(OVcate)[low]_subj,v_ES_AttentionW_late:C(OVcate)[medium]_subj,v_ES_AttentionW_late:C(OVcate)[high]_subj,v_ES_InattentionW_late:C(OVcate)[low]_subj,v_ES_InattentionW_late:C(OVcate)[medium]_subj,v_ES_InattentionW_late:C(OVcate)[high]_subj
1.9053285607953072,0.4156155686022833,-0.23524440230839894,0.06971771829798079,0.08052051142553407,0.026042554080233416,0.022857585949936688,0.02712996832983865,0.030875915050656764,0.02675960189834968,0.03355404155008618
1.7570778170245336,0.30415292062495025,0.5597716791697899,0.04816641252941226,0.06365585291574803,0.019401911320669367,0.022285575790438234,0.03352613337660198,0.018199987873034038,0.0184427102334677,0.033279405460909565
2.2953276723264047,0.4709084085864282,0.011973202066106168,0.07840944605739512,0.07986288517520242,0.026396188189638303,0.024383603838444415,0.031003252350654282,0.029231795629125392,0.020957732499328138,0.030315545292638996
1.7218200432212725,0.32028558722448575,0.14750098459050343,0.0819956227041809,0.07956457133394468,0.02768753402079517,0.025435752501600108,0.031951135594799195,0.027223610956553814,0.029726906119610874,0.033765586141581774
2.168295451409979,0.44407223962506837,-0.21166013424647637,0.06718505061269697,0.060939495914722766,0.020874519889045658,0.02338418399918098,0.027834744765133618,0.028093281562367865,0.02557216774289844,0.026802523296791107
1.6832115554808909,0.5927075669853032,0.05092046330916377,0.05896298800674118,0.06577034801303897,0.023998092907868692,0.024838340740187485,0.02382449111185355,0.022535292649392386,0.022505552400362394,0.025394923543540285
1.5859618018514456,0.4084992988606425,0.011098633904161867,0.08025578790949203,0.09846343935510127,0.030926780463642955,0.02811641338796606,0.0334810616439465,0.03212876565042565,0.024204086335576372,0.02846588985727819
2.054981410597069,0.4610975798765215,-0.09495291899586175,0.05766756712796347,0.07474852248992397,0.021722874208279157,0.024695300689457345,0.03127845399214267,0.028476873055088836,0.02113215699300489,0.030947906650561834
1.0624779279729744,0.3737137866806196,0.0199898161698563,0.09561023860285162,0.09395680151893779,0.02817146270788129,0.02855800765691804,0.031207656778240257,0.02859195827998039,0.02891987646914231,0.022955367196491324
1.7837380261466442,0.45433537598133156,-0.1359729882573497,0.07989444541246543,0.071415007960849,0.021398613648572862,0.027251014569780456,0.02702003311108452,0.03059294513663357,0.02141850523916163,0.03202822882388995
1.2297465923902915,0.39344457552330847,-0.5198510897001065,0.08631075099379777,0.09460066601874301,0.021302239158474394,0.02824508804717894,0.029269792867594503,0.028245592672221567,0.03295943598843473,0.0338758527572047
1.8180744902140917,0.4036464547611746,-0.35478034886162446,0.08620319512303189,0.08983824493067424,0.024959249720214512,0.02532599577744058,0.03183852084356286,0.028592950743688377,0.030344403653931446,0.029466117347134703
2.1752164101732556,0.3871906280897206,0.04248536306627952,0.07816851056921074,0.0906841607541546,0.025408082335567322,0.02707508037605143,0.028348480007249533,0.025811943403097094,0.025431251124062797,0.03312623732458941
2.355758544177346,0.4794195446661797,-0.24075884734934036,0.08121470638912284,0.07919488198259436,0.026783842828995517,0.023888819930005183,0.029163016405733218,0.021525358760930022,0.025262776136778135,0.03162352109564542
2.314260743659807,0.4615493962606933,-0.3605782440794334,0.06944910688646146,0.0747989405784674,0.03129649403672771,0.025457172802847018,0.03368079035527231,0.024363805925460145,0.02722970292251751,0.029014196109485524
2.7607857959505444,0.4881000297618245,-0.21236102828598838,0.06307233553003957,0.07073882777192192,0.03014041111766224,0.02699844049009256,0.027419710084853943,0.03696559095579658,0.02651421278032287,0.02225036856457457
2.6000012012601044,0.3938029896342669,0.0941954683805083,0.08951514272981119,0.08740411596398079,0.025641272715910872,0.02312734101714333,0.03231076602789787,0.029587458577106613,0.024100860297751096,0.030385171898706174
1.9488702225359884,0.3529199435181014,0.12298465452158204,0.06113834612242164,0.07250414209596598,0.02573837769449986,0.024409247636131795,0.03157468618734743,0.024580798778027022,0.019865883584201126,0.030587761074113918
1.4931417450573239,0.33137889395647835,0.12445776790779071,0.04090321171536117,0.05024671873821199,0.015426294778947611,0.018705677745466602,0.02512441120925509,0.019754639798743416,0.013732028508991067,0.028982077433351048
2.46274420774314,0.4417513300591429,-0.1585358078542105,0.06811829025215713,0.03476195404684269,0.013604810685602355,0.0180218395135506,0.0201662591379652,0.023862374709124338,0.020997235236635138,0.018660937877460915
2.5629340300076398,0.5841868308604907,0.016399080470720792,0.07673380361720725,0.08285582742037308,0.02759017385074096,0.024004989919605747,0.02689705853000826,0.03325578384454324,0.02448496969942802,0.03259524272164928
