a_subj,t_subj,z_subj,v_ES_AttentionW_dwell_subj,v_ES_InattentionW_E_dwell_subj,v_ES_InattentionW_S_dwell_subj
1.619581902077994,0.390765315859673,0.5002614794163037,0.024834585729582186,-0.03264881853323288,0.024468102077907457
1.571194151426964,0.31655682643792665,0.5782229405081336,0.02057401418415441,-0.0166555637686036,0.032199388362549916
1.8673655447905426,0.4493210705111944,0.4714420748143483,0.0295502612840426,-0.02454435955426833,0.030352544023613624
1.4920125122055548,0.3111468045957999,0.5664395705176604,0.04399214744173473,-0.048799777524766344,0.04410072775952235
1.785143004200765,0.4478251873885337,0.48197461216829335,0.02582733851512293,-0.02845466564079259,0.022075533728914378
1.54848952706764,0.5942944756502812,0.5698510147901586,0.023633009913717522,-0.03181228512863845,0.01743729519657116
1.3993046730852403,0.3844637509919465,0.4774210507613,0.046138371513446845,-0.05110393124981946,0.05521029921024144
1.764397547143662,0.4598144306582467,0.46872618295640556,0.029327197459770048,-0.03209997826022025,0.032762833050562545
0.9739398349917218,0.3725018121396351,0.5062018606110108,0.06129741269601993,-0.0630317890641198,0.03696257405879067
1.5215393810021178,0.4610281442259123,0.4348359872130729,0.031814169556385864,-0.033475514452726896,0.03114672556034433
1.180531865438931,0.3749462371759385,0.4280401426843791,0.05648500866959566,-0.060192415373908334,0.05548733704641708
1.5454449400705443,0.3954540561777726,0.509750555348258,0.046159272482544526,-0.05492248471520499,0.04147088530112263
1.7205216351672612,0.39632878908243924,0.5590359094379528,0.021244082900141716,-0.03049125880313537,0.02718344861993889
1.8739561844671568,0.4542303038931063,0.4521121812629619,0.026071246672477937,-0.027658843330182217,0.027046287551934823
1.9219730557429833,0.4621933799587285,0.41355777889446765,0.030697190525294866,-0.029722390375906894,0.02776730129852372
2.2542255750929145,0.4920823272650692,0.41274802893176943,0.030987001433710096,-0.026655636484694063,0.03257749967036709
1.7899282257373637,0.40665255980017523,0.47377701484251866,0.04572468151706516,-0.03619391379276413,0.04036620125178915
1.6535430435767635,0.35987841458413833,0.5592455203417541,0.027010886391093607,-0.030033414273399738,0.02382084801923662
1.4225944727850155,0.3297355540923868,0.48896231741871665,0.01129126821499884,-0.009094760388146196,0.01605534915398292
2.047918691301386,0.47851709169220474,0.40178894856479097,0.010647086815209268,-0.011478045697361822,0.011897101954930909
2.025905387515565,0.5664318523842382,0.43773432395761214,0.025167651481838835,-0.0237033084086184,0.029953340888021155
