a(high)_subj,a(low)_subj,a(medium)_subj,t_subj,z_subj,v_ES_AttentionW_subj,v_ES_InattentionW_E_subj,v_ES_InattentionW_S_subj
,,,0.4235854637024043,0.3800882202852311,0.03213032784169418,-0.043670737467134346,0.028524619762743317
,,,0.3722901385968158,0.4511545508931189,0.03387434218346884,-0.027287938174197765,0.04196791095468432
,,,0.5431557232754397,0.41427328722639933,0.02069442456987007,-0.019289003631248493,0.024820177484838488
,,,0.5417957128160222,0.3909858521920576,0.026503313413537524,-0.032101771894975595,0.023309810368957434
,,,0.49508869871345823,0.45558130759612897,0.03209979261674892,-0.024880518057548897,0.03619880028913367
,,,0.457047089257746,0.5270499117928086,0.04413478014636329,-0.04296214399971084,0.04992176630310811
,,,0.23968428878828277,0.542175139964107,0.024395082654234644,-0.02941435899098667,0.007143497971713235
,,,0.4589531143066492,0.5118200408937778,0.030910152551319167,-0.03941728736360863,0.034701547718030454
,,,0.4717596056676514,0.4353038562892192,0.02522181998582555,-0.02178394702095261,0.0303402556910887
,,,0.4174230853548449,0.4345623666149088,0.044132391893374395,-0.025309986220146217,0.050597908932733644
,,,0.46238447986630227,0.4857116565138201,0.02354656293048326,-0.027473790991726227,0.030386122806391615
,,,0.4871409407521966,0.37617374224606365,0.023502478117794375,-0.02114500207199945,0.027162292077814145
,,,0.48284896972415775,0.5370618430764027,0.021344908990464654,-0.016411924028213936,0.02155644986318723
,,,0.42924167424142096,0.376645094150692,0.048425907636783755,-0.05341366848392969,0.03973846023539698
,,,0.3683164471279243,0.5618797511335097,0.021345341496226498,-0.020868296786473905,0.030445341113025014
,,,0.3229617110508824,0.46871812290620035,0.035510968423706844,-0.04151376304289994,0.019339713492742477
,,,0.4496821938902895,0.4677170882514994,0.03500115731259208,-0.038829838178168596,0.03144572083345083
,,,0.4301470924134006,0.44083118646309033,0.053539262417168006,-0.05930880633745804,0.048851019963237756
,,,0.21868405572040095,0.4697511943924621,0.009317838654330293,-0.02973974011372683,-0.009232944790253392
,,,0.43562669969911466,0.41253560780112003,0.03240284491480267,-0.035520184914655674,0.02079622738451468
