param,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high),1.774124798760598,0.1053414332685083,1.56766023942639,1.7036371427085235,1.7726942235301246,1.8446396343156293,1.98271562297942,0.0008995831786999
a(low),1.9199667377071623,0.106498934744742,1.712914370182676,1.84795868476932,1.919450249794463,1.9903192623185872,2.1315774284409343,0.0008648635860044
a(medium),1.8060469921728253,0.1060000830920765,1.596831607141517,1.7369068847316032,1.8063376507104736,1.8747872733284208,2.016337979378255,0.001091380606838
a_std,0.4809035852560436,0.0512437187117817,0.3913125699454652,0.4448378955423805,0.4772928609491601,0.5124509462920923,0.5915233084892046,0.000561422245584
a_subj(high).1,2.2547241367324293,0.1181034248242118,2.032787515664921,2.174937147708237,2.2518615634254115,2.33240383067337,2.498149060388527,0.0013221210286769
a_subj(high).3,2.1787953818248043,0.108448215173189,1.9763955461690697,2.10452430311084,2.1754608365083192,2.2494545978148293,2.400332589124126,0.001051358010196
a_subj(high).4,1.64034167048688,0.0771226091670505,1.4938062028968406,1.5873482640363497,1.638698811217942,1.691778964244318,1.794205399285386,0.0008078796998475
a_subj(high).5,1.911726644531415,0.1014946246547288,1.7211735072925252,1.8415544556476249,1.908144651751788,1.978993197033039,2.117024625656855,0.0012083263785157
a_subj(high).7,2.0305814296725195,0.0964717190629043,1.849710574704796,1.964442007165972,2.027419336054992,2.0945039626509425,2.2298616771750748,0.0009305823677881
a_subj(high).8,2.110256867645973,0.0991606133625813,1.923375068053699,2.040788858406309,2.1074532224000424,2.1759875243828537,2.3104933560233074,0.0011067117080296
a_subj(high).10,1.207119560996213,0.0714459980246406,1.075853816497161,1.1584058811712654,1.2038788404626617,1.2526858442033064,1.3544584865865428,0.0006818416445662
a_subj(high).11,1.6917740628658124,0.0815242332783162,1.5396551845872457,1.6357047981207475,1.6888007643563063,1.7455145792981892,1.8566964545223856,0.0008132180278446
a_subj(high).12,1.78789941987483,0.0890073187010776,1.6193276333872852,1.726706396448564,1.7856301435157529,1.846920970105915,1.9674382364713665,0.0007647656592062
a_subj(high).13,1.5717633720985642,0.0963642564348152,1.3953180807050862,1.5042281575549776,1.5678758049785906,1.6363896714557282,1.7699511130403298,0.0011623427868359
a_subj(high).15,1.5578709207770032,0.0726250593887435,1.4200892270325454,1.507105313484844,1.557262710374506,1.6063901091683426,1.7040679692364975,0.0007337076239954
a_subj(high).16,2.8932247499121413,0.1574658752678552,2.5983182912165548,2.785437758808585,2.8894976745528256,2.9980571739145843,3.21359199640322,0.0016778798472344
