a(ET)_subj,a(LT)_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early:C(OVcate)[low]_subj,v_ES_InattentionW_early:C(OVcate)[medium]_subj,v_ES_InattentionW_early:C(OVcate)[high]_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late:C(OVcate)[low]_subj,v_ES_InattentionW_late:C(OVcate)[medium]_subj,v_ES_InattentionW_late:C(OVcate)[high]_subj
,,0.46945693772453556,-0.2590021565243964,0.05095156013667196,0.057016035472815974,0.05602103413642408,0.06045322470641499,0.03118154745220514,0.041603530807340756,0.0372619640146357,0.04345240723105197
,,0.3605517311920149,0.5402868110436736,0.042382969408322785,0.05802371697175378,0.043158385087833914,0.06473935213266839,0.028508833718357933,0.02185254704397143,0.02194945021051357,0.03278028306836967
,,0.534092225543761,0.033880117160442695,0.056720077131578304,0.059141109945794315,0.05385620262625956,0.06190390217647886,0.03756227384491382,0.0397119819960372,0.02719997712507574,0.03731632932195941
,,0.35345344778429255,0.1539895778239047,0.05738523272174333,0.059565932682470325,0.05876311655825604,0.05339940215031589,0.04175738740601013,0.035671858922471905,0.044925218816386385,0.04476240144793301
,,0.5196205946072797,-0.29859033421952363,0.048794335114353896,0.058343689124406704,0.04984367593894568,0.03641606034011822,0.030690412028898963,0.039401715434064795,0.03644810179856362,0.031174043563873124
,,0.6507483944403406,0.0158951774241639,0.0507930112709521,0.056422764103934604,0.050506687072612556,0.060109481670768704,0.03115729696596721,0.025296471762468756,0.029464366720243846,0.03222641051940453
,,0.44321136543717676,-0.006567023300537045,0.05549394684661441,0.0614905988214486,0.06768760799784111,0.06943234675996837,0.046089817653157575,0.04501778798865318,0.037125977313689426,0.03674254694085475
,,0.5029273267419423,-0.12026885403373692,0.045400010379273575,0.05847798642494934,0.04947387656807719,0.06448336366001563,0.03297477252471946,0.036743336863942495,0.02631861706293011,0.035921880016928254
,,0.3821989663084947,0.029320074079957598,0.06374537665877514,0.057784701460692776,0.06722549447924343,0.05879729076059549,0.04318543395259858,0.0386093452917231,0.041791960533368394,0.028495095297269037
,,0.5027238187761164,-0.08859856079195803,0.057697872301022746,0.05866307295808101,0.05197182009346498,0.05070030671263631,0.033337739320808246,0.04156576412678806,0.027817073546532674,0.04148969253500787
,,0.4072575672340302,-0.5514594361762193,0.05812249074188189,0.05791206513308299,0.07224373542564416,0.05559214879650464,0.039480808114174204,0.03552517309974113,0.05000737316107931,0.04662193048543158
,,0.43948794216287645,-0.42726271888653505,0.06135439663728304,0.06052362011100435,0.06294402328946573,0.06897845792764543,0.03817378428425888,0.03726959486595231,0.044134889205048655,0.034815904663071745
,,0.44530566036098074,-0.034333616737312424,0.05307831656333404,0.058419350163092264,0.05062285922087863,0.06640647560601608,0.03631025765316999,0.032725616937921094,0.03407847663978101,0.04461103237272799
,,0.563859223418938,-0.22352351425739506,0.05755175388808313,0.05701972161550556,0.05068334556885676,0.06309125638051673,0.034084463953658106,0.022531452032502945,0.03416276088376808,0.03846491831169761
,,0.5407807545874661,-0.3593096445288177,0.05407901352511371,0.05915960213352926,0.05355491926302728,0.05918897049490602,0.041770509615967434,0.029317090703681763,0.03895572581443598,0.035365250260909475
,,0.5573224139461924,-0.20671128181946022,0.048563674765384326,0.058239314588481694,0.05385924565968562,0.05142983220939387,0.037165199709190425,0.050463386666221806,0.034948581946547076,0.02708944738448124
,,0.45490903175070085,0.12916617963386265,0.06368393176733425,0.05781917617310919,0.059606088568542506,0.06790216311945262,0.033332650546318426,0.040012634021710694,0.03217172258028848,0.03397500952420998
,,0.40180663864136945,0.09873434474297874,0.046266174466125465,0.055878552645582745,0.05754666218860758,0.05215490119156963,0.03675183195066959,0.03324360316112583,0.02620083265369648,0.038343410050856105
,,0.35191203907250657,0.1725624534294149,0.03643920363224648,0.0538656898153474,0.040194394302121066,0.04770285020054687,0.017536294309169694,0.02224111911597357,0.014997503814620432,0.03026992702696584
,,0.520188270371333,-0.21864556673562355,0.0483772866070741,0.053291291617429466,0.034101019143830166,0.01852713800444188,0.014275468806506424,0.03169668090626871,0.02968747504366158,0.0153684561180169
,,0.6778755688505584,0.049001690075851013,0.05895038534875039,0.05786332021728562,0.054153656300804355,0.0693205286527594,0.033910566998411946,0.043748617303908194,0.0319637679053686,0.04224529819395441
