a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW_subj,v_gazeSE_subj
1.7992396991043689,0.38110566101294013,0.5611105697952918,0.02181297044196661,0.029609836243588393,0.00012457790786516416
1.5997735638632125,0.297019006283264,0.5137687442132827,0.009845367788181342,0.017100011398177985,-4.4583039674385396e-05
2.381600191485735,0.4066616975745713,0.6881728087814849,0.02969035699541893,0.0268968838587449,7.229142174579346e-06
1.7524528435621,0.2931412015547082,0.5529091581297452,0.038855581163478224,0.037615765785151044,0.00011054566474920923
2.0722087192004324,0.42500747563986757,0.5984988762144685,0.02545621319734806,0.02069306392840508,8.550072347282663e-05
1.5894142055455525,0.5848304163164059,0.5919466397756027,0.018149403516792968,0.02084628426779267,-2.8025383463427725e-05
1.5852698640261502,0.3810318063490361,0.6265759079196542,0.03617585422910786,0.04348101773806971,2.0959403156833425e-06
1.921624072417568,0.44806739168627713,0.5383166204606475,0.02269990591306574,0.029240760962373238,-0.00010198580061140849
1.0118631097221054,0.37292408212491474,0.601043256187373,0.04213819971495822,0.03430362793132505,9.088823822769673e-05
1.6718021136770682,0.44822481666637853,0.544624212260341,0.029968905718922564,0.0240180835031745,-1.9737770348572703e-05
1.1943432304677035,0.38056998474222775,0.5802344363292616,0.033454622291918916,0.036656116411003054,4.424056718414654e-05
1.7033513850334143,0.3906536810255025,0.5948723289558389,0.03728747449582927,0.036601782163881116,4.7764427334532e-05
2.035008145733124,0.3653407728539505,0.6024607750284121,0.020198700084871797,0.025461163550850218,-4.804328997012252e-05
2.432031413249955,0.38773026701772195,0.5687814948654306,0.025729285155311588,0.02433995267599553,0.00010076418090162137
2.2264108971853176,0.4322362023740998,0.5460427408982117,0.03068625379244162,0.032058330971255766,3.39500268265752e-05
2.887933662589031,0.4272157721288366,0.5505717778719696,0.035107642454274175,0.0351931698208536,-0.0001429222590633061
2.7015499069232742,0.32105480090397304,0.6727383904060387,0.04273196406386673,0.03465124265820134,-0.00019567818006432122
1.8522413546194925,0.33732033480791773,0.5718581190975488,0.020496434239721847,0.023404309841320924,1.2188583432336816e-05
1.4339296241010544,0.3311727516905948,0.5142946426235592,0.006193249457091054,0.010881135935504098,1.4359614783740633e-05
2.243617901005104,0.4261685133718976,0.36852958796579305,0.021658369802396472,0.009245293571553978,4.745015139582793e-05
2.5100044764820972,0.5354832377904326,0.4492710823981466,0.03635218264003588,0.041440273009319496,6.349664582530772e-05
